"type","REST_ACRES","YEAR","STATE","BpS_Code","BPS_LLID","AREA_STRATA","REST_PCT"
"passive",2355.15372434781,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1707030110",22958.7134167307,0.10258213
"active",9052.16577835268,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1707030608",22393.4170198808,0.404233341
"both",8564.2262768516,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1707030608",22393.4170198808,0.382443924
"passive",2297.16441587762,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1707030608",22393.4170198808,0.10258213
"passive",19816.2955307249,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1707030609",25588.9988464421,0.774406832
"active",5903.38509497011,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1712000301",14603.9044685582,0.404233341
"both",5585.17453067653,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1712000301",14603.9044685582,0.382443924
"passive",1498.09962670122,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1712000301",14603.9044685582,0.10258213
"active",16138.0618635284,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1712000603",56119.26889346,0.287567215
"both",21462.473407626,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1712000603",56119.26889346,0.382443924
"passive",5756.83413713387,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1712000603",56119.26889346,0.10258213
"active",45376.5562900472,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1712000703",57681.2859718873,0.786677265
"active",5974.55572592687,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1712000704",14779.9677066392,0.404233341
"both",5652.50884632038,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1712000704",14779.9677066392,0.382443924
"passive",1516.16056867826,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1712000704",14779.9677066392,0.10258213
"passive",11445.7079687608,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1801020203",14779.9677066392,0.774406832
"active",40205.8054895576,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1801020301",99461.873654696,0.404233341
"both",38038.5892488942,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1801020301",99461.873654696,0.382443924
"passive",10203.0108532896,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1801020301",99461.873654696,0.10258213
"active",17452.4714815231,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1801020303",43174.2503929757,0.404233341
"both",16511.7297360482,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1801020303",43174.2503929757,0.382443924
"passive",4428.90656646478,2002,"Oregon","RaMCONdy_fmd","RaMCONdy_fmd_1801020303",43174.2503929757,0.10258213
