"strataID","YEAR","BpS_Code","SCLASS","ew","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N","AREA_STRATA","avg","low","high","departure"
"2002_eastside_Na0210290_fwo",2002,"Na0210290_fwo","A","eastside","A",0.341527359648993,18172.8239438999,0.140999495172504,3532830624.23246,1,740,118922.608083459,11009.8362665946,8857.50212486398,13162.1702894026,5010.65365449731
"2002_eastside_Na0210290_fwo",2002,"Na0210290_fwo","B","eastside","B",0.409584519869411,2036.08705448379,0.169517688821361,4257493065.73912,1,740,118922.608083459,1299.72207075447,563.357087025152,2036.08705448379,0
"2002_eastside_Na0210290_fwo",2002,"Na0210290_fwo","C",NA,NA,0,22264.6635710306,NA,NA,NA,NA,118922.608083459,25187.4752898514,22264.6635710306,28110.2892682018,0
"2002_eastside_Na0210290_fwo",2002,"Na0210290_fwo","D",NA,NA,0,73571.2058177255,NA,NA,NA,NA,118922.608083459,77206.9774807014,73571.2058177255,80842.7491436772,0
"2002_eastside_Na0210290_fwo",2002,"Na0210290_fwo","E",NA,NA,0,2877.82769631935,NA,NA,NA,NA,118922.608083459,4218.59566740862,2877.82769631935,5559.36340065266,0
"2002_eastside_Na0710270_fdd",2002,"Na0710270_fdd","A","eastside","A",1.58480290734534,166915.485193295,0.353023895609941,27426729083.011,8,1454,1556045.86261873,140459.072161687,114002.660686125,166915.485193295,0
"2002_eastside_Na0710270_fdd",2002,"Na0710270_fdd","B","eastside","B",1.81936622297511,122526.124413178,0.379159834610707,29125329509.2394,11,1454,1556045.86261873,98154.1950872716,73782.2579811363,122526.124413178,0
"2002_eastside_Na0710270_fdd",2002,"Na0710270_fdd","C","eastside","C",1.36418313138142,347536.745272158,0.300634018679621,23277502212.2556,7,1454,1556045.86261873,311995.879747015,276455.014221872,347536.745272158,0
"2002_eastside_Na0710270_fdd",2002,"Na0710270_fdd","D","eastside","D",0.128232788659297,615347.152928435,0.0214382008521266,303694328.108526,1,714,1556045.86261873,657856.46019619,615347.152928435,700365.709890247,0
"2002_eastside_Na0710270_fdd",2002,"Na0710270_fdd","E","eastside","E",0.786996785831701,303720.354811666,0.135777178653527,10430573267.4133,6,1454,1556045.86261873,347580.255426569,310670.523907713,384490.01495425,-6950.16909604677
"2002_eastside_Na0710412_fmc",2002,"Na0710412_fmc","A","eastside","A",0.13490576710434,6464.55428881454,0.0188991130484347,267748180.455137,2,714,35403.1040066691,5222.32518359086,4471.24833208938,5973.40203509235,491.152253722185
"2002_eastside_Na0710412_fmc",2002,"Na0710412_fmc","B",NA,NA,0,7139.46706194542,NA,NA,NA,NA,35403.1040066691,8033.40273115324,7139.46706194542,8927.33772770208,0
"2002_eastside_Na0710412_fmc",2002,"Na0710412_fmc","C",NA,NA,0,4838.88283785511,NA,NA,NA,NA,35403.1040066691,5644.29350573461,4838.88283785511,6449.70385498617,0
"2002_eastside_Na0710412_fmc",2002,"Na0710412_fmc","D",NA,NA,0,1242.67695448935,NA,NA,NA,NA,35403.1040066691,1744.07985834874,1242.67695448935,2245.48279761122,0
"2002_eastside_Na0710412_fmc",2002,"Na0710412_fmc","E","eastside","E",0.162542958258209,15717.5228635647,0.0213821979662438,302953323.093098,1,714,35403.1040066691,14759.0025508261,13800.4836188086,15717.5228635647,0
"2002_eastside_Na0710412_fmh",2002,"Na0710412_fmh","A","eastside","A",0.461529688639244,176600.280413437,0.0462493158000164,1480267981.36089,7,1037,1416879.04359823,209004.360467696,178945.271557759,239063.449377633,-2344.99114432241
"2002_eastside_Na0710412_fmh",2002,"Na0710412_fmh","B","eastside","B",1.25826744990556,357283.862429752,0.16533170040132,19448416490.6581,13,1664,1416879.04359823,321507.401622515,285730.913894577,357283.862429752,0
"2002_eastside_Na0710412_fmh",2002,"Na0710412_fmh","C","eastside","C",0.68390595059025,221186.644418914,0.101760206331239,10687264420.7526,6,1629,1416879.04359823,225892.090780698,193658.490681849,258125.678127635,0
"2002_eastside_Na0710412_fmh",2002,"Na0710412_fmh","D","eastside","D",0.101331189394946,32772.2046253606,0.00502219065824117,525332160.93383,3,1629,1416879.04359823,69800.3825085675,49733.5751816215,89867.1912523924,-16961.3705562609
"2002_eastside_Na0710412_fmh",2002,"Na0710412_fmh","E","eastside","E",1.24589284903014,629036.051710771,0.156200472703415,42386057844.4511,13,2438,1416879.04359823,590674.801134363,552313.605816237,629036.051710771,0
"2002_eastside_Na0710412_fmi",2002,"Na0710412_fmi","A",NA,NA,0,5481.03945942267,NA,NA,NA,NA,43398.5758862832,6401.74024685017,5481.03945942267,7322.44103427767,0
"2002_eastside_Na0710412_fmi",2002,"Na0710412_fmi","B",NA,NA,0,8751.85133532615,NA,NA,NA,NA,43398.5758862832,9847.67431656143,8751.85133532615,10943.4964732238,0
"2002_eastside_Na0710412_fmi",2002,"Na0710412_fmi","C",NA,NA,0,5931.70090407693,NA,NA,NA,NA,43398.5758862832,6919.00631049005,5931.70090407693,7906.31132631598,0
"2002_eastside_Na0710412_fmi",2002,"Na0710412_fmi","D",NA,NA,0,1523.32434188207,NA,NA,NA,NA,43398.5758862832,2137.96457141236,1523.32434188207,2752.60484434124,0
"2002_eastside_Na0710412_fmi",2002,"Na0710412_fmi","E","eastside","E",2.26415009804897,21710.6598455754,12.830270025601,4703826128.67231,1,35,43398.5758862832,18092.1902239763,16917.1984322463,19267.1837082508,2443.47613732461
