"strataID","YEAR","BpS_Code","SCLASS","ew","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N","AREA_STRATA","avg","low","high","departure"
"2011_Na0210290_fdw",2011,"Na0210290_fdw","A",NA,NA,0,861.795620451071,NA,NA,NA,NA,11570.6416294558,1071.20817389364,861.795620451071,1280.62071576557,0
"2011_Na0210290_fdw",2011,"Na0210290_fdw","B","westside","B",0.0330442966579983,843.540156326614,2.0399615802395e-07,28905779.5551322,1,7550,11570.6416294558,126.457185399434,54.8121426903756,198.102228108492,645.437928218122
"2011_Na0210290_fdw",2011,"Na0210290_fdw","C",NA,NA,0,2166.25288776042,NA,NA,NA,NA,11570.6416294558,2450.62948775153,2166.25288776042,2735.00630758483,0
"2011_Na0210290_fdw",2011,"Na0210290_fdw","D",NA,NA,0,7158.15159524942,NA,NA,NA,NA,11570.6416294558,7511.89603154114,7158.15159524942,7865.64046783286,0
"2011_Na0210290_fdw",2011,"Na0210290_fdw","E","westside","E",0.0410095214293827,540.901369668259,2.96433122402704e-07,40498946.6757407,1,7550,11570.6416294558,410.450623592985,279.999854376428,540.901369668259,0
"2011_Na0210290_fwo",2011,"Na0210290_fwo","A","eastside","A",0.109867448426376,17166.3920283528,1.30308404657449e-06,89225677.9381481,4,7550,137459.125118621,12725.9440849402,10238.1247135588,15213.7633188624,1952.62870949039
"2011_Na0210290_fwo",2011,"Na0210290_fwo","B","eastside","B",0.498137418789527,3092.98263870012,2.0553548499611e-05,437258367.805598,16,7550,137459.125118621,1502.31029761718,651.167793574678,2353.45280165967,739.529837040443
"2011_Na0210290_fwo",2011,"Na0210290_fwo","C","eastside","C",0.00708377482763718,25735.0660640277,8.91113310770528e-09,1200348.5086335,1,7550,137459.125118621,29113.4576771145,25735.0660640277,32491.8519019246,0
"2011_Na0210290_fwo",2011,"Na0210290_fwo","D",NA,NA,0,85038.7806709493,NA,NA,NA,NA,137459.125118621,89241.2615951231,85038.7806709493,93443.7425192969,0
"2011_Na0210290_fwo",2011,"Na0210290_fwo","E","eastside","E",0.264670093208524,6425.90371659101,6.40663678778432e-06,249724128.262915,6,7550,137459.125118621,4876.14995177565,3326.39591204203,6425.90371659101,0
"2011_Na0210350_fvg",2011,"Na0210350_fvg","A","westside","A",0.00832693999449504,3127.27529715331,1.14992068881936e-08,1523175.03747014,1,7550,83832.1100602171,4238.27383269606,3127.27529715331,5349.27220057459,0
"2011_Na0210350_fvg",2011,"Na0210350_fvg","B","westside","B",0.1440938041615,11374.6645364114,2.19425881287552e-06,141713574.828874,3,7550,83832.1100602171,8536.518725798,6989.89199558238,10083.1446176925,1291.51991871889
"2011_Na0210350_fvg",2011,"Na0210350_fvg","C",NA,NA,0,6058.66991108579,NA,NA,NA,NA,83832.1100602171,7539.23433977855,6058.66991108579,9019.79801398232,0
"2011_Na0210350_fvg",2011,"Na0210350_fvg","D",NA,NA,0,34093.0817761312,NA,NA,NA,NA,83832.1100602171,36845.0828840963,34093.0817761312,39597.0839920614,0
"2011_Na0210350_fvg",2011,"Na0210350_fvg","E","westside","E",0.384117161613766,29178.4185394354,1.2918694983972e-05,358793153.925305,9,7550,83832.1100602171,26673.0011161693,24167.5852857133,29178.4185394354,0
