"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","strataID"
"RaDFHEwt_fhc",9,"A","B","Grow w/o fire","None",0,0,1,9373.88537698217,"2002_Oregon_eastside_RaDFHEwt_fhc"
"RaDFHEwt_fhc",13,"A","C","Grow w/ fire","None",0,0,1,49.0602386848255,"2002_Oregon_eastside_RaDFHEwt_fhc"
"RaDFHEwt_fhc",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,45540.0735931868,"2002_Oregon_eastside_RaDFHEwt_fhc"
"RaDFHEwt_fhc",20,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,1453.82602208427,"2002_Oregon_eastside_RaDFHEwt_fhc"
"RaDFHEwt_fwm",7,"B","C","Thin / low fire","None",1,0,0,228.554820658925,"2002_Oregon_eastside_RaDFHEwt_fwm"
"RaDFHEwt_fwm",10,"B","E","Grow w/o fire","None",0,0,1,39873.7746292197,"2002_Oregon_eastside_RaDFHEwt_fwm"
"RaDFHEwt_fwm",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,42876.1394142136,"2002_Oregon_eastside_RaDFHEwt_fwm"
"RaDFHEwt_fwm",20,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,6772.87666457121,"2002_Oregon_eastside_RaDFHEwt_fwm"
"RaDFHEwt_fwn",1,"B","A","Regen / high fire","None",1,0,0,9173.17118602245,"2002_Oregon_eastside_RaDFHEwt_fwn"
"RaDFHEwt_fwn",7,"B","C","Thin / low fire","None",1,0,0,216.652359279956,"2002_Oregon_eastside_RaDFHEwt_fwn"
"RaDFHEwt_fwn",10,"B","E","Grow w/o fire","None",0,0,1,55994.4053162062,"2002_Oregon_eastside_RaDFHEwt_fwn"
"RaDFHEwt_fwn",18,"B","D","Thin / low fire","Grow w/ fire",0,1,0,6420.165211397,"2002_Oregon_eastside_RaDFHEwt_fwn"
"RaMCONdy_fdd",1,"B","C","Thin / low fire","None",1,0,0,444763.778981383,"2002_Oregon_eastside_RaMCONdy_fdd"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,624160.438417776,"2002_Oregon_eastside_RaMCONdy_fdd"
"RaMCONdy_fdd",13,"B","E","Grow w/o fire","None",0,0,1,111695.912776969,"2002_Oregon_eastside_RaMCONdy_fdd"
"RaMCONdy_fdg",1,"B","C","Thin / low fire","None",1,0,0,263101.271740909,"2002_Oregon_eastside_RaMCONdy_fdg"
"RaMCONdy_fdg",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,349905.96119931,"2002_Oregon_eastside_RaMCONdy_fdg"
"RaMCONdy_fdg",6,"B","A","Regen / high fire","None",1,0,0,9386.11691117621,"2002_Oregon_eastside_RaMCONdy_fdg"
"RaMCONdy_fdg",13,"B","E","Grow w/o fire","None",0,0,1,38824.490149573,"2002_Oregon_eastside_RaMCONdy_fdg"
"RaMCONdy_fmd",1,"B","C","Thin / low fire","None",1,0,0,231889.422913371,"2002_Oregon_eastside_RaMCONdy_fmd"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,308396.42423454,"2002_Oregon_eastside_RaMCONdy_fmd"
