"strataID","YEAR","BpS_Code","SCLASS","STATE","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N","AREA_STRATA","avg","low","high","departure"
"2002_Oregon_Na0210290_fwo",2002,"Na0210290_fwo","A","Oregon","A",0.352158871262405,18172.8239438999,0.000145968802205035,3532830624.23246,1,740,118922.608083459,11009.8362665946,8857.50212486398,13162.1702894026,5010.65365449731
"2002_Oregon_Na0210290_fwo",2002,"Na0210290_fwo","B","Oregon","B",0.422334604032919,2036.08705448379,0.000201840736128455,4257493065.73912,1,740,118922.608083459,1299.72207075447,563.357087025152,2036.08705448379,0
"2002_Oregon_Na0210290_fwo",2002,"Na0210290_fwo","C",NA,NA,0,22264.6635710306,NA,NA,NA,NA,118922.608083459,25187.4752898514,22264.6635710306,28110.2892682018,0
"2002_Oregon_Na0210290_fwo",2002,"Na0210290_fwo","D",NA,NA,0,73571.2058177255,NA,NA,NA,NA,118922.608083459,77206.9774807014,73571.2058177255,80842.7491436772,0
"2002_Oregon_Na0210290_fwo",2002,"Na0210290_fwo","E",NA,NA,0,2877.82769631935,NA,NA,NA,NA,118922.608083459,4218.59566740862,2877.82769631935,5559.36340065266,0
"2002_Oregon_Na0210350_fvg",2002,"Na0210350_fvg","A",NA,NA,0,2260.60452527083,NA,NA,NA,NA,60599.4769752561,3063.70885040121,2260.60452527083,3866.81305433263,0
"2002_Oregon_Na0210350_fvg",2002,"Na0210350_fvg","B",NA,NA,0,5052.76318037991,NA,NA,NA,NA,60599.4769752561,6170.76880924568,5052.76318037991,7288.77383211668,0
"2002_Oregon_Na0210350_fvg",2002,"Na0210350_fvg","C",NA,NA,0,4379.61334283239,NA,NA,NA,NA,60599.4769752561,5449.86470525787,4379.61334283239,6520.11552228805,0
"2002_Oregon_Na0210350_fvg",2002,"Na0210350_fvg","D",NA,NA,0,24644.7682472044,NA,NA,NA,NA,60599.4769752561,26634.099395594,24644.7682472044,28623.4305439835,0
"2002_Oregon_Na0210350_fvg",2002,"Na0210350_fvg","E","Oregon","E",0.394659184490027,24261.7276795685,0.000182871868303007,4207725893.08553,1,740,60599.4769752561,19281.0358207521,17469.9530647282,21092.1197281661,3169.60795140239
"2002_Oregon_Na0710270_fdd",2002,"Na0710270_fdd","A","Oregon","A",1.01605378541015,156013.923897774,0.00109481068803249,8601765081.32801,5,740,1628872.48852112,147032.888877925,119338.254784678,174727.524600045,0
"2002_Oregon_Na0710270_fdd",2002,"Na0710270_fdd","B","Oregon","B",3.40770079324663,136832.890389036,0.00408534989982271,56279993369.3618,17,1454,1628872.48852112,102748.043519439,77235.4421251968,128260.636769318,8572.25361971815
"2002_Oregon_Na0710270_fdd",2002,"Na0710270_fdd","C",NA,NA,0,289393.762611777,NA,NA,NA,NA,1628872.48852112,326598.024685844,289393.762611777,363802.28675991,0
"2002_Oregon_Na0710270_fdd",2002,"Na0710270_fdd","D",NA,NA,0,644146.854777198,NA,NA,NA,NA,1628872.48852112,688645.698145481,644146.854777198,733144.481245483,0
"2002_Oregon_Na0710270_fdd",2002,"Na0710270_fdd","E","Oregon","E",2.0003030837346,402485.056845338,0.00146466174394769,27281888106.4312,14,1454,1628872.48852112,363847.833292434,325210.639059236,402485.056845338,0
"2002_Oregon_Na0710412_fmc",2002,"Na0710412_fmc","A","Oregon","A",0.135159586175795,32803.9577097982,3.85904664326287e-06,267748180.455137,2,714,259739.97424734,38314.3412634555,32803.9577097982,43824.7248171128,0
"2002_Oregon_Na0710412_fmc",2002,"Na0710412_fmc","B","Oregon","B",0.570032536194966,65496.6996976831,4.49332179835624e-05,1424324803.38602,3,714,259739.97424734,58938.2167765626,52379.7289203825,65496.6996976831,0
"2002_Oregon_Na0710412_fmc",2002,"Na0710412_fmc","C","Oregon","C",0.0186545683557591,35501.1612386762,9.31169552338248e-08,8250389.22214541,1,714,259739.97424734,41410.1726658705,35501.1612386762,47319.1817554049,0
"2002_Oregon_Na0710412_fmc",2002,"Na0710412_fmc","D",NA,NA,0,9117.07855040127,NA,NA,NA,NA,259739.97424734,12795.6932083545,9117.07855040127,16474.3081260478,0
"2002_Oregon_Na0710412_fmc",2002,"Na0710412_fmc","E","Oregon","E",1.2593447488028,116821.077050781,0.000327635035350809,7254195931.98451,7,749,259739.97424734,108281.549034397,101249.236763956,115313.871434698,1507.2056160838
"2002_Oregon_Na0710412_fmh",2002,"Na0710412_fmh","A","Oregon","A",0.299381746545035,80617.6612425193,1.42871372278343e-05,641775176.528116,3,714,638326.309290368,94159.7538941145,80617.6612425193,107701.84654571,0
"2002_Oregon_Na0710412_fmh",2002,"Na0710412_fmh","B","Oregon","B",2.22462930897376,164666.050002182,0.000926884500895976,14850322926.2051,6,749,638326.309290368,144844.144610999,128726.273806197,160962.0032876,3704.04671458207
"2002_Oregon_Na0710412_fmh",2002,"Na0710412_fmh","C",NA,NA,0,87246.1980281363,NA,NA,NA,NA,638326.309290368,101767.942194799,87246.1980281363,116289.680616525,0
"2002_Oregon_Na0710412_fmh",2002,"Na0710412_fmh","D",NA,NA,0,22405.7583722026,NA,NA,NA,NA,638326.309290368,31446.1709029157,22405.7583722026,40486.5840719551,0
"2002_Oregon_Na0710412_fmh",2002,"Na0710412_fmh","E","Oregon","E",1.01481762839658,283390.641645327,0.000362898550211198,21259610205.2542,5,1489,638326.309290368,266108.294495908,248825.972241215,283390.641645327,0
"2002_Oregon_Na0710412_fmi",2002,"Na0710412_fmi","A",NA,NA,0,5481.03945942267,NA,NA,NA,NA,43398.5758862832,6401.74024685017,5481.03945942267,7322.44103427767,0
"2002_Oregon_Na0710412_fmi",2002,"Na0710412_fmi","B",NA,NA,0,8751.85133532615,NA,NA,NA,NA,43398.5758862832,9847.67431656143,8751.85133532615,10943.4964732238,0
"2002_Oregon_Na0710412_fmi",2002,"Na0710412_fmi","C",NA,NA,0,5931.70090407693,NA,NA,NA,NA,43398.5758862832,6919.00631049005,5931.70090407693,7906.31132631598,0
"2002_Oregon_Na0710412_fmi",2002,"Na0710412_fmi","D",NA,NA,0,1523.32434188207,NA,NA,NA,NA,43398.5758862832,2137.96457141236,1523.32434188207,2752.60484434124,0
"2002_Oregon_Na0710412_fmi",2002,"Na0710412_fmi","E","Oregon","E",2.26415009804897,21710.6598455754,0.028580205423255,4703826128.67231,1,35,43398.5758862832,18092.1902239763,16917.1984322463,19267.1837082508,2443.47613732461
"2002_Oregon_R1RFWF_fcw",2002,"R1RFWF_fcw","A","Oregon","A",0.143114544318569,23585.2285377147,4.36763787327116e-06,294067309.208346,1,714,159271.14164951,26957.9913434608,23585.2285377147,30330.7557419182,0
"2002_Oregon_R1RFWF_fcw",2002,"R1RFWF_fcw","B","Oregon","B",0.235141423141179,35849.5253278295,9.1127884252697e-06,385597473.834235,3,714,159271.14164951,40078.3423289496,35849.5253278295,44307.156303918,0
"2002_Oregon_R1RFWF_fcw",2002,"R1RFWF_fcw","C",NA,NA,0,10983.681794545,NA,NA,NA,NA,159271.14164951,13973.6739993259,10983.681794545,16963.6670004625,0
"2002_Oregon_R1RFWF_fcw",2002,"R1RFWF_fcw","D",NA,NA,0,22981.9376441385,NA,NA,NA,NA,159271.14164951,26439.7391349186,22981.9376441385,29897.5452445618,0
"2002_Oregon_R1RFWF_fcw",2002,"R1RFWF_fcw","E","Oregon","E",0.962421165487776,65870.7683452822,0.000115724121759515,2147074998.91692,6,714,159271.14164951,51821.3932501438,47655.754492053,55987.0348751151,9883.73347016709
"2002_Oregon_RaABAMlw_fsi",2002,"RaABAMlw_fsi","A","Oregon","A",0.816969298389153,97055.1594036423,8.19602049167677e-05,1528128903.42508,11,714,935583.819713047,123070.356584541,103521.453361949,142619.259807132,-6466.2939583071
"2002_Oregon_RaABAMlw_fsi",2002,"RaABAMlw_fsi","B","Oregon","B",1.63449120961195,220429.556243684,0.000486524993771634,6758704681.69124,17,749,935583.819713047,194817.689086738,169205.803218115,220429.556243684,0
"2002_Oregon_RaABAMlw_fsi",2002,"RaABAMlw_fsi","C","Oregon","C",0.0282268274971798,17214.1424127653,3.41071586847125e-07,35942175.4757542,1,714,935583.819713047,27718.6793574599,18792.2591642366,36645.0967439318,-1578.11675147133
"2002_Oregon_RaABAMlw_fsi",2002,"RaABAMlw_fsi","D",NA,NA,0,54731.7329778379,NA,NA,NA,NA,935583.819713047,71840.7009606527,54731.7329778379,88949.6652011322,0
"2002_Oregon_RaABAMlw_fsi",2002,"RaABAMlw_fsi","E","Oregon","E",4.41896295844798,546153.228675118,0.00367570292292607,18531923740.2577,26,749,935583.819713047,518136.393723656,490119.558772195,546153.228675118,0
"2002_Oregon_RaABAMlw_fsw",2002,"RaABAMlw_fsw","A","Oregon","A",0.00702349223570547,20906.6422858676,9.97548632964662e-09,629158.138446424,1,714,188945.533625746,24854.6348370037,20906.6422858676,28802.6273881398,0
"2002_Oregon_RaABAMlw_fsw",2002,"RaABAMlw_fsw","B","Oregon","B",0.0908583505010797,34171.9043318057,1.4959390378106e-06,80603520.3376661,2,714,188945.533625746,39344.3446205795,34171.9043318057,44516.7811304426,0
"2002_Oregon_RaABAMlw_fsw",2002,"RaABAMlw_fsw","C",NA,NA,0,3795.18474027163,NA,NA,NA,NA,188945.533625746,5597.91709972341,3795.18474027163,7400.64889233859,0
"2002_Oregon_RaABAMlw_fsw",2002,"RaABAMlw_fsw","D",NA,NA,0,11053.3297774765,NA,NA,NA,NA,188945.533625746,14508.5659809951,11053.3297774765,17963.8014287315,0
"2002_Oregon_RaABAMlw_fsw",2002,"RaABAMlw_fsw","E","Oregon","E",1.28521747376731,119018.472490324,0.000341833313289201,7145584566.10538,8,749,188945.533625746,104640.071087444,98981.9400692826,110298.202105605,8720.2703847189
"2002_Oregon_RaABAMlw_fwc",2002,"RaABAMlw_fwc","A",NA,NA,0,1161.86415980502,NA,NA,NA,NA,10500.4448190796,1381.26959974231,1161.86415980502,1600.6750396796,0
"2002_Oregon_RaABAMlw_fwc",2002,"RaABAMlw_fwc","B","Oregon","B",0.0456043584723451,2473.97223323179,5.34964235310312e-07,41310433.7076385,1,714,10500.4448190796,2186.51963718582,1899.06683113096,2473.97223323179,0
"2002_Oregon_RaABAMlw_fwc",2002,"RaABAMlw_fwc","C","Oregon","C",0.0427839465835483,749.51664796972,4.70840414840675e-07,36358732.9027148,1,714,10500.4448190796,311.09822222026,210.913310194305,411.283102744882,338.233545224838
"2002_Oregon_RaABAMlw_fwc",2002,"RaABAMlw_fwc","D",NA,NA,0,614.276914453967,NA,NA,NA,NA,10500.4448190796,806.297950335122,614.276914453967,998.318944214497,0
"2002_Oregon_RaABAMlw_fwc",2002,"RaABAMlw_fwc","E",NA,NA,0,5500.81486361912,NA,NA,NA,NA,10500.4448190796,5815.25940959611,5500.81486361912,6129.70395557309,0
"2002_Oregon_RaDFHEdy_fwi",2002,"RaDFHEdy_fwi","A","Oregon","A",1.46773544109423,336476.203994251,0.000785692195766618,19980290969.5825,16,1454,3207536.82800343,180922.356100286,135177.540384138,226667.187854117,109809.016140134
"2002_Oregon_RaDFHEdy_fwi",2002,"RaDFHEdy_fwi","B","Oregon","B",4.78510752670585,612581.856221413,0.00771818563587658,68261970354.0971,43,1489,3207536.82800343,544970.777610706,477359.641264335,612581.856221413,0
"2002_Oregon_RaDFHEdy_fwi",2002,"RaDFHEdy_fwi","C","Oregon","C",0.345119509828542,144068.50209507,4.74747929885013e-05,4568187181.0337,6,1454,3207536.82800343,188198.547545896,144068.50209507,232328.576959038,0
"2002_Oregon_RaDFHEdy_fwi",2002,"RaDFHEdy_fwi","D",NA,NA,0,415160.540109875,NA,NA,NA,NA,3207536.82800343,491447.76527507,415160.540109875,567735.022515634,0
"2002_Oregon_RaDFHEdy_fwi",2002,"RaDFHEdy_fwi","E","Oregon","E",4.52420335483259,1699249.72558282,0.0069254251729963,58969647181.6156,48,1489,3207536.82800343,1801997.38147147,1699249.72558282,1904745.03415258,0
"2002_Oregon_RaDFHEdy_fwx",2002,"RaDFHEdy_fwx","A",NA,NA,0,1767.26175877258,NA,NA,NA,NA,41934.1642100948,2365.31276079195,1767.26175877258,2963.36397248213,0
"2002_Oregon_RaDFHEdy_fwx",2002,"RaDFHEdy_fwx","B",NA,NA,0,6240.82548617558,NA,NA,NA,NA,41934.1642100948,7124.74877248891,6240.82548617558,8008.67130398728,0
"2002_Oregon_RaDFHEdy_fwx",2002,"RaDFHEdy_fwx","C",NA,NA,0,1883.49894274405,NA,NA,NA,NA,41934.1642100948,2460.43902847513,1883.49894274405,3037.37890453538,0
"2002_Oregon_RaDFHEdy_fwx",2002,"RaDFHEdy_fwx","D",NA,NA,0,5427.65716998981,NA,NA,NA,NA,41934.1642100948,6425.00847061417,5427.65716998981,7422.36019058018,0
"2002_Oregon_RaDFHEdy_fwx",2002,"RaDFHEdy_fwx","E","Oregon","E",0.352984065182742,26614.9208524128,1.88376823473165e-05,778420950.67611,3,714,41934.1642100948,23558.6551777246,22215.3698764865,24901.9404370286,1712.98041538414
"2002_Oregon_RaDFHEwt_fdm",2002,"RaDFHEwt_fdm","A",NA,NA,0,456.34035745703,NA,NA,NA,NA,14000.5930921062,648.540443423091,456.34035745703,840.740571390932,0
"2002_Oregon_RaDFHEwt_fdm",2002,"RaDFHEwt_fdm","B",NA,NA,0,2059.3150085526,NA,NA,NA,NA,14000.5930921062,2380.50885894313,2059.3150085526,2701.70258332832,0
"2002_Oregon_RaDFHEwt_fdm",2002,"RaDFHEwt_fdm","C",NA,NA,0,10.7778665711997,NA,NA,NA,NA,14000.5930921062,84.7273472137198,10.7778665711997,158.676813855647,0
"2002_Oregon_RaDFHEwt_fdm",2002,"RaDFHEwt_fdm","D",NA,NA,0,319.385785797427,NA,NA,NA,NA,14000.5930921062,486.804261966737,319.385785797427,654.222724135453,0
"2002_Oregon_RaDFHEwt_fdm",2002,"RaDFHEwt_fdm","E","Oregon","E",0.117851073407858,11154.7740737279,3.45294263056018e-06,275876138.22072,1,714,14000.5930921062,10400.012096556,10004.534221351,10795.491035806,359.283037921919
"2002_Oregon_RaDFHEwt_fhc",2002,"RaDFHEwt_fhc","A","Oregon","A",0.415046375771123,7313.06219464533,0.000195193431468235,4111817848.74176,1,740,63729.9074255834,2952.11939588501,2077.23548166623,3827.00350129351,3486.05869335182
"2002_Oregon_RaDFHEwt_fhc",2002,"RaDFHEwt_fhc","B",NA,NA,0,9373.88537698217,NA,NA,NA,NA,63729.9074255834,10835.9416067712,9373.88537698217,12297.997262991,0
"2002_Oregon_RaDFHEwt_fhc",2002,"RaDFHEwt_fhc","C",NA,NA,0,49.0602386848255,NA,NA,NA,NA,63729.9074255834,385.674089577681,49.0602386848255,722.287876740629,0
"2002_Oregon_RaDFHEwt_fhc",2002,"RaDFHEwt_fhc","D",NA,NA,0,1453.82602208427,NA,NA,NA,NA,63729.9074255834,2215.90545096347,1453.82602208427,2977.98481611276,0
"2002_Oregon_RaDFHEwt_fhc",2002,"RaDFHEwt_fhc","E",NA,NA,0,45540.0735931868,NA,NA,NA,NA,63729.9074255834,47340.2665000066,45540.0735931868,49140.4642502994,0
"2002_Oregon_RaDFHEwt_fwm",2002,"RaDFHEwt_fwm","A","Oregon","A",0.48682194999239,43870.9363862342,9.14661013661618e-05,6444693460.27003,5,1454,637029.475833136,29508.7055250064,20763.5674288871,38253.8455322143,5617.09085401995
"2002_Oregon_RaDFHEwt_fwm",2002,"RaDFHEwt_fwm","B","Oregon","B",0.599534066548099,122927.948065646,0.000139665754960234,8435403115.39047,5,1454,637029.475833136,108313.576478677,93699.1991584426,122927.948065646,0
"2002_Oregon_RaDFHEwt_fwm",2002,"RaDFHEwt_fwm","C",NA,NA,0,490.394845938486,NA,NA,NA,NA,637029.475833136,3855.10936781096,490.394845938486,7219.82325265396,0
"2002_Oregon_RaDFHEwt_fwm",2002,"RaDFHEwt_fwm","D",NA,NA,0,14532.1100596662,NA,NA,NA,NA,637029.475833136,22149.6805023819,14532.1100596662,29767.2503080681,0
"2002_Oregon_RaDFHEwt_fwm",2002,"RaDFHEwt_fwm","E","Oregon","E",1.17030668431899,455208.086475651,0.000466560592777523,24538412995.3193,8,1489,637029.475833136,473202.400137083,455208.086475651,491196.762212755,0
"2002_Oregon_RaDFHEwt_fwn",2002,"RaDFHEwt_fwn","A","Oregon","A",0.517699397220351,140994.34993785,0.00010303266115538,9112063683.89499,5,1454,2421754.46218615,112181.369920221,78935.5343503472,145427.212755358,0
"2002_Oregon_RaDFHEwt_fwn",2002,"RaDFHEwt_fwn","B","Oregon","B",4.79329148530668,467531.525462345,0.00824672170234541,67870934274.0726,28,1454,2421754.46218615,411768.838183691,356210.288964189,467327.365607403,204.159854941594
"2002_Oregon_RaDFHEwt_fwn",2002,"RaDFHEwt_fwn","C","Oregon","C",0.205869115173221,27447.1430940348,1.90483647342618e-05,2783987503.07806,3,1454,2421754.46218615,14655.7242135485,1864.30291130783,27447.1430940348,0
"2002_Oregon_RaDFHEwt_fwn",2002,"RaDFHEwt_fwn","D",NA,NA,0,55245.7990047469,NA,NA,NA,NA,2421754.46218615,84205.0323063725,55245.7990047469,113164.263186244,0
"2002_Oregon_RaDFHEwt_fwn",2002,"RaDFHEwt_fwn","E","Oregon","E",3.37527522503819,1730535.64468717,0.00412466918861238,44358379750.3044,20,1454,2421754.46218615,1798943.48303179,1730535.64468717,1867351.50542974,0
