"YEAR","STATE","ew","sclass","AREA_TOTAL"
"2017","Oregon","eastside","A",2166205.360645
"2017","Oregon","eastside","B",8188848.99484
"2017","Oregon","eastside","C",3780731.45723
"2017","Oregon","eastside","D",518483.25199
"2017","Oregon","eastside","E",3957655.797925
"2017","Oregon","westside","A",765195.588475
"2017","Oregon","westside","B",3728703.258955
"2017","Oregon","westside","C",506594.237685
"2017","Oregon","westside","D",495284.117565
"2017","Oregon","westside","E",3520369.62762
"2017","Washington","eastside","A",1362127.11995
"2017","Washington","eastside","B",4213010.626505
"2017","Washington","eastside","C",1985267.67978
"2017","Washington","eastside","D",248226.401645
"2017","Washington","eastside","E",1481698.23649
"2017","Washington","westside","A",1292334.453865
"2017","Washington","westside","B",6726797.13265
"2017","Washington","westside","C",955195.86559
"2017","Washington","westside","D",246361.17478
"2017","Washington","westside","E",3872321.72445
