"YEAR","ew","BpS","PVT","BpS_Code","BPS_LLID","sclass","AREA_TOTAL"
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030204","A",2.891135
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030204","B",326.47586
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030204","C",10.452565
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030204","D",10.67496
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030204","E",167.908225
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030205","A",51.373245
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030205","B",470.365425
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030205","C",85.622075
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030205","D",0.88958
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030205","E",15.12286
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030206","A",0.88958
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030206","B",16.679625
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030206","C",1.556765
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030206","E",4.4479
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030207","A",19.793155
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030207","B",204.15861
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030207","C",48.704505
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030207","D",0.44479
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030207","E",1.77916
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030208","B",1.111975
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030209","A",82.28615
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030209","B",1154.897235
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030209","C",156.343685
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030209","D",1.556765
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030209","E",83.842915
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030210","A",66.7185
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030210","B",874.90193
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030210","C",107.19439
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030210","D",0.667185
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030210","E",104.748045
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030211","A",164.794695
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030211","B",2348.713595
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030211","C",250.194375
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030211","D",1.77916
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030211","E",96.297035
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030212","A",282.664045
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030212","B",507.727785
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030212","C",31.1353
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030212","D",2.446345
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030212","E",54.041985
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030213","A",1183.58619
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030213","B",8883.34588
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030213","C",780.828845
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030213","D",8.45101
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030213","E",171.24415
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030301","A",5498.271585
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030301","B",9417.09388
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030301","C",497.942405
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030301","D",9.78538
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030301","E",2006.89248
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030501","A",27.13219
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030501","B",126.76515
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030501","C",2.22395
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030501","E",119.20372
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030502","A",122.31725
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030502","B",408.76201
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030502","C",7.783825
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030502","E",259.979755
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030602","A",6.894245
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030602","B",6.894245
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030602","C",1.77916
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030602","E",2.001555
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030604","B",0.667185
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030604","E",0.222395
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030701","A",1.33437
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030701","B",49.149295
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030701","C",6.894245
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030701","D",0.667185
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030701","E",49.37169
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030702","A",0.88958
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030702","B",23.796265
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030702","C",2.891135
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030702","E",12.45412
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030703","A",392.74957
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030703","B",519.292325
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030703","C",321.58317
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030703","D",16.01244
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030703","E",151.895785
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030704","A",1028.132085
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030704","B",1128.87702
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030704","C",851.105665
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030704","D",24.01866
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030704","E",109.640735
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030705","A",208.384115
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030705","B",809.740195
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030705","C",441.009285
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030705","D",138.996875
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030705","E",209.0513
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030706","A",26.465005
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030706","B",1126.65307
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030706","C",133.659395
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030706","D",0.88958
