"YEAR","STATE","ew","sclass","AREA_TOTAL"
"2016","Oregon","eastside","A",2099867.82328
"2016","Oregon","eastside","B",8226555.844695
"2016","Oregon","eastside","C",3787410.201475
"2016","Oregon","eastside","D",513551.86526
"2016","Oregon","eastside","E",3984539.12792
"2016","Oregon","westside","A",755252.97521
"2016","Oregon","westside","B",3752222.19739
"2016","Oregon","westside","C",519297.440085
"2016","Oregon","westside","D",472089.87583
"2016","Oregon","westside","E",3517284.341785
"2016","Washington","eastside","A",1297862.52638
"2016","Washington","eastside","B",4264901.607065
"2016","Washington","eastside","C",1976292.484765
"2016","Washington","eastside","D",248087.182375
"2016","Washington","eastside","E",1503186.263785
"2016","Washington","westside","A",1269867.88857
"2016","Washington","westside","B",6721319.321405
"2016","Washington","westside","C",983087.089725
"2016","Washington","westside","D",243639.282375
"2016","Washington","westside","E",3875096.76926
