"YEAR","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
"2010","RaABAMlw","fsi","RaABAMlw_fsi","A",83092.331875
"2010","RaABAMlw","fsi","RaABAMlw_fsi","B",1114519.64359
"2010","RaABAMlw","fsi","RaABAMlw_fsi","C",213601.5017
"2010","RaABAMlw","fsi","RaABAMlw_fsi","D",23155.989795
"2010","RaABAMlw","fsi","RaABAMlw_fsi","E",868617.269695
"2010","RaABAMlw","fsw","RaABAMlw_fsw","A",9841.86833
"2010","RaABAMlw","fsw","RaABAMlw_fsw","B",138244.067925
"2010","RaABAMlw","fsw","RaABAMlw_fsw","C",25209.140435
"2010","RaABAMlw","fsw","RaABAMlw_fsw","D",6362.053765
"2010","RaABAMlw","fsw","RaABAMlw_fsw","E",125749.24964
"2010","RaABAMlw","fwc","RaABAMlw_fwc","A",27138.194665
"2010","RaABAMlw","fwc","RaABAMlw_fwc","B",200870.944715
"2010","RaABAMlw","fwc","RaABAMlw_fwc","C",29100.38575
"2010","RaABAMlw","fwc","RaABAMlw_fwc","D",6222.16731
"2010","RaABAMlw","fwc","RaABAMlw_fwc","E",118485.82894
"2010","RaABAMup","fsi","RaABAMup_fsi","A",7059.039695
"2010","RaABAMup","fsi","RaABAMup_fsi","B",17907.2454
"2010","RaABAMup","fsi","RaABAMup_fsi","C",3340.3729
"2010","RaABAMup","fsi","RaABAMup_fsi","D",4408.31369
"2010","RaABAMup","fsi","RaABAMup_fsi","E",16370.49595
"2010","RaABAMup","fst","RaABAMup_fst","A",51601.644665
"2010","RaABAMup","fst","RaABAMup_fst","B",737593.255445
"2010","RaABAMup","fst","RaABAMup_fst","C",71501.549265
"2010","RaABAMup","fst","RaABAMup_fst","D",3280.993435
"2010","RaABAMup","fst","RaABAMup_fst","E",602364.41893
"2010","RaABAMup","fsw","RaABAMup_fsw","A",24.01866
"2010","RaABAMup","fsw","RaABAMup_fsw","B",364.950195
"2010","RaABAMup","fsw","RaABAMup_fsw","C",54.26438
"2010","RaABAMup","fsw","RaABAMup_fsw","D",4.670295
"2010","RaABAMup","fsw","RaABAMup_fsw","E",62.2706
"2010","RaABLA","faf","RaABLA_faf","A",9338.81084
"2010","RaABLA","faf","RaABLA_faf","B",80503.209285
"2010","RaABLA","faf","RaABLA_faf","C",3025.46158
"2010","RaABLA","faf","RaABLA_faf","D",2.446345
"2010","RaABLA","faf","RaABLA_faf","E",78731.83311
"2010","RaDFHEdy","fdg","RaDFHEdy_fdg","A",222431.91757
"2010","RaDFHEdy","fdg","RaDFHEdy_fdg","B",698267.36999
"2010","RaDFHEdy","fdg","RaDFHEdy_fdg","C",183612.42553
