"YEAR","STATE","ew","sclass","AREA_TOTAL"
"2015","Oregon","eastside","A",2115173.49197
"2015","Oregon","eastside","B",8216753.562675
"2015","Oregon","eastside","C",3786745.01803
"2015","Oregon","eastside","D",509215.385155
"2015","Oregon","eastside","E",3984037.4048
"2015","Oregon","westside","A",781045.45773
"2015","Oregon","westside","B",3756378.31515
"2015","Oregon","westside","C",526982.076915
"2015","Oregon","westside","D",448036.299815
"2015","Oregon","westside","E",3503704.68069
"2015","Washington","eastside","A",1284080.041045
"2015","Washington","eastside","B",4284654.286175
"2015","Washington","eastside","C",1955824.138545
"2015","Washington","eastside","D",244640.059875
"2015","Washington","eastside","E",1521131.53873
"2015","Washington","westside","A",1307535.152115
"2015","Washington","westside","B",6690245.18003
"2015","Washington","westside","C",991015.916265
"2015","Washington","westside","D",237779.39652
"2015","Washington","westside","E",3866434.706405
