"YEAR","ew","BpS","PVT","BpS_Code","BPS_LLID","sclass","AREA_TOTAL"
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","A",1.33437
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","B",377.849105
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","C",14.23328
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","D",7.783825
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","E",395.640705
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","A",8.673405
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","B",503.05749
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","C",48.48211
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","D",14.23328
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","E",655.62046
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","A",6.67185
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","B",310.90821
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","C",6.894245
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","D",1.33437
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","E",553.31876
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","A",27.57698
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","B",1340.374665
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","C",35.805595
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","D",14.455675
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","E",1605.6919
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","A",49.37169
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","B",448.34832
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","C",70.944005
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","D",44.92379
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","E",1068.38558
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030109","A",22.461895
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030109","B",243.077735
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030109","C",11.11975
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030109","D",1.111975
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030109","E",158.79003
"2007","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030110","A",108.751155
