"YEAR","STATE","sclass","AREA_TOTAL"
"2015","Oregon","A",2896218.9497
"2015","Oregon","B",11973131.877825
"2015","Oregon","C",4313727.094945
"2015","Oregon","D",957251.68497
"2015","Oregon","E",7487742.08549
"2015","Washington","A",2591615.19316
"2015","Washington","B",10974899.466205
"2015","Washington","C",2946840.05481
"2015","Washington","D",482419.456395
"2015","Washington","E",5387566.245135
