"YEAR","ew","BpS","PVT","BpS_Code","BPS_LLID","sclass","AREA_TOTAL"
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","A",6.67185
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","B",378.96108
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","C",14.010885
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","D",6.67185
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","E",390.52562
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","A",10.67496
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","B",505.72623
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","C",26.24261
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","D",14.010885
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","E",673.41206
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","A",3.780715
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","B",299.78846
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","C",3.780715
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","D",1.77916
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","E",569.998385
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","A",17.124415
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","B",1311.463315
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","C",23.796265
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","D",17.569205
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","E",1653.951615
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","A",172.800915
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","B",399.86621
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","C",122.76204
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","D",127.877125
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","E",858.667095
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030109","A",16.90202
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030109","B",249.304795
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030109","C",8.00622
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030109","D",1.111975
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030109","E",161.236375
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030110","A",110.085525
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030110","B",634.048145
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030110","C",41.36547
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030110","D",17.34681
"2013","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030110","E",794.83973
"2013","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030111","A",2762.1459
"2013","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030111","B",11465.129435
"2013","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030111","C",1435.559725
"2013","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030111","D",8.228615
"2013","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030111","E",1198.26426
"2013","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030201","B",9.78538
"2013","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030201","C",0.222395
"2013","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030201","D",1.111975
"2013","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030201","E",24.685845
"2013","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030202","A",20.46034
"2013","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030202","B",390.52562
"2013","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030202","C",41.143075
"2013","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030202","D",19.793155
"2013","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030202","E",464.80555
"2013","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030203","A",4.670295
