"YEAR","ew","BpS","PVT","BpS_Code","BPS_LLID","sclass","AREA_TOTAL"
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","A",5.559875
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","B",340.70914
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","C",34.471225
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","D",15.345255
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030104","E",400.75579
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","A",20.01555
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","B",445.23479
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","C",73.83514
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","D",21.127525
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030105","E",669.85374
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","A",10.23017
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","B",304.23636
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","C",13.566095
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","D",1.77916
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030106","E",549.31565
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","A",48.704505
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","B",1294.3389
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","C",62.937785
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","D",16.45723
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030107","E",1601.466395
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","A",52.04043
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","B",436.78378
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","C",48.9269
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","D",39.808705
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030108","E",1104.41357
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030109","A",32.02488
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030109","B",224.17416
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030109","C",16.90202
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030109","D",0.88958
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030109","E",162.570745
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030110","A",130.76826
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030110","B",621.594025
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030110","C",46.70295
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030110","D",15.12286
"2002","eastside","Na0210290","fdw","Na0210290_fdw","Na0210290_fdw_1710030110","E",783.497585
"2002","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030111","A",2227.06353
"2002","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030111","B",11929.045405
"2002","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030111","C",1533.63592
"2002","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030111","D",10.23017
"2002","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030111","E",1169.35291
"2002","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030201","B",12.45412
"2002","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030201","C",0.667185
"2002","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030201","D",0.44479
"2002","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030201","E",22.2395
"2002","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030202","A",20.90513
"2002","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030202","B",406.760455
"2002","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030202","C",53.152405
"2002","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030202","D",11.11975
