"YEAR","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
"2017","Na0210290","fdw","Na0210290_fdw","A",6459.462775
"2017","Na0210290","fdw","Na0210290_fdw","B",27570.085755
"2017","Na0210290","fdw","Na0210290_fdw","C",1328.14294
"2017","Na0210290","fdw","Na0210290_fdw","D",224.17416
"2017","Na0210290","fdw","Na0210290_fdw","E",21865.43161
"2017","Na0210290","fwo","Na0210290_fwo","A",27316.110665
"2017","Na0210290","fwo","Na0210290_fwo","B",149665.385545
"2017","Na0210290","fwo","Na0210290_fwo","C",22813.946285
"2017","Na0210290","fwo","Na0210290_fwo","D",848.436925
"2017","Na0210290","fwo","Na0210290_fwo","E",15665.05901
"2017","Na0210350","fvg","Na0210350_fvg","A",12225.720335
"2017","Na0210350","fvg","Na0210350_fvg","B",29010.98296
"2017","Na0210350","fvg","Na0210350_fvg","C",2561.9904
"2017","Na0210350","fvg","Na0210350_fvg","D",217.279915
"2017","Na0210350","fvg","Na0210350_fvg","E",49092.584275
"2017","Na0710270","fdd","Na0710270_fdd","A",68045.530965
"2017","Na0710270","fdd","Na0710270_fdd","B",1127741.02634
"2017","Na0710270","fdd","Na0710270_fdd","C",168946.36486
"2017","Na0710270","fdd","Na0710270_fdd","D",6891.57626
"2017","Na0710270","fdd","Na0710270_fdd","E",31643.472575
"2017","Na0710411","fmt","Na0710411_fmt","A",15402.410515
"2017","Na0710411","fmt","Na0710411_fmt","B",191702.933235
"2017","Na0710411","fmt","Na0710411_fmt","C",85205.30677
"2017","Na0710411","fmt","Na0710411_fmt","D",14975.63451
"2017","Na0710411","fmt","Na0710411_fmt","E",196316.51751
"2017","Na0710412","fmc","Na0710412_fmc","A",47337.66533
"2017","Na0710412","fmc","Na0710412_fmc","B",212177.506515
"2017","Na0710412","fmc","Na0710412_fmc","C",20645.595035
"2017","Na0710412","fmc","Na0710412_fmc","D",21834.29631
"2017","Na0710412","fmc","Na0710412_fmc","E",531042.120035
"2017","Na0710412","fmh","Na0710412_fmh","A",129047.81228
"2017","Na0710412","fmh","Na0710412_fmh","B",470063.634985
"2017","Na0710412","fmh","Na0710412_fmh","C",84686.014445
"2017","Na0710412","fmh","Na0710412_fmh","D",106929.517555
"2017","Na0710412","fmh","Na0710412_fmh","E",629314.467425
"2017","Na0710412","fmi","Na0710412_fmi","A",8063.375515
"2017","Na0710412","fmi","Na0710412_fmi","B",37721.083135
"2017","Na0710412","fmi","Na0710412_fmi","C",4387.186165
"2017","Na0710412","fmi","Na0710412_fmi","D",4571.774015
"2017","Na0710412","fmi","Na0710412_fmi","E",52920.66941
"2017","Na1010471","frn","Na1010471_frn","A",28002.19924
"2017","Na1010471","frn","Na1010471_frn","B",441760.9801
"2017","Na1010471","frn","Na1010471_frn","C",180583.628025
"2017","Na1010471","frn","Na1010471_frn","D",916.2674
"2017","Na1010471","frn","Na1010471_frn","E",34736.542235
"2017","R1RFWF","fcw","R1RFWF_fcw","A",4571.99641
"2017","R1RFWF","fcw","R1RFWF_fcw","B",63528.91091
"2017","R1RFWF","fcw","R1RFWF_fcw","C",4411.87201
"2017","R1RFWF","fcw","R1RFWF_fcw","D",2200.37613
"2017","R1RFWF","fcw","R1RFWF_fcw","E",74841.69977
"2017","R1RFWF","frm","R1RFWF_frm","A",45.590975
"2017","R1RFWF","frm","R1RFWF_frm","B",1726.67478
