"YEAR","STATE","ew","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
"2014","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","A",322.250355
"2014","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","B",3756.918735
"2014","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","C",245.52408
"2014","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","D",187.70138
"2014","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","E",5133.76618
"2014","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","A",25375.71429
"2014","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","B",152161.102235
"2014","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","C",22342.024095
"2014","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","D",681.86307
"2014","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","E",15748.23474
"2014","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","A",300.23325
"2014","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","B",613.587805
"2014","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","C",276.436985
"2014","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","D",27.354585
"2014","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","E",743.021695
"2014","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","A",61799.344995
"2014","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","B",1134317.024095
"2014","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","C",169000.406845
"2014","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","D",5874.119135
"2014","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","E",32277.07593
"2014","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","A",1471.587715
"2014","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","B",3160.455345
"2014","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","C",378.293895
"2014","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","D",813.298515
"2014","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","E",10815.736035
"2014","Oregon","eastside","Na0710412","fmh","Na0710412_fmh","A",41788.242895
"2014","Oregon","eastside","Na0710412","fmh","Na0710412_fmh","B",214626.965045
"2014","Oregon","eastside","Na0710412","fmh","Na0710412_fmh","C",27706.636285
"2014","Oregon","eastside","Na0710412","fmh","Na0710412_fmh","D",33325.668355
"2014","Oregon","eastside","Na0710412","fmh","Na0710412_fmh","E",344485.184705
"2014","Oregon","eastside","Na0710412","fmi","Na0710412_fmi","A",5790.498615
"2014","Oregon","eastside","Na0710412","fmi","Na0710412_fmi","B",16209.259575
"2014","Oregon","eastside","Na0710412","fmi","Na0710412_fmi","C",2672.74311
"2014","Oregon","eastside","Na0710412","fmi","Na0710412_fmi","D",3506.057175
"2014","Oregon","eastside","Na0710412","fmi","Na0710412_fmi","E",20379.83301
"2014","Oregon","eastside","R1RFWF","fcw","R1RFWF_fcw","A",3837.20333
"2014","Oregon","eastside","R1RFWF","fcw","R1RFWF_fcw","B",63679.027535
"2014","Oregon","eastside","R1RFWF","fcw","R1RFWF_fcw","C",4709.658915
"2014","Oregon","eastside","R1RFWF","fcw","R1RFWF_fcw","D",2467.472525
"2014","Oregon","eastside","R1RFWF","fcw","R1RFWF_fcw","E",74591.505395
"2014","Oregon","eastside","R1RFWF","frm","R1RFWF_frm","A",42.69984
"2014","Oregon","eastside","R1RFWF","frm","R1RFWF_frm","B",1746.023145
"2014","Oregon","eastside","R1RFWF","frm","R1RFWF_frm","C",78.060645
"2014","Oregon","eastside","R1RFWF","frm","R1RFWF_frm","D",70.499215
"2014","Oregon","eastside","R1RFWF","frm","R1RFWF_frm","E",1865.226865
"2014","Oregon","eastside","RaABAMlw","fsi","RaABAMlw_fsi","A",10203.704995
"2014","Oregon","eastside","RaABAMlw","fsi","RaABAMlw_fsi","B",54411.60549
"2014","Oregon","eastside","RaABAMlw","fsi","RaABAMlw_fsi","C",16743.22997
"2014","Oregon","eastside","RaABAMlw","fsi","RaABAMlw_fsi","D",2148.558095
"2014","Oregon","eastside","RaABAMlw","fsi","RaABAMlw_fsi","E",51510.462715
"2014","Oregon","eastside","RaABAMlw","fsw","RaABAMlw_fsw","A",1844.766525
"2014","Oregon","eastside","RaABAMlw","fsw","RaABAMlw_fsw","B",8734.118835
"2014","Oregon","eastside","RaABAMlw","fsw","RaABAMlw_fsw","C",2741.463165
"2014","Oregon","eastside","RaABAMlw","fsw","RaABAMlw_fsw","D",228.844455
"2014","Oregon","eastside","RaABAMlw","fsw","RaABAMlw_fsw","E",8443.00378
"2014","Oregon","eastside","RaABAMlw","fwc","RaABAMlw_fwc","A",962.97035
"2014","Oregon","eastside","RaABAMlw","fwc","RaABAMlw_fwc","B",4064.713415
"2014","Oregon","eastside","RaABAMlw","fwc","RaABAMlw_fwc","C",1573.66702
"2014","Oregon","eastside","RaABAMlw","fwc","RaABAMlw_fwc","D",417.65781
"2014","Oregon","eastside","RaABAMlw","fwc","RaABAMlw_fwc","E",4388.520535
"2014","Oregon","eastside","RaDFHEdy","fwi","RaDFHEdy_fwi","A",52015.52176
