"YEAR","STATE","ew","MAP_ZONE","BpS","PVT","BpS_Code","BPS_LLID","sclass","AREA_TOTAL"
"2002","Oregon","eastside","ZoneNull","RaDFWV","fwx","RaDFWV_fwx","RaDFWV_fwx_HUC10null","A",506.838205
"2002","Oregon","eastside","ZoneNull","RaDFWV","fwx","RaDFWV_fwx","RaDFWV_fwx_HUC10null","B",617.590915
"2002","Oregon","eastside","ZoneNull","RaDFWV","fwx","RaDFWV_fwx","RaDFWV_fwx_HUC10null","C",233.292355
"2002","Oregon","eastside","ZoneNull","RaDFWV","fwx","RaDFWV_fwx","RaDFWV_fwx_HUC10null","D",67.830475
"2002","Oregon","eastside","ZoneNull","RaDFWV","fwx","RaDFWV_fwx","RaDFWV_fwx_HUC10null","E",742.576905
"2002","Oregon","eastside","ZoneNull","RaDFHEdy","fwi","RaDFHEdy_fwi","RaDFHEdy_fwi_HUC8null","A",30.468115
"2002","Oregon","eastside","ZoneNull","RaDFHEdy","fwi","RaDFHEdy_fwi","RaDFHEdy_fwi_HUC8null","B",53.597195
"2002","Oregon","eastside","ZoneNull","RaDFHEdy","fwi","RaDFHEdy_fwi","RaDFHEdy_fwi_HUC8null","C",14.67807
"2002","Oregon","eastside","ZoneNull","RaDFHEdy","fwi","RaDFHEdy_fwi","RaDFHEdy_fwi_HUC8null","D",1.77916
"2002","Oregon","eastside","ZoneNull","RaDFHEdy","fwi","RaDFHEdy_fwi","RaDFHEdy_fwi_HUC8null","E",27.13219
"2002","Oregon","eastside","ZoneNull","RaSSHE","fss","RaSSHE_fss","RaSSHE_fss_ZoneNull","A",41.36547
"2002","Oregon","eastside","ZoneNull","RaSSHE","fss","RaSSHE_fss","RaSSHE_fss_ZoneNull","B",487.04505
"2002","Oregon","eastside","ZoneNull","RaSSHE","fss","RaSSHE_fss","RaSSHE_fss_ZoneNull","C",6.894245
"2002","Oregon","eastside","ZoneNull","RaSSHE","fss","RaSSHE_fss","RaSSHE_fss_ZoneNull","D",10.452565
