"YEAR","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
"2012","Na0210290","fdw","Na0210290_fdw","A",7136.433155
"2012","Na0210290","fdw","Na0210290_fdw","B",28458.99857
"2012","Na0210290","fdw","Na0210290_fdw","C",1308.12739
"2012","Na0210290","fdw","Na0210290_fdw","D",212.387225
"2012","Na0210290","fdw","Na0210290_fdw","E",20331.3509
"2012","Na0210290","fwo","Na0210290_fwo","A",24392.950785
"2012","Na0210290","fwo","Na0210290_fwo","B",152743.777135
"2012","Na0210290","fwo","Na0210290_fwo","C",22694.742565
"2012","Na0210290","fwo","Na0210290_fwo","D",635.16012
"2012","Na0210290","fwo","Na0210290_fwo","E",15842.307825
"2012","Na0210350","fvg","Na0210350_fvg","A",13258.30032
"2012","Na0210350","fvg","Na0210350_fvg","B",28757.675055
"2012","Na0210350","fvg","Na0210350_fvg","C",2777.26876
"2012","Na0210350","fvg","Na0210350_fvg","D",213.4992
"2012","Na0210350","fvg","Na0210350_fvg","E",48101.81455
"2012","Na0710270","fdd","Na0710270_fdd","A",55075.899355
"2012","Na0710270","fdd","Na0710270_fdd","B",1145971.18928
"2012","Na0710270","fdd","Na0710270_fdd","C",165827.05259
"2012","Na0710270","fdd","Na0710270_fdd","D",4997.438045
"2012","Na0710270","fdd","Na0710270_fdd","E",31396.39173
"2012","Na0710411","fmt","Na0710411_fmt","A",13404.413835
"2012","Na0710411","fmt","Na0710411_fmt","B",189784.109175
"2012","Na0710411","fmt","Na0710411_fmt","C",87263.572495
"2012","Na0710411","fmt","Na0710411_fmt","D",15241.17414
"2012","Na0710411","fmt","Na0710411_fmt","E",197909.532895
"2012","Na0710412","fmc","Na0710412_fmc","A",47865.18627
"2012","Na0710412","fmc","Na0710412_fmc","B",210056.08061
"2012","Na0710412","fmc","Na0710412_fmc","C",19726.658895
"2012","Na0710412","fmc","Na0710412_fmc","D",22859.314865
"2012","Na0710412","fmc","Na0710412_fmc","E",532529.942585
"2012","Na0710412","fmh","Na0710412_fmh","A",107300.69481
"2012","Na0710412","fmh","Na0710412_fmh","B",472955.214775
"2012","Na0710412","fmh","Na0710412_fmh","C",69958.35036
"2012","Na0710412","fmh","Na0710412_fmh","D",101247.325305
"2012","Na0710412","fmh","Na0710412_fmh","E",668579.86144
"2012","Na0710412","fmi","Na0710412_fmi","A",8087.394175
"2012","Na0710412","fmi","Na0710412_fmi","B",37275.848345
"2012","Na0710412","fmi","Na0710412_fmi","C",3838.5377
"2012","Na0710412","fmi","Na0710412_fmi","D",4775.71023
"2012","Na0710412","fmi","Na0710412_fmi","E",53686.59779
"2012","Na1010471","frn","Na1010471_frn","A",22661.828105
"2012","Na1010471","frn","Na1010471_frn","B",465149.81746
"2012","Na1010471","frn","Na1010471_frn","C",162717.97049
"2012","Na1010471","frn","Na1010471_frn","D",1108.639075
"2012","Na1010471","frn","Na1010471_frn","E",34361.36187
"2012","R1RFWF","fcw","R1RFWF_fcw","A",3690.86742
"2012","R1RFWF","fcw","R1RFWF_fcw","B",65028.965185
"2012","R1RFWF","fcw","R1RFWF_fcw","C",4766.36964
"2012","R1RFWF","fcw","R1RFWF_fcw","D",2426.77424
"2012","R1RFWF","fcw","R1RFWF_fcw","E",73641.878745
"2012","R1RFWF","frm","R1RFWF_frm","A",48.704505
"2012","R1RFWF","frm","R1RFWF_frm","B",1726.897175
"2012","R1RFWF","frm","R1RFWF_frm","C",80.0622
"2012","R1RFWF","frm","R1RFWF_frm","D",82.953335
"2012","R1RFWF","frm","R1RFWF_frm","E",1863.892495
"2012","RaABAMlw","fsi","RaABAMlw_fsi","A",82897.958645
"2012","RaABAMlw","fsi","RaABAMlw_fsi","B",1122815.86667
"2012","RaABAMlw","fsi","RaABAMlw_fsi","C",202939.218215
"2012","RaABAMlw","fsi","RaABAMlw_fsi","D",23544.95865
"2012","RaABAMlw","fsi","RaABAMlw_fsi","E",870788.734475
"2012","RaABAMlw","fsw","RaABAMlw_fsw","A",9823.18715
"2012","RaABAMlw","fsw","RaABAMlw_fsw","B",140068.596505
"2012","RaABAMlw","fsw","RaABAMlw_fsw","C",23171.33505
"2012","RaABAMlw","fsw","RaABAMlw_fsw","D",6373.618305
"2012","RaABAMlw","fsw","RaABAMlw_fsw","E",125969.643085
"2012","RaABAMlw","fwc","RaABAMlw_fwc","A",26383.386035
"2012","RaABAMlw","fwc","RaABAMlw_fwc","B",203472.29903
"2012","RaABAMlw","fwc","RaABAMlw_fwc","C",27569.640965
"2012","RaABAMlw","fwc","RaABAMlw_fwc","D",6130.54057
"2012","RaABAMlw","fwc","RaABAMlw_fwc","E",118261.65478
"2012","RaABAMup","fsi","RaABAMup_fsi","A",7386.849925
"2012","RaABAMup","fsi","RaABAMup_fsi","B",17078.824025
"2012","RaABAMup","fsi","RaABAMup_fsi","C",3843.207995
"2012","RaABAMup","fsi","RaABAMup_fsi","D",5070.606
"2012","RaABAMup","fsi","RaABAMup_fsi","E",15705.97969
"2012","RaABAMup","fst","RaABAMup_fst","A",53050.99288
"2012","RaABAMup","fst","RaABAMup_fst","B",733386.65402
"2012","RaABAMup","fst","RaABAMup_fst","C",69007.166945
"2012","RaABAMup","fst","RaABAMup_fst","D",3902.365065
"2012","RaABAMup","fst","RaABAMup_fst","E",606994.68283
"2012","RaABAMup","fsw","RaABAMup_fsw","A",23.57387
"2012","RaABAMup","fsw","RaABAMup_fsw","B",366.50696
"2012","RaABAMup","fsw","RaABAMup_fsw","C",46.035765
"2012","RaABAMup","fsw","RaABAMup_fsw","D",6.22706
"2012","RaABAMup","fsw","RaABAMup_fsw","E",67.830475
"2012","RaABLA","faf","RaABLA_faf","A",9286.548015
"2012","RaABLA","faf","RaABLA_faf","B",80695.358565
"2012","RaABLA","faf","RaABLA_faf","C",2935.836395
"2012","RaABLA","faf","RaABLA_faf","D",3.55832
"2012","RaABLA","faf","RaABLA_faf","E",78680.459865
"2012","RaDFHEdy","fdg","RaDFHEdy_fdg","A",213872.37881
"2012","RaDFHEdy","fdg","RaDFHEdy_fdg","B",709398.906925
"2012","RaDFHEdy","fdg","RaDFHEdy_fdg","C",177930.67807
"2012","RaDFHEdy","fdg","RaDFHEdy_fdg","D",25782.69714
"2012","RaDFHEdy","fdg","RaDFHEdy_fdg","E",353658.978455
"2012","RaDFHEdy","fwi","RaDFHEdy_fwi","A",667916.901945
"2012","RaDFHEdy","fwi","RaDFHEdy_fwi","B",2773644.61108
"2012","RaDFHEdy","fwi","RaDFHEdy_fwi","C",539991.51723
"2012","RaDFHEdy","fwi","RaDFHEdy_fwi","D",163456.099495
"2012","RaDFHEdy","fwi","RaDFHEdy_fwi","E",1783311.66986
"2012","RaDFHEdy","fwx","RaDFHEdy_fwx","A",2378.959315
"2012","RaDFHEdy","fwx","RaDFHEdy_fwx","B",39762.224445
"2012","RaDFHEdy","fwx","RaDFHEdy_fwx","C",17656.38384
"2012","RaDFHEdy","fwx","RaDFHEdy_fwx","D",6321.35548
"2012","RaDFHEdy","fwx","RaDFHEdy_fwx","E",44670.926885
"2012","RaDFHEwt","fdm","RaDFHEwt_fdm","A",10103.84964
"2012","RaDFHEwt","fdm","RaDFHEwt_fdm","B",56803.018925
"2012","RaDFHEwt","fdm","RaDFHEwt_fdm","C",11368.38761
"2012","RaDFHEwt","fdm","RaDFHEwt_fdm","D",5015.89683
"2012","RaDFHEwt","fdm","RaDFHEwt_fdm","E",59767.544275
"2012","RaDFHEwt","fhc","RaDFHEwt_fhc","A",13771.58798
"2012","RaDFHEwt","fhc","RaDFHEwt_fhc","B",65653.895135
"2012","RaDFHEwt","fhc","RaDFHEwt_fhc","C",4795.503385
"2012","RaDFHEwt","fhc","RaDFHEwt_fhc","D",5357.717945
"2012","RaDFHEwt","fhc","RaDFHEwt_fhc","E",46583.523885
"2012","RaDFHEwt","fwc","RaDFHEwt_fwc","A",54.486775
"2012","RaDFHEwt","fwc","RaDFHEwt_fwc","B",207.494535
"2012","RaDFHEwt","fwc","RaDFHEwt_fwc","C",18.013995
"2012","RaDFHEwt","fwc","RaDFHEwt_fwc","D",5.559875
"2012","RaDFHEwt","fwc","RaDFHEwt_fwc","E",79.839805
"2012","RaDFHEwt","fwm","RaDFHEwt_fwm","A",200592.061385
"2012","RaDFHEwt","fwm","RaDFHEwt_fwm","B",1036717.643975
"2012","RaDFHEwt","fwm","RaDFHEwt_fwm","C",174242.701785
"2012","RaDFHEwt","fwm","RaDFHEwt_fwm","D",50007.7397
"2012","RaDFHEwt","fwm","RaDFHEwt_fwm","E",742204.61577
"2012","RaDFHEwt","fwn","RaDFHEwt_fwn","A",312820.36221
"2012","RaDFHEwt","fwn","RaDFHEwt_fwn","B",1470697.467815
"2012","RaDFHEwt","fwn","RaDFHEwt_fwn","C",244066.280775
"2012","RaDFHEwt","fwn","RaDFHEwt_fwn","D",162228.2567
"2012","RaDFHEwt","fwn","RaDFHEwt_fwn","E",808911.55123
"2012","RaDFHEwt","fww","RaDFHEwt_fww","A",63344.545455
"2012","RaDFHEwt","fww","RaDFHEwt_fww","B",386735.56441
"2012","RaDFHEwt","fww","RaDFHEwt_fww","C",81100.562255
"2012","RaDFHEwt","fww","RaDFHEwt_fww","D",61360.782055
