"YEAR","ew","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
"2005","eastside","Na0210290","fdw","Na0210290_fdw","A",263.76047
"2005","eastside","Na0210290","fdw","Na0210290_fdw","B",3780.27021
"2005","eastside","Na0210290","fdw","Na0210290_fdw","C",260.20215
"2005","eastside","Na0210290","fdw","Na0210290_fdw","D",107.416785
"2005","eastside","Na0210290","fdw","Na0210290_fdw","E",5234.511115
"2005","eastside","Na0210290","fwo","Na0210290_fwo","A",24433.20428
"2005","eastside","Na0210290","fwo","Na0210290_fwo","B",149155.43381
"2005","eastside","Na0210290","fwo","Na0210290_fwo","C",25961.280325
"2005","eastside","Na0210290","fwo","Na0210290_fwo","D",616.701335
"2005","eastside","Na0210290","fwo","Na0210290_fwo","E",16142.31868
"2005","eastside","Na0210350","fvg","Na0210350_fvg","A",301.12283
"2005","eastside","Na0210350","fvg","Na0210350_fvg","B",533.30321
"2005","eastside","Na0210350","fvg","Na0210350_fvg","C",236.62828
"2005","eastside","Na0210350","fvg","Na0210350_fvg","D",27.354585
"2005","eastside","Na0210350","fvg","Na0210350_fvg","E",862.225415
"2005","eastside","Na0710270","fdd","Na0710270_fdd","A",60056.212985
"2005","eastside","Na0710270","fdd","Na0710270_fdd","B",1120334.38326
"2005","eastside","Na0710270","fdd","Na0710270_fdd","C",186376.79538
"2005","eastside","Na0710270","fdd","Na0710270_fdd","D",5682.19225
"2005","eastside","Na0710270","fdd","Na0710270_fdd","E",30818.387125
"2005","eastside","Na0710412","fmc","Na0710412_fmc","A",1215.61107
"2005","eastside","Na0710412","fmc","Na0710412_fmc","B",2740.79598
"2005","eastside","Na0710412","fmc","Na0710412_fmc","C",319.136825
"2005","eastside","Na0710412","fmc","Na0710412_fmc","D",771.488255
"2005","eastside","Na0710412","fmc","Na0710412_fmc","E",11592.339375
"2005","eastside","Na0710412","fmh","Na0710412_fmh","A",91819.556465
"2005","eastside","Na0710412","fmh","Na0710412_fmh","B",469410.01608
"2005","eastside","Na0710412","fmh","Na0710412_fmh","C",58324.42312
"2005","eastside","Na0710412","fmh","Na0710412_fmh","D",97497.968
"2005","eastside","Na0710412","fmh","Na0710412_fmh","E",702346.98387
"2005","eastside","Na0710412","fmi","Na0710412_fmi","A",4760.58737
"2005","eastside","Na0710412","fmi","Na0710412_fmi","B",13854.541315
"2005","eastside","Na0710412","fmi","Na0710412_fmi","C",1872.788295
"2005","eastside","Na0710412","fmi","Na0710412_fmi","D",3510.72747
"2005","eastside","Na0710412","fmi","Na0710412_fmi","E",24559.747035
"2005","eastside","Na1010471","frn","Na1010471_frn","A",19614.571815
"2005","eastside","Na1010471","frn","Na1010471_frn","B",478384.54391
"2005","eastside","Na1010471","frn","Na1010471_frn","C",152940.59671
"2005","eastside","Na1010471","frn","Na1010471_frn","D",1325.251805
"2005","eastside","Na1010471","frn","Na1010471_frn","E",33734.65276
"2005","eastside","R1RFWF","fcw","R1RFWF_fcw","A",3566.77101
"2005","eastside","R1RFWF","fcw","R1RFWF_fcw","B",64144.277875
"2005","eastside","R1RFWF","fcw","R1RFWF_fcw","C",5554.315125
"2005","eastside","R1RFWF","fcw","R1RFWF_fcw","D",1980.872265
"2005","eastside","R1RFWF","fcw","R1RFWF_fcw","E",74038.631425
"2005","eastside","R1RFWF","frm","R1RFWF_frm","A",49.594085
"2005","eastside","R1RFWF","frm","R1RFWF_frm","B",1609.472615
"2005","eastside","R1RFWF","frm","R1RFWF_frm","C",102.74649
"2005","eastside","R1RFWF","frm","R1RFWF_frm","D",66.27371
"2005","eastside","R1RFWF","frm","R1RFWF_frm","E",1974.42281
"2005","eastside","RaABAMlw","fsi","RaABAMlw_fsi","A",23946.826415
"2005","eastside","RaABAMlw","fsi","RaABAMlw_fsi","B",184257.148635
"2005","eastside","RaABAMlw","fsi","RaABAMlw_fsi","C",60426.05587
"2005","eastside","RaABAMlw","fsi","RaABAMlw_fsi","D",3454.23914
"2005","eastside","RaABAMlw","fsi","RaABAMlw_fsi","E",198378.786345
"2005","eastside","RaABAMlw","fsw","RaABAMlw_fsw","A",2192.8147
"2005","eastside","RaABAMlw","fsw","RaABAMlw_fsw","B",7570.548195
"2005","eastside","RaABAMlw","fsw","RaABAMlw_fsw","C",3104.18941
"2005","eastside","RaABAMlw","fsw","RaABAMlw_fsw","D",296.23014
"2005","eastside","RaABAMlw","fsw","RaABAMlw_fsw","E",8833.307005
"2005","eastside","RaABAMlw","fwc","RaABAMlw_fwc","A",792.61578
"2005","eastside","RaABAMlw","fwc","RaABAMlw_fwc","B",4102.520565
