"YEAR","STATE","ew","sclass","AREA_TOTAL"
"2012","Oregon","eastside","A",1038053.793135
"2012","Oregon","eastside","B",5465724.07675
"2012","Oregon","eastside","C",1799818.938735
"2012","Oregon","eastside","D",313801.791345
"2012","Oregon","eastside","E",3454441.741845
"2012","Oregon","westside","A",445001.72004
"2012","Oregon","westside","B",1621121.22031
"2012","Oregon","westside","C",264045.802785
"2012","Oregon","westside","D",182515.795785
"2012","Oregon","westside","E",1489882.150095
"2012","Washington","eastside","A",590959.55854
"2012","Washington","eastside","B",3007532.317495
"2012","Washington","eastside","C",856460.714205
"2012","Washington","eastside","D",104151.359215
"2012","Washington","eastside","E",1639100.52169
"2012","Washington","westside","A",893048.250025
"2012","Washington","westside","B",4207391.81683
"2012","Washington","westside","C",635658.062405
"2012","Washington","westside","D",146914.804185
"2012","Washington","westside","E",2027450.896195
