"YEAR","STATE","ew","sclass","AREA_TOTAL"
"2014","Oregon","eastside","A",2119581.80566
"2014","Oregon","eastside","B",8216782.918815
"2014","Oregon","eastside","C",3795399.074665
"2014","Oregon","eastside","D",505652.83965
"2014","Oregon","eastside","E",3974508.22384
"2014","Oregon","westside","A",793763.560595
"2014","Oregon","westside","B",3770522.19236
"2014","Oregon","westside","C",538940.256065
"2014","Oregon","westside","D",421394.93558
"2014","Oregon","westside","E",3491525.8857
"2014","Washington","eastside","A",1238418.12204
"2014","Washington","eastside","B",4322344.456405
"2014","Washington","eastside","C",1952500.44527
"2014","Washington","eastside","D",242901.59816
"2014","Washington","eastside","E",1534165.442495
"2014","Washington","westside","A",1322798.120965
"2014","Washington","westside","B",6679379.84991
"2014","Washington","westside","C",1005280.10917
"2014","Washington","westside","D",231549.22299
"2014","Washington","westside","E",3854003.0483
