"YEAR","STATE","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
"2006","Oregon","Na0210290","fdw","Na0210290_fdw","A",7453.123635
"2006","Oregon","Na0210290","fdw","Na0210290_fdw","B",28527.49623
"2006","Oregon","Na0210290","fdw","Na0210290_fdw","C",1417.323335
"2006","Oregon","Na0210290","fdw","Na0210290_fdw","D",162.570745
"2006","Oregon","Na0210290","fdw","Na0210290_fdw","E",19886.783295
"2006","Oregon","Na0210290","fwo","Na0210290_fwo","A",24588.213595
"2006","Oregon","Na0210290","fwo","Na0210290_fwo","B",149718.315555
"2006","Oregon","Na0210290","fwo","Na0210290_fwo","C",25486.02221
"2006","Oregon","Na0210290","fwo","Na0210290_fwo","D",610.25188
"2006","Oregon","Na0210290","fwo","Na0210290_fwo","E",15906.13519
"2006","Oregon","Na0210350","fvg","Na0210350_fvg","A",14457.00937
"2006","Oregon","Na0210350","fvg","Na0210350_fvg","B",26230.823065
"2006","Oregon","Na0210350","fvg","Na0210350_fvg","C",3007.447585
"2006","Oregon","Na0210350","fvg","Na0210350_fvg","D",290.00308
"2006","Oregon","Na0210350","fvg","Na0210350_fvg","E",49123.274785
"2006","Oregon","Na0710270","fdd","Na0710270_fdd","A",59838.04349
"2006","Oregon","Na0710270","fdd","Na0710270_fdd","B",1121831.324005
"2006","Oregon","Na0710270","fdd","Na0710270_fdd","C",185687.593275
"2006","Oregon","Na0710270","fdd","Na0710270_fdd","D",5487.37423
"2006","Oregon","Na0710270","fdd","Na0710270_fdd","E",30423.636
"2006","Oregon","Na0710412","fmc","Na0710412_fmc","A",18400.9623
"2006","Oregon","Na0710412","fmc","Na0710412_fmc","B",74823.685775
"2006","Oregon","Na0710412","fmc","Na0710412_fmc","C",5612.80501
"2006","Oregon","Na0710412","fmc","Na0710412_fmc","D",5578.333785
"2006","Oregon","Na0710412","fmc","Na0710412_fmc","E",191825.250485
"2006","Oregon","Na0710412","fmh","Na0710412_fmh","A",22052.6882
"2006","Oregon","Na0710412","fmh","Na0710412_fmh","B",219148.255395
"2006","Oregon","Na0710412","fmh","Na0710412_fmh","C",16205.701255
"2006","Oregon","Na0710412","fmh","Na0710412_fmh","D",30753.892575
"2006","Oregon","Na0710412","fmh","Na0710412_fmh","E",374414.659015
"2006","Oregon","Na0710412","fmi","Na0710412_fmi","A",5494.49087
"2006","Oregon","Na0710412","fmi","Na0710412_fmi","B",20635.809655
"2006","Oregon","Na0710412","fmi","Na0710412_fmi","C",2596.461625
"2006","Oregon","Na0710412","fmi","Na0710412_fmi","D",3909.481705
"2006","Oregon","Na0710412","fmi","Na0710412_fmi","E",37644.134465
"2006","Oregon","R1RFWF","fcw","R1RFWF_fcw","A",3113.53
"2006","Oregon","R1RFWF","fcw","R1RFWF_fcw","B",64854.162715
"2006","Oregon","R1RFWF","fcw","R1RFWF_fcw","C",5428.21716
"2006","Oregon","R1RFWF","fcw","R1RFWF_fcw","D",1906.592335
"2006","Oregon","R1RFWF","fcw","R1RFWF_fcw","E",74252.35302
"2006","Oregon","R1RFWF","frm","R1RFWF_frm","A",44.256605
"2006","Oregon","R1RFWF","frm","R1RFWF_frm","B",1623.4835
"2006","Oregon","R1RFWF","frm","R1RFWF_frm","C",100.52254
"2006","Oregon","R1RFWF","frm","R1RFWF_frm","D",64.716945
"2006","Oregon","R1RFWF","frm","R1RFWF_frm","E",1969.53012
"2006","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","A",39460.87922
"2006","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","B",418072.79907
"2006","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","C",92093.547105
"2006","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","D",18713.64967
"2006","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","E",367228.40938
"2006","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","A",10261.3053
"2006","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","B",132410.42468
"2006","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","C",30059.35299
"2006","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","D",5949.95583
"2006","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","E",126720.448605
"2006","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","A",3126.206515
"2006","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","B",37058.12364
"2006","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","C",8576.218385
"2006","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","D",2622.92663
"2006","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","E",40436.526085
"2006","Oregon","RaABAMup","fsi","RaABAMup_fsi","A",5388.18606
"2006","Oregon","RaABAMup","fsi","RaABAMup_fsi","B",20009.100545
"2006","Oregon","RaABAMup","fsi","RaABAMup_fsi","C",2705.21278
"2006","Oregon","RaABAMup","fsi","RaABAMup_fsi","D",4112.08355
"2006","Oregon","RaABAMup","fsi","RaABAMup_fsi","E",16870.8847
"2006","Oregon","RaABAMup","fst","RaABAMup_fst","A",88.06842
"2006","Oregon","RaABAMup","fst","RaABAMup_fst","B",990.99212
"2006","Oregon","RaABAMup","fst","RaABAMup_fst","C",64.716945
"2006","Oregon","RaABAMup","fst","RaABAMup_fst","D",31.802485
"2006","Oregon","RaABAMup","fst","RaABAMup_fst","E",1471.142925
"2006","Oregon","RaABAMup","fsw","RaABAMup_fsw","A",19.12597
"2006","Oregon","RaABAMup","fsw","RaABAMup_fsw","B",356.499185
"2006","Oregon","RaABAMup","fsw","RaABAMup_fsw","C",67.60808
"2006","Oregon","RaABAMup","fsw","RaABAMup_fsw","D",3.780715
"2006","Oregon","RaABAMup","fsw","RaABAMup_fsw","E",63.16018
"2006","Oregon","RaDFHEdy","fdg","RaDFHEdy_fdg","A",50.70606
"2006","Oregon","RaDFHEdy","fdg","RaDFHEdy_fdg","B",237.740255
