"YEAR","STATE","sclass","AREA_TOTAL"
"2008","Oregon","A",3112353.752845
"2008","Oregon","B",11802315.615805
"2008","Oregon","C",4585471.990235
"2008","Oregon","D",847902.065025
"2008","Oregon","E",7280028.26902
"2008","Washington","A",2665849.75458
"2008","Washington","B",10814728.363255
"2008","Washington","C",3116045.509845
"2008","Washington","D",448712.15822
"2008","Washington","E",5338004.629805
