"YEAR","ew","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
"2006","eastside","Na0210290","fdw","Na0210290_fdw","A",238.40744
"2006","eastside","Na0210290","fdw","Na0210290_fdw","B",3817.63257
"2006","eastside","Na0210290","fdw","Na0210290_fdw","C",247.525635
"2006","eastside","Na0210290","fdw","Na0210290_fdw","D",102.079305
"2006","eastside","Na0210290","fdw","Na0210290_fdw","E",5240.51578
"2006","eastside","Na0210290","fwo","Na0210290_fwo","A",24588.213595
"2006","eastside","Na0210290","fwo","Na0210290_fwo","B",149718.315555
"2006","eastside","Na0210290","fwo","Na0210290_fwo","C",25486.02221
"2006","eastside","Na0210290","fwo","Na0210290_fwo","D",610.25188
"2006","eastside","Na0210290","fwo","Na0210290_fwo","E",15906.13519
"2006","eastside","Na0210350","fvg","Na0210350_fvg","A",321.805565
"2006","eastside","Na0210350","fvg","Na0210350_fvg","B",536.41674
"2006","eastside","Na0210350","fvg","Na0210350_fvg","C",250.194375
"2006","eastside","Na0210350","fvg","Na0210350_fvg","D",24.46345
"2006","eastside","Na0210350","fvg","Na0210350_fvg","E",827.75419
"2006","eastside","Na0710270","fdd","Na0710270_fdd","A",59838.04349
"2006","eastside","Na0710270","fdd","Na0710270_fdd","B",1121831.324005
"2006","eastside","Na0710270","fdd","Na0710270_fdd","C",185687.593275
"2006","eastside","Na0710270","fdd","Na0710270_fdd","D",5487.37423
"2006","eastside","Na0710270","fdd","Na0710270_fdd","E",30423.636
"2006","eastside","Na0710412","fmc","Na0710412_fmc","A",1182.029425
"2006","eastside","Na0710412","fmc","Na0710412_fmc","B",2755.251655
"2006","eastside","Na0710412","fmc","Na0710412_fmc","C",321.58317
"2006","eastside","Na0710412","fmc","Na0710412_fmc","D",766.81796
"2006","eastside","Na0710412","fmc","Na0710412_fmc","E",11613.689295
"2006","eastside","Na0710412","fmh","Na0710412_fmh","A",91418.355885
"2006","eastside","Na0710412","fmh","Na0710412_fmh","B",471574.36422
"2006","eastside","Na0710412","fmh","Na0710412_fmh","C",59837.5987
"2006","eastside","Na0710412","fmh","Na0710412_fmh","D",99247.994255
"2006","eastside","Na0710412","fmh","Na0710412_fmh","E",697320.634475
"2006","eastside","Na0710412","fmi","Na0710412_fmi","A",4480.147275
"2006","eastside","Na0710412","fmi","Na0710412_fmi","B",14075.82434
"2006","eastside","Na0710412","fmi","Na0710412_fmi","C",1937.727635
"2006","eastside","Na0710412","fmi","Na0710412_fmi","D",3541.41798
"2006","eastside","Na0710412","fmi","Na0710412_fmi","E",24523.274255
"2006","eastside","Na1010471","frn","Na1010471_frn","A",20243.060085
"2006","eastside","Na1010471","frn","Na1010471_frn","B",476176.60635
"2006","eastside","Na1010471","frn","Na1010471_frn","C",154629.241945
"2006","eastside","Na1010471","frn","Na1010471_frn","D",1261.42444
"2006","eastside","Na1010471","frn","Na1010471_frn","E",33689.28418
"2006","eastside","R1RFWF","fcw","R1RFWF_fcw","A",3111.528445
"2006","eastside","R1RFWF","fcw","R1RFWF_fcw","B",64764.53753
"2006","eastside","R1RFWF","fcw","R1RFWF_fcw","C",5425.10363
"2006","eastside","R1RFWF","fcw","R1RFWF_fcw","D",1906.592335
"2006","eastside","R1RFWF","fcw","R1RFWF_fcw","E",74077.10576
"2006","eastside","R1RFWF","frm","R1RFWF_frm","A",44.256605
"2006","eastside","R1RFWF","frm","R1RFWF_frm","B",1623.4835
"2006","eastside","R1RFWF","frm","R1RFWF_frm","C",100.52254
"2006","eastside","R1RFWF","frm","R1RFWF_frm","D",64.716945
"2006","eastside","R1RFWF","frm","R1RFWF_frm","E",1969.53012
"2006","eastside","RaABAMlw","fsi","RaABAMlw_fsi","A",22918.027145
"2006","eastside","RaABAMlw","fsi","RaABAMlw_fsi","B",186692.373885
"2006","eastside","RaABAMlw","fsi","RaABAMlw_fsi","C",60386.91435
"2006","eastside","RaABAMlw","fsi","RaABAMlw_fsi","D",3411.5393
