"YEAR","STATE","sclass","AREA_TOTAL"
"2006","Oregon","A",3140097.084305
"2006","Oregon","B",11667737.284665
"2006","Oregon","C",4679412.972605
"2006","Oregon","D",850375.31982
"2006","Oregon","E",7290449.031535
"2006","Washington","A",2630444.47058
"2006","Washington","B",10735156.766625
"2006","Washington","C",3189276.84742
"2006","Washington","D",448994.15508
"2006","Washington","E",5379468.176
