"YEAR","STATE","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
"2017","Oregon","Na0210290","fdw","Na0210290_fdw","A",6459.462775
"2017","Oregon","Na0210290","fdw","Na0210290_fdw","B",27570.085755
"2017","Oregon","Na0210290","fdw","Na0210290_fdw","C",1328.14294
"2017","Oregon","Na0210290","fdw","Na0210290_fdw","D",224.17416
"2017","Oregon","Na0210290","fdw","Na0210290_fdw","E",21865.43161
"2017","Oregon","Na0210290","fwo","Na0210290_fwo","A",27316.110665
"2017","Oregon","Na0210290","fwo","Na0210290_fwo","B",149665.385545
"2017","Oregon","Na0210290","fwo","Na0210290_fwo","C",22813.946285
"2017","Oregon","Na0210290","fwo","Na0210290_fwo","D",848.436925
"2017","Oregon","Na0210290","fwo","Na0210290_fwo","E",15665.05901
"2017","Oregon","Na0210350","fvg","Na0210350_fvg","A",12225.720335
"2017","Oregon","Na0210350","fvg","Na0210350_fvg","B",29010.98296
"2017","Oregon","Na0210350","fvg","Na0210350_fvg","C",2561.9904
"2017","Oregon","Na0210350","fvg","Na0210350_fvg","D",217.279915
"2017","Oregon","Na0210350","fvg","Na0210350_fvg","E",49092.584275
"2017","Oregon","Na0710270","fdd","Na0710270_fdd","A",68045.530965
"2017","Oregon","Na0710270","fdd","Na0710270_fdd","B",1127741.02634
"2017","Oregon","Na0710270","fdd","Na0710270_fdd","C",168946.36486
"2017","Oregon","Na0710270","fdd","Na0710270_fdd","D",6891.57626
"2017","Oregon","Na0710270","fdd","Na0710270_fdd","E",31643.472575
"2017","Oregon","Na0710412","fmc","Na0710412_fmc","A",20183.458225
"2017","Oregon","Na0710412","fmc","Na0710412_fmc","B",74965.79618
"2017","Oregon","Na0710412","fmc","Na0710412_fmc","C",7304.34138
"2017","Oregon","Na0710412","fmc","Na0710412_fmc","D",5686.862545
"2017","Oregon","Na0710412","fmc","Na0710412_fmc","E",188100.579025
"2017","Oregon","Na0710412","fmh","Na0710412_fmh","A",48665.585875
"2017","Oregon","Na0710412","fmh","Na0710412_fmh","B",209639.979565
"2017","Oregon","Na0710412","fmh","Na0710412_fmh","C",31905.453885
"2017","Oregon","Na0710412","fmh","Na0710412_fmh","D",36270.84534
"2017","Oregon","Na0710412","fmh","Na0710412_fmh","E",336093.331775
"2017","Oregon","Na0710412","fmi","Na0710412_fmi","A",6587.3399
"2017","Oregon","Na0710412","fmi","Na0710412_fmi","B",23064.807845
"2017","Oregon","Na0710412","fmi","Na0710412_fmi","C",3295.44911
"2017","Oregon","Na0710412","fmi","Na0710412_fmi","D",3803.176895
"2017","Oregon","Na0710412","fmi","Na0710412_fmi","E",33529.60457
"2017","Oregon","R1RFWF","fcw","R1RFWF_fcw","A",4571.99641
"2017","Oregon","R1RFWF","fcw","R1RFWF_fcw","B",63528.91091
"2017","Oregon","R1RFWF","fcw","R1RFWF_fcw","C",4411.87201
"2017","Oregon","R1RFWF","fcw","R1RFWF_fcw","D",2200.37613
"2017","Oregon","R1RFWF","fcw","R1RFWF_fcw","E",74841.69977
"2017","Oregon","R1RFWF","frm","R1RFWF_frm","A",45.590975
"2017","Oregon","R1RFWF","frm","R1RFWF_frm","B",1726.67478
"2017","Oregon","R1RFWF","frm","R1RFWF_frm","C",81.618965
"2017","Oregon","R1RFWF","frm","R1RFWF_frm","D",66.051315
"2017","Oregon","R1RFWF","frm","R1RFWF_frm","E",1882.573675
"2017","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","A",38202.345915
"2017","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","B",439253.921265
"2017","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","C",72764.752865
"2017","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","D",19210.4801
"2017","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","E",366137.7843
"2017","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","A",8817.07217
"2017","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","B",142591.890175
"2017","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","C",19972.40537
"2017","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","D",7041.248095
"2017","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","E",126978.871595
"2017","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","A",2948.06812
"2017","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","B",38582.86376
"2017","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","C",6488.374125
"2017","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","D",2983.428925
"2017","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","E",40817.266325
"2017","Oregon","RaABAMup","fsi","RaABAMup_fsi","A",8517.950895
"2017","Oregon","RaABAMup","fsi","RaABAMup_fsi","B",17562.310755
"2017","Oregon","RaABAMup","fsi","RaABAMup_fsi","C",3554.984075
"2017","Oregon","RaABAMup","fsi","RaABAMup_fsi","D",6673.18437
"2017","Oregon","RaABAMup","fsi","RaABAMup_fsi","E",12777.03754
"2017","Oregon","RaABAMup","fst","RaABAMup_fst","A",100.52254
"2017","Oregon","RaABAMup","fst","RaABAMup_fst","B",990.54733
"2017","Oregon","RaABAMup","fst","RaABAMup_fst","C",76.94867
"2017","Oregon","RaABAMup","fst","RaABAMup_fst","D",26.24261
