"YEAR","STATE","ew","BpS","PVT","BpS_Code","BPS_LLID","sclass","AREA_TOTAL"
"2011","Oregon","eastside","RaDFWV","fwx","RaDFWV_fwx","RaDFWV_fwx_HUC10null","A",22.017105
"2011","Oregon","eastside","RaDFWV","fwx","RaDFWV_fwx","RaDFWV_fwx_HUC10null","B",105.41523
"2011","Oregon","eastside","RaDFWV","fwx","RaDFWV_fwx","RaDFWV_fwx_HUC10null","C",114.75582
"2011","Oregon","eastside","RaDFWV","fwx","RaDFWV_fwx","RaDFWV_fwx_HUC10null","D",581.562925
"2011","Oregon","eastside","RaDFWV","fwx","RaDFWV_fwx","RaDFWV_fwx_HUC10null","E",371.177255
"2011","Oregon","eastside","RaDFHEdy","fwi","RaDFHEdy_fwi","RaDFHEdy_fwi_HUC8null","A",1.77916
"2011","Oregon","eastside","RaDFHEdy","fwi","RaDFHEdy_fwi","RaDFHEdy_fwi_HUC8null","B",39.14152
"2011","Oregon","eastside","RaDFHEdy","fwi","RaDFHEdy_fwi","RaDFHEdy_fwi_HUC8null","C",11.786935
"2011","Oregon","eastside","RaDFHEdy","fwi","RaDFHEdy_fwi","RaDFHEdy_fwi_HUC8null","D",14.67807
"2011","Oregon","eastside","RaDFHEdy","fwi","RaDFHEdy_fwi","RaDFHEdy_fwi_HUC8null","E",18.458785
"2011","Oregon","eastside","RaSSHE","fss","RaSSHE_fss","RaSSHE_fss_ZoneNull","A",57.155515
"2011","Oregon","eastside","RaSSHE","fss","RaSSHE_fss","RaSSHE_fss_ZoneNull","B",1071.276715
"2011","Oregon","eastside","RaSSHE","fss","RaSSHE_fss","RaSSHE_fss_ZoneNull","D",1576.558155
"2011","Oregon","eastside","RaSSHE","fss","RaSSHE_fss","RaSSHE_fss_ZoneNull","E",815.967255
"2011","Oregon","eastside","RaDFHEwt","fwn","RaDFHEwt_fwn","RaDFHEwt_fwn_ZoneNull","A",21.34992
"2011","Oregon","eastside","RaDFHEwt","fwn","RaDFHEwt_fwn","RaDFHEwt_fwn_ZoneNull","B",290.225475
"2011","Oregon","eastside","RaDFHEwt","fwn","RaDFHEwt_fwn","RaDFHEwt_fwn_ZoneNull","C",86.73405
"2011","Oregon","eastside","RaDFHEwt","fwn","RaDFHEwt_fwn","RaDFHEwt_fwn_ZoneNull","D",200.60029
"2011","Oregon","eastside","RaDFHEwt","fwn","RaDFHEwt_fwn","RaDFHEwt_fwn_ZoneNull","E",159.012425
"2011","Oregon","eastside","RaDFHEwt","fww","RaDFHEwt_fww","RaDFHEwt_fww_ZoneNull","B",0.88958
"2011","Oregon","eastside","RaDFHEwt","fww","RaDFHEwt_fww","RaDFHEwt_fww_ZoneNull","C",0.222395
