"YEAR","STATE","sclass","AREA_TOTAL"
"2004","Oregon","A",3206565.83472
"2004","Oregon","B",11500125.289805
"2004","Oregon","C",4754284.028515
"2004","Oregon","D",858504.079465
"2004","Oregon","E",7308592.460425
"2004","Washington","A",2632624.608765
"2004","Washington","B",10645598.96731
"2004","Washington","C",3245755.614435
"2004","Washington","D",441886.633275
"2004","Washington","E",5417474.59192
