"YEAR","STATE","ew","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
"2016","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","A",288.891105
"2016","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","B",3748.24533
"2016","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","C",248.860005
"2016","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","D",190.81491
"2016","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","E",5169.34938
"2016","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","A",26388.723515
"2016","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","B",150919.693345
"2016","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","C",22475.905885
"2016","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","D",807.73864
"2016","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","E",15716.877045
"2016","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","A",284.443205
"2016","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","B",639.60802
"2016","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","C",310.46342
"2016","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","D",29.80093
"2016","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","E",696.318745
"2016","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","A",64063.326095
"2016","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","B",1132446.45975
"2016","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","C",168357.01811
"2016","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","D",6356.93868
"2016","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","E",32044.228365
"2016","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","A",1172.46644
"2016","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","B",3273.876795
"2016","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","C",516.178795
"2016","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","D",836.64999
"2016","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","E",10840.199485
"2016","Oregon","eastside","Na0710412","fmh","Na0710412_fmh","A",43359.90836
