"YEAR","BpS_Code","type","CHNG_REST_ACRES","CHNG_REST_PCT","CHNG_FOR_ACRES","PREV_REST_ACRES","PREV_REST_PCT","PREV_FOR_ACRES"
2017,"Na0710412_fmh","active",-10234.7753783032,-0.0144422855710302,-708667.290088293,10234.7753783032,0.0144422855710302,708667.290088293
2017,"Na0710412_fmh","passive",-41749.4106503344,-0.0562245387539087,-10652.1453525421,166575.195674541,0.235054161528729,708667.290088293
2017,"Na1010471_frn","passive",-65785.6607023095,-0.108604181640495,24779.8535368788,241150.857282475,0.363264938671533,663842.919067191
2017,"RaABAMlw_fsi","passive",12646.9903618948,0.0407313644244847,-32.3151885677362,120574.755771986,0.387902669831984,310837.653744976
2017,"RaABLA_faf","active",102.843438312875,0.016008848,0,851.079469282134,0.132481003,6424.16233278468
2017,"RaABLA_faf","both",1061.15422450431,0.16518172635347,0,102.843438312875,0.016008848,6424.16233278468
2017,"RaABLA_faf","passive",-3656.66763333114,-0.56920536,-6424.16233278468,3656.66763333114,0.56920536,6424.16233278468
2017,"RaDFHEdy_fwi","active",-25.0237905286747,1.38777878078145e-17,-287.433723265545,1450.98629910003,0.087059341,16666.6354515598
2017,"RaDFHEdy_fwi","both",-42.7771422068818,0,-287.433723265545,2480.40148776478,0.148824368,16666.6354515598
2017,"RaMCONdy_fdd","both",-455837.170869976,-0.121202838874682,-22891.0980586992,1107986.88853125,0.297230784127629,3727698.9723093
2017,"RaMCONdy_fdd","passive",250657.636390076,0.0682950446508385,-22891.0980586992,384702.032663478,0.103200938573953,3727698.9723093
2017,"RaMCONdy_fmd","both",-93319.7134906876,-0.0460379070055484,-43279.7897922047,409718.088387067,0.219850747812593,1863619.26199279
2017,"RaMCONdy_fmd","passive",89258.445994031,0.0514434103295082,-43279.7897922047,188861.351212601,0.101341167192407,1863619.26199279
2017,"RaMCONms_fcm","both",35783.243695933,0.119315466496857,-18603.2074596951,105667.626352486,0.290459272689221,363794.983627688
2017,"RaMCONms_fcm","passive",25998.6391255809,0.0774336741776165,-18603.2074596951,14291.7131912013,0.0392850749306308,363794.983627688
2017,"RaMCONms_fmm","both",-174677.216788964,-0.182374166152777,15521.1544121067,258247.393637356,0.267600264733692,965049.096249425
2017,"RaMCONms_fmm","passive",65005.7441223254,0.065980884339253,15521.1544121067,19078.9338462687,0.0197699100702931,965049.096249425
2017,"RaPIPOm_fdp","passive",0,0,0,438.06319097701,0.806603609,543.095996706618
2017,"RaPIPOm_fpd","active",55652.7844408208,0.127791091298097,-14994.5195738632,47619.7955996372,0.102945709347095,462571.931376768
2017,"RaPIPOm_fpd","passive",1383.16265580447,0.0084854623266778,-14994.5195738632,74493.2371620143,0.161041412392442,462571.931376768
2017,"RaSAWD_fal","active",-33444.1933617791,-0.0727369763211404,-459796.310670379,33444.1933617791,0.0727369763211404,459796.310670379
2017,"RaSAWD_fal","passive",104796.808939258,0.228464938228722,-799.391377563821,39051.4005113235,0.0849319570537374,459796.310670379
2017,"RaSPFI_fcd","active",57192.8871135483,0.0526072052578027,-2431.86777496757,60637.8924981658,0.0555207279162271,1092166.7415755
2018,"Na0710412_fmh","active",-6175.77500525776,-0.00828794481808482,-745151.55938078,6175.77500525776,0.00828794481808482,745151.55938078
2018,"Na0710412_fmh","passive",-26748.7367060912,-0.0330800022089924,-13910.3082862471,137095.982973651,0.18398402479031,745151.55938078
2018,"Na1010471_frn","passive",-66212.0501356726,-0.111939636884,22553.4409963406,240237.873196315,0.372986246131306,644093.115196911
2018,"RaABAMlw_fsi","passive",-8919.30949812866,-0.0280675719453909,-694.359987386735,111679.201019086,0.36078044052262,309548.934685343
2018,"RaABLA_faf","active",84.8494644419526,0.016008848,0,702.170584247082,0.132481003,5300.16053884406
2018,"RaABLA_faf","both",1036.54563192015,0.195568723687419,0,84.8494644419526,0.016008848,5300.16053884406
2018,"RaABLA_faf","passive",-3016.87978757053,-0.56920536,-5300.16053884406,3016.87978757053,0.56920536,5300.16053884406
2018,"RaDFHEdy_fwi","active",-22.0420714155166,-1.38777878078145e-17,-253.184450540655,1281.90607978382,0.087059341,14724.5093410921
2018,"RaDFHEdy_fwi","both",-37.6800158391402,0,-253.184450540655,2191.36579679813,0.148824368,14724.5093410921
2018,"RaMCONdy_fdd","both",-389082.525119389,-0.105004350338583,-17011.3039208837,1085365.00833968,0.295373305686242,3674553.48010561
2018,"RaMCONdy_fdd","passive",166001.417543325,0.0458638314875236,-17011.3039208837,377467.272511295,0.102724664249667,3674553.48010561
2018,"RaMCONdy_fmd","both",-109889.803182788,-0.0545287924738145,-50238.7506842297,425461.122057303,0.229472683728741,1854081.78064557
2018,"RaMCONdy_fmd","passive",50948.630689472,0.031261532720524,-50238.7506842297,200849.112490077,0.108328076240598,1854081.78064557
2018,"RaMCONms_fcm","both",38381.7552466067,0.13307591536716,-23941.4114300504,96487.3803543837,0.267639896836835,360511.947190021
2018,"RaMCONms_fcm","passive",19491.1969093876,0.0624055778940512,-23941.4114300504,22778.1010524845,0.0631826524197781,360511.947190021
2018,"RaMCONms_fmm","both",-167316.614820595,-0.172884916178565,12637.2187544184,242808.375151834,0.249446592053665,973388.223718837
2018,"RaMCONms_fmm","passive",75387.1294785919,0.0761710328113003,12637.2187544184,21609.749336763,0.0222005452811036,973388.223718837
2018,"RaPIPOm_fdp","passive",0,0,0,328.547393232758,0.806603609,407.321997529964
2018,"RaPIPOm_fpd","active",74389.1712619946,0.154672431640215,-16645.3590132877,64035.7104314749,0.125295903221171,511075.851525966
