"YEAR","BpS_Code","MAP_ZONE","type","CHNG_REST_ACRES","CHNG_REST_PCT","CHNG_FOR_ACRES","PREV_REST_ACRES","PREV_REST_PCT","PREV_FOR_ACRES"
2017,"Na0710412_fmh","WEC","active",-10234.7753783032,-0.0144422855710302,-708667.290088293,10234.7753783032,0.0144422855710302,708667.290088293
2017,"Na0710412_fmh","WEC","passive",-41749.4106503344,-0.0562245387539087,-10652.1453525421,166575.195674541,0.235054161528729,708667.290088293
2017,"Na1010471_frn","WNE","passive",-65785.6607023095,-0.108604181640495,24779.8535368788,241150.857282475,0.363264938671533,663842.919067191
2017,"RaABAMlw_fsi","WEC","passive",12646.9903618948,0.0407313644244847,-32.3151885677362,120574.755771986,0.387902669831984,310837.653744976
2017,"RaABLA_faf","WNE","active",102.843438312875,0.016008848,0,851.079469282134,0.132481003,6424.16233278468
2017,"RaABLA_faf","WNE","both",1061.15422450431,0.16518172635347,0,102.843438312875,0.016008848,6424.16233278468
2017,"RaABLA_faf","WNE","passive",-3656.66763333114,-0.56920536,-6424.16233278468,3656.66763333114,0.56920536,6424.16233278468
2017,"RaDFHEdy_fwi","OEC","active",-25.0237905286747,1.38777878078145e-17,-287.433723265545,1450.98629910003,0.087059341,16666.6354515598
2017,"RaDFHEdy_fwi","OEC","both",-42.7771422068818,0,-287.433723265545,2480.40148776478,0.148824368,16666.6354515598
2017,"RaMCONdy_fdd","OBM","active",4.96740171955025,0.00039181609893181,-183.90412315647,6580.10320799301,0.105491529758442,62375.6544535886
2017,"RaMCONdy_fdd","OBM","both",2.08021070791892,0.00026012323900923,-183.90412315647,4781.45268887289,0.0766557518435431,62375.6544535886
2017,"RaMCONdy_fdd","OBM","passive",-98.8360085312997,-0.000731318367047318,-183.90412315647,18096.3485644421,0.290118776676034,62375.6544535886
2017,"RaMCONdy_fdd","WNE","both",-455839.251080684,-0.123264358040568,-22707.1939355419,1103205.43584237,0.30098448081458,3665323.3178557
2017,"RaMCONdy_fdd","WNE","passive",250748.235236382,0.0694656556363009,-22707.1939355419,369399.52240923,0.100782247669583,3665323.3178557
2017,"RaMCONdy_fmd","OEC","active",-8512.56895461871,-0.786677265,-10820.9164461092,8512.56895461871,0.786677265,10820.9164461092
2017,"RaMCONdy_fmd","OEC","both",-19.6244136927551,-0.001813563,-10820.9164461092,19.6244136927551,0.001813563,10820.9164461092
2017,"RaMCONdy_fmd","WEC","both",-100317.168673307,-0.0547586567512028,-37558.2472201311,390793.685060063,0.22812361185523,1713078.63259707
2017,"RaMCONdy_fmd","WEC","passive",77363.6502866562,0.0485081598008815,-37558.2472201311,178465.892030898,0.104178458965622,1713078.63259707
2017,"RaMCONdy_fmd","WNE","active",-3380.3228366451,-0.024193599924331,-139719.712949604,3380.3228366451,0.024193599924331,139719.712949604
2017,"RaMCONdy_fmd","WNE","both",-4941.00490557471,-0.0320859624847204,-5721.54257207329,15666.4800639761,0.11212791476051,139719.712949604
2017,"RaMCONdy_fmd","WNE","passive",24049.9911021585,0.18552548949665,-5721.54257207329,19782.2263936227,0.141585077552785,139719.712949604
2017,"RaMCONms_fcm","OBM","both",35783.243695933,0.119315466496857,-18603.2074596951,105667.626352486,0.290459272689221,363794.983627688
2017,"RaMCONms_fcm","OBM","passive",25998.6391255809,0.0774336741776165,-18603.2074596951,14291.7131912013,0.0392850749306308,363794.983627688
2017,"RaMCONms_fmm","WEC","both",-174677.216788964,-0.182374166152777,15521.1544121067,258247.393637356,0.267600264733692,965049.096249425
2017,"RaMCONms_fmm","WEC","passive",65005.7441223254,0.065980884339253,15521.1544121067,19078.9338462687,0.0197699100702931,965049.096249425
2017,"RaPIPOm_fdp","OBM","passive",0,0,0,438.06319097701,0.806603609,543.095996706618
2017,"RaPIPOm_fpd","WCB","passive",-4589.57669023873,-0.0266922569428407,-6786.67083971864,24758.8525517238,0.18974019513541,130488.179028457
2017,"RaPIPOm_fpd","WEC","active",8997.87697435073,0.14758691470316,1114.56118922625,17694.0135578633,0.307564867448797,57529.3716237243
2017,"RaPIPOm_fpd","WNE","active",9582.72808605844,0.0403830703851837,-9322.40992337069,33225.2520528831,0.121015195478568,274554.380724587
2017,"RaPIPOm_fpd","WNE","passive",-5535.45822167333,-0.0145090041310928,-9322.40992337069,49689.9330787283,0.180983938218686,274554.380724587
2017,"RaSAWD_fal","WEC","active",-845.109919339586,-0.00319191620889142,-681.814055857074,37505.6439151214,0.162555965979844,230724.499645691
2017,"RaSAWD_fal","WEC","passive",51578.2944569141,0.224243154560358,-681.814055857074,2437.49530246617,0.0105645274178047,230724.499645691
2017,"RaSAWD_fal","WNE","passive",45902.885925634,0.200571434138178,-117.577321706689,36613.9052088568,0.159835926756221,229071.811024687
2017,"RaSPFI_fcd","WNE","active",57192.8871135483,0.0526072052578027,-2431.86777496757,60637.8924981658,0.0555207279162271,1092166.7415755
2018,"Na0710412_fmh","WEC","active",-6175.77500525776,-0.00828794481808482,-745151.55938078,6175.77500525776,0.00828794481808482,745151.55938078
2018,"Na0710412_fmh","WEC","passive",-26748.7367060912,-0.0330800022089924,-13910.3082862471,137095.982973651,0.18398402479031,745151.55938078
2018,"Na1010471_frn","WNE","passive",-66212.0501356726,-0.111939636884,22553.4409963406,240237.873196315,0.372986246131306,644093.115196911
2018,"RaABAMlw_fsi","WEC","passive",-8919.30949812866,-0.0280675719453909,-694.359987386735,111679.201019086,0.36078044052262,309548.934685343
2018,"RaABLA_faf","WNE","active",84.8494644419526,0.016008848,0,702.170584247082,0.132481003,5300.16053884406
2018,"RaABLA_faf","WNE","both",1036.54563192015,0.195568723687419,0,84.8494644419526,0.016008848,5300.16053884406
2018,"RaABLA_faf","WNE","passive",-3016.87978757053,-0.56920536,-5300.16053884406,3016.87978757053,0.56920536,5300.16053884406
2018,"RaDFHEdy_fwi","OEC","active",-22.0420714155166,-1.38777878078145e-17,-253.184450540655,1281.90607978382,0.087059341,14724.5093410921
2018,"RaDFHEdy_fwi","OEC","both",-37.6800158391402,0,-253.184450540655,2191.36579679813,0.148824368,14724.5093410921
2018,"RaMCONdy_fdd","OBM","active",29860.1416127968,0.409582720711249,-363.211687030547,3607.19656930703,0.049204259112769,73310.657133153
2018,"RaMCONdy_fdd","OBM","both",-11038.4598786312,-0.149979551775257,-363.211687030547,19746.9601097298,0.269360020520123,73310.657133153
2018,"RaMCONdy_fdd","OBM","passive",-7699.30586344526,-0.104982873920411,-363.211687030547,8290.25527529185,0.113083903479877,73310.657133153
2018,"RaMCONdy_fdd","WNE","both",-359934.222780464,-0.0990371384644615,-16648.092233852,1065618.04822995,0.295902859266344,3601242.82297245
2018,"RaMCONdy_fdd","WNE","passive",166180.350778996,0.0468374896885828,-16648.092233852,370563.402013522,0.102898754743692,3601242.82297245
2018,"RaMCONdy_fmd","OEC","active",-7501.77272252087,-0.786677265,-9536.02329224663,7501.77272252087,0.786677265,9536.02329224663
2018,"RaMCONdy_fmd","OEC","both",-17.2941790099567,-0.001813563,-9536.02329224663,17.2941790099567,0.001813563,9536.02329224663
2018,"RaMCONdy_fmd","WCB","passive",0,0,0,7975.7658360805,0.774406832,10299.1935330453
2018,"RaMCONdy_fmd","WEC","both",-110530.610217803,-0.0588620327717172,-53034.3733453022,409654.505944045,0.238768651115345,1715696.36143795
2018,"RaMCONdy_fmd","WEC","passive",40814.8316128175,0.02795277643187,-53034.3733453022,183143.076946428,0.106745622980125,1715696.36143795
2018,"RaMCONdy_fmd","WNE","active",-3354.37602363867,-0.0282949835279123,-118550.202382329,3354.37602363867,0.0282949835279123,118550.202382329
2018,"RaMCONdy_fmd","WNE","both",-4709.12685938034,-0.0412709997577119,2795.62266107302,12676.6039033594,0.106930259490211,118550.202382329
2018,"RaMCONdy_fmd","WNE","passive",19470.4713515474,0.156322267842706,2795.62266107302,21262.9059228668,0.179357820531534,118550.202382329
2018,"RaMCONms_fcm","OBM","both",38381.7552466067,0.13307591536716,-23941.4114300504,96487.3803543837,0.267639896836835,360511.947190021
