"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","sclass1","sclass2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2019,0,1,NA,"E","Non-forest","Forest",3046.04487270624,439197.571761987,89,20477
2019,1,0,"A",NA,"Forest","Non-forest",63616.4213891064,30687905.921025,347,20477
2019,1,0,"B",NA,"Forest","Non-forest",13459.9855289194,5256529.8297352,136,20188
2019,1,0,"C",NA,"Forest","Non-forest",35316.2446225952,15425701.2926486,284,20477
2019,1,0,"D",NA,"Forest","Non-forest",4804.31325881356,1593893.10720101,83,20477
2019,1,0,"E",NA,"Forest","Non-forest",2317.92429383275,302275.369666317,65,20477
2019,1,1,"A","B","Forest","Forest",73580.6306757808,38346835.017611,246,20236
2019,1,1,"A","C","Forest","Forest",125132.579536815,60363219.6232212,500,20477
2019,1,1,"A","D","Forest","Forest",10095.8769497126,5871031.79554305,74,20477
2019,1,1,"A","E","Forest","Forest",9858.4917907233,5656999.7716777,64,20236
2019,1,1,"B","A","Forest","Forest",61176.6306576253,33982480.3210839,249,20477
2019,1,1,"B","C","Forest","Forest",102269.261734373,48372548.3345736,347,20477
2019,1,1,"B","D","Forest","Forest",16354.2724245438,6857256.6007659,63,20477
2019,1,1,"B","E","Forest","Forest",65934.1986812122,31177864.0390358,211,20188
2019,1,1,"C","A","Forest","Forest",147401.238144184,72628304.2937784,581,20477
2019,1,1,"C","B","Forest","Forest",124404.083981395,66306749.1812649,345,20477
2019,1,1,"C","D","Forest","Forest",58259.1808765144,27239475.9212423,214,20477
2019,1,1,"C","E","Forest","Forest",21825.441354287,10783441.3794592,79,20477
2019,1,1,"D","A","Forest","Forest",20653.028850283,10987988.3420864,112,20477
2019,1,1,"D","B","Forest","Forest",10028.4991408111,4348471.02198395,40,20236
2019,1,1,"D","C","Forest","Forest",40329.724756008,19402010.3208494,149,20477
2019,1,1,"D","E","Forest","Forest",38274.5959080639,17239533.6305832,139,20477
2019,1,1,"E","A","Forest","Forest",22523.4161455604,12906725.8507398,106,20477
2019,1,1,"E","B","Forest","Forest",22501.5268657526,10969874.4186653,74,20477
2019,1,1,"E","C","Forest","Forest",20017.0637928033,9258670.19427118,84,20477
2019,1,1,"E","D","Forest","Forest",41644.714861603,20262138.9666842,147,20477
