"YEAR","ew","BpS_Code","sclass","PERC_CHNG","AREA_CHNG","PREV_AREA","PERC_CHNG_VAR","AREA_CHNG_VAR","PREV_AREA_VAR","nPlots_AREA","N"
2017,"eastside","Na0210290_fwo","A",-10.062671132441,-1119.4914256273,11125.1914217705,78.0933450016891,976417.241354843,97384246.6754133,2,5128
2017,"eastside","Na0210290_fwo","B",0.731030857323593,915.209083310614,125194.316237392,0.0395684313118866,1529974.08146686,1138037905.12637,14,5128
2017,"eastside","Na0210290_fwo","E",0,0,33610.9796203075,0,0,325377999.954897,3,5128
2017,"eastside","Na0710270_fdd","A",-5.24949730804911,-7175.18698062354,136683.315745714,1.57120940554948,8223692.45839257,1093217174.2517,41,9917
2017,"eastside","Na0710270_fdd","B",0.692070670926424,5594.51487617723,808373.351335387,0.00506566218411277,16284346.7288758,6684310779.71179,118,9917
2017,"eastside","Na0710270_fdd","C",18.2181507889822,303.977513159289,1668.54208574849,174.347539172342,140385.570047682,1446248.87109113,4,9917
2017,"eastside","Na0710270_fdd","E",0.184067046601454,1203.07681355013,653607.930242428,0.000406898188488558,5194225.61935391,4711061578.57571,105,10139
2017,"eastside","Na0710412_fmc","A",-7.50814055916004,-246.084674433396,3277.571490496,40.8193224268931,76219.912101963,7977621.8938811,3,4789
2017,"eastside","Na0710412_fmc","B",10.4198061261375,269.904913643551,2590.30648340482,123.817756413142,229016.839604647,7505666.65047016,3,4789
2017,"eastside","Na0710412_fmc","C",Inf,259.030648340482,0,NA,75056.6665047016,0,1,4789
2017,"eastside","Na0710412_fmc","E",-0.934879137327977,-225.531340280841,24124.1173618916,0.0960596995679414,79413.7419384188,65319877.4455574,9,4789
2017,"eastside","Na0710412_fmh","A",3.32013729714763,3238.45847621698,97539.8962867946,0.631179548284266,7239040.97160132,530666003.413041,64,15745
2017,"eastside","Na0710412_fmh","B",0.736160834241352,4078.12139716563,553971.524628626,0.00704238546289236,21224617.9993021,3723950139.55568,163,15745
2017,"eastside","Na0710412_fmh","C",-6.12326589835471,-2588.34976579407,42270.7393204914,9.80901704408539,3497199.9865944,478745271.95778,12,10617
2017,"eastside","Na0710412_fmh","D",5.00114467721802,864.649028308104,17289.0224961275,7.8828164378807,1525228.5827306,93472439.4391974,10,12279
2017,"eastside","Na0710412_fmh","E",-0.829825066302372,-6717.03289452446,809451.67449026,0.00590155180359451,14832591.3895771,5849367776.81805,176,15745
2017,"eastside","Na0710412_fmi","A",Inf,167.515847377367,0,NA,31556.9427720817,0,1,4789
2017,"eastside","Na0710412_fmi","B",0,0,8993.66322095255,0,0,79436405.6210263,2,9917
2017,"eastside","Na0710412_fmi","E",-0.733696707250457,-167.701690625369,22857.0864456833,0.176646660845035,31556.9767035598,172714942.190785,5,5011
2017,"eastside","Na1010471_frn","A",-4.0423298558014,-2823.74485718482,69854.3898670786,1.64944807192793,3082024.98084217,505339931.073308,31,5421
2017,"eastside","Na1010471_frn","B",0.276314392016281,1494.66084201746,540927.611881104,0.000805695679903937,6874293.71747728,2831880823.01766,121,5606
2017,"eastside","Na1010471_frn","C",16.9308802758665,954.252030236829,5636.16312140033,126.68661583266,1444691.96215107,13866715.9725812,7,5421
2017,"eastside","Na1010471_frn","E",3.54941057222009,1751.49051475713,49345.9541836437,1.21290988403225,789431.676902656,233510613.148973,20,5421
2017,"eastside","R1RFWF_fcw","A",-7.21016265015173,-998.774672570945,13852.3181935421,8.37307679866771,263490.30574259,31604642.252654,12,9917
2017,"eastside","R1RFWF_fcw","B",0.858578490530559,354.898289229963,41335.5672363342,0.0549953313326281,496686.581869003,121870544.376724,21,9917
2017,"eastside","R1RFWF_fcw","C",-7.26344064971784,-110.638068330996,1523.21845343768,57.707464916049,27799.0469875826,2609200.84220906,2,4789
2017,"eastside","R1RFWF_fcw","D",-0.763420371531248,-7.71251210865572,1010.25757187828,0.540996886837384,56.3363369283316,966631.883049003,1,4789
2017,"eastside","R1RFWF_fcw","E",0.61739238971679,844.414822710583,136771.174503452,0.00987779309020565,202037.448926538,483489882.222447,51,10139
2017,"eastside","RaABAMlw_fsi","A",-0.257107629666022,-69.5808959416791,27062.9448188929,0.00619266914924402,277104.817277976,72640817.0999687,16,6929
2017,"eastside","RaABAMlw_fsi","B",0.631360020599704,1701.69762421108,269528.885055899,0.012116175713801,2463729.34285895,2160300017.50934,55,15745
2017,"eastside","RaABAMlw_fsi","C",7.0583434586388,428.25440335408,6067.35002148321,13.106142665165,681000.917030361,9475572.87846406,6,2140
2017,"eastside","RaABAMlw_fsi","D",0,0,1192.14983893608,0,0,1598250.37137656,1,4789
2017,"eastside","RaABAMlw_fsi","E",-1.65988993167661,-1926.48589051062,116061.062468445,0.136690549761833,1936212.78424429,688044646.919977,37,12279
2017,"eastside","RaABAMlw_fsw","A",0,0,1122.69385242662,0,0,1325731.36248377,1,4789
2017,"eastside","RaABAMlw_fsw","B",0.489258646536142,18.5583300977311,3793.15321847055,0.12816292752148,370.939795449825,7881624.14327686,2,4789
2017,"eastside","RaABAMlw_fsw","E",0,0,2656.07970413858,0,0,7598149.67073344,1,4789
2017,"eastside","RaABAMlw_fwc","A",10.8333333333333,0.35313380308604,3.25969664387114,120.983861775511,0.131163025073081,11.1760210713158,1,4789
2017,"eastside","RaABAMlw_fwc","B",-0.013015618742491,-0.35313380308604,2713.15417324874,0.000174635635005434,0.131163025073081,7742510.21820486,1,4789
2017,"eastside","RaABLA_faf","B",-5.53091466307484,-355.314936443718,6424.16233278468,16.0328924886746,131990.723540616,22064510.1742012,2,1955
2017,"eastside","RaABLA_faf","E",Inf,355.314936443718,0,NA,131990.723540616,0,1,1955
2017,"eastside","RaDFHEdy_fwi","A",-5.44364587243582,-5463.40997926801,100363.067460583,2.09970418341023,6062501.06960945,732509841.557427,24,9917
2017,"eastside","RaDFHEdy_fwi","B",1.85050381357566,2275.7322860185,122979.064907798,0.190027372489554,9299628.82888211,795679460.767104,42,9917
2017,"eastside","RaDFHEdy_fwi","C",286.666229824857,586.90999139405,204.736355500483,82215.2017057257,374224.554265761,41902.4040150268,2,9917
2017,"eastside","RaDFHEdy_fwi","D",Inf,12.8896841155849,0,NA,174.825435413027,0,1,4789
2017,"eastside","RaDFHEdy_fwi","E",0.859556788994992,2267.19855173419,263763.672250793,0.0142680554900275,4137253.17172837,1310080545.44852,83,15338
2017,"eastside","RaDFHEdy_fwx","A",38.3196331394933,65.5429911989206,171.042846261934,1476.18019929171,7208.61272514669,29245.4853578897,2,4789
2017,"eastside","RaDFHEdy_fwx","B",1.27863549364884,57.1692462264306,4471.11366064828,0.903228171191004,130708.086436272,10163649.1123435,3,4789
2017,"eastside","RaDFHEdy_fwx","C",-9.9009900990099,-276.628499351176,2793.94784344688,100.480495720534,80029.1066463838,8163769.16899761,1,4789
2017,"eastside","RaDFHEdy_fwx","E",0.0331260583695362,23.4537037651913,70801.3718491788,9.71982568486186e-05,82552.5320835371,338884904.288908,22,5011
2017,"eastside","RaDFHEwt_fdm","B",-2.34354045267381,-52.8716586003652,2256.05914077748,6.05338676925309,3143.61240794137,5723795.19087101,1,4789
2017,"eastside","RaDFHEwt_fhc","A",9.85372277488061,919.63406888491,9332.85916292741,100.31882717479,803806.585063787,89985231.5964174,2,5128
2017,"eastside","RaDFHEwt_fhc","B",0,0,7767.28879080215,0,0,68550058.1535544,1,5128
2017,"eastside","RaDFHEwt_fhc","E",-4.77918939669831,-949.082125549469,19858.6422669321,10.0337088990991,804542.032545413,176808548.552995,2,5128
2017,"eastside","RaDFHEwt_fwm","A",0.705776412131797,355.181900016766,50324.9887515991,0.0981851913608544,5653919.23028111,401498638.322311,17,9917
