"YEAR","BpS_Code","BPS_LLID","sclass","PERC_CHNG","AREA_CHNG","PREV_AREA","PERC_CHNG_VAR","AREA_CHNG_VAR","PREV_AREA_VAR","nPlots_AREA","N"
2017,"Na0710270_fdd","Na0710270_fdd_1710030203","A",-10.1010101010101,-80.5488187985754,797.433306105897,98.244716752013,6374.22746311572,624738.033659972,1,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030203","B",1.67995574303289,170.033561448177,10121.3119543976,0.762328797634682,164579.773212245,27092359.693739,5,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030203","D",-10.752688172043,-383.825401377353,3569.57623280938,93.0147146918373,120924.581121041,10458767.0211589,1,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030203","E",10.1010101010101,291.342142322363,2884.2872089914,100.261656641367,83390.3551910802,8173088.71227777,2,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030204","A",-2.4495948746938,-6.2492889528147,255.115203635289,5.77787475326663,38.368110899304,63941.3626643557,1,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030204","B",0,0,2884.2872089914,0,0,8173088.71227777,1,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030204","E",0.110211206315561,6.2492889528147,5670.28450348459,0.0057651827263893,38.368110899304,15550358.5791338,2,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030205","A",2.8620256740292,723.170315540098,25267.7787660098,2.65103269495308,312733.016707302,208557473.896578,4,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030205","B",-1.68196873881824,-348.801290704193,20737.6797590937,1.15647347572771,153097.004375975,177676084.03627,3,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030205","C",-1.82657561629569,-300.416934040365,16447.0023228281,1.35885546225785,128949.23348222,112368810.953872,3,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030205","E",0,0,19477.9265828777,0,0,184244467.406168,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030206","A",-4.75734358747192,-60.3713687494245,1269.01426477599,10.897535977602,3580.72731814336,789903.406516714,2,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030206","B",0,0,5091.19956695117,0,0,12882258.7789084,2,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030206","C",Inf,60.3713687494245,0,NA,3580.72731814336,0,1,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030206","E",0,0,2292.64779524704,0,0,5163972.11970031,1,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030207","B",-2.3353650565949,-905.206209127462,38760.8012961925,1.34167358251947,933310.394865426,376774497.857428,4,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030207","C",1.51250297459981,172.717652282197,11419.3264530866,2.11541535258465,303414.013813937,116668650.028037,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030207","E",0,0,11099.6521274106,0,0,104485763.513788,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030208","E",0,0,20445.9294594024,0,0,195814808.975813,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030209","A",1.18136808687252,174.058490341191,14733.6374052547,0.87745008718116,1675266.47842,121745710.389406,4,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030209","B",-2.66416896050438,-1347.03066630795,50561.0074389925,1.17324347273762,2373852.67786044,437295664.880748,7,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030209","C",Inf,964.295118365057,0,NA,773056.145378968,0,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030209","E",0,0,11099.6521274106,0,0,104485763.513788,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030210","A",-10.1934292156871,-1970.6417391794,19332.4709230011,49.4033574817567,1882314.28855056,181307402.129068,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030210","B",9.15238608602117,1341.71656232033,14659.7461001955,58.5901820386984,1357426.90427989,150301134.431712,3,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030210","C",Inf,724.15350986976,0,NA,710736.162325846,0,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030211","B",8.89582509978803,1499.26573883961,16853.5883071187,40.8374510097583,1613669.66623119,146591343.508462,3,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030211","C",-9.80392156862745,-1472.59480057528,15020.4669658678,70.0687109863012,1612948.89714864,167811203.259344,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030212","A",-10,-19.1640730887618,191.640730887618,73.9035465633059,276.930333140785,27693.0333140785,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030212","B",0,0,12015.8501480725,0,0,118670447.536755,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030212","C",-10,-573.002531691315,5730.02531691315,73.9035465633059,247575.675520513,24757567.5520513,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030212","E",15.533807974045,1301.46506545072,8378.27445546708,274.191259605577,1277202.97423695,79758703.8923805,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030213","B",0,0,13014.6506545072,0,0,127720297.423695,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030213","C",19.4789924397795,628.797862067732,3228.08206847299,202.765208918502,353749.071178674,5701581.66366168,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030501","A",-10.3092783505155,-967.634366913519,9386.05335906114,105.550308428175,948757.353823811,89268579.4212824,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030501","B",11.5493276337123,967.634366913519,8378.27445546708,151.572723373215,948757.353823811,79758703.8923805,2,5128
