"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","BpS_Code1","BpS_Code2","MAP_ZONE1","MAP_ZONE2","sclass1","sclass2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","OSW","OSW",NA,"C","Non-forest","Forest",38.6480316142062,563.3750992495,3,9917
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","OSW","OSW",NA,"D","Non-forest","Forest",38.4380149027781,1212.74381341115,1,4789
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","OSW","OSW",NA,"E","Non-forest","Forest",14.9438940125964,223.242337401264,1,4789
2017,0,1,"RaDFHEdy_fwx","RaDFHEdy_fwx","OSW","OSW",NA,"E","Non-forest","Forest",18.1322147728575,328.662922488081,1,4789
2017,0,1,"RaDFHEwt_fdm","RaDFHEwt_fdm","OSW","OSW",NA,"C","Non-forest","Forest",0.0199490599674375,0.000447536021537026,1,4789
2017,0,1,"RaDFHEwt_fwm","RaDFHEwt_fwm","OSW","OSW",NA,"C","Non-forest","Forest",10.9953415600264,108.165968966845,1,5128
2017,0,1,"RaDFHEwt_fwn","RaDFHEwt_fwn","OSW","OSW",NA,"A","Non-forest","Forest",411.007453691998,62296.6844867423,3,5128
2017,0,1,"RaDFHEwt_fwn","RaDFHEwt_fwn","OSW","OSW",NA,"C","Non-forest","Forest",115.051988438776,6832.84663008303,2,5128
2017,0,1,"RaDFHEwt_fww","RaDFHEwt_fww","OSW","OSW",NA,"C","Non-forest","Forest",76.4737776838988,6227.31134965316,1,5128
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","OBM","OBM",NA,"A","Non-forest","Forest",2393.6924058094,1458801.70212877,16,9917
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","OBM","OBM",NA,"B","Non-forest","Forest",127.112733955166,17251.9467964227,1,4789
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","OBM","OBM",NA,"C","Non-forest","Forest",3522.37135081204,1755899.53436896,34,15338
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","OBM","OBM",NA,"D","Non-forest","Forest",598.640691377916,323884.098901343,1,5128
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","OBM","OBM",NA,"E","Non-forest","Forest",0.290738678242363,0.1032583041883,1,4789
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","WNE","WNE",NA,"A","Non-forest","Forest",4486.59888106038,2352368.63523755,30,5421
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","WNE","WNE",NA,"B","Non-forest","Forest",1133.6182013665,377388.010003658,16,5421
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","WNE","WNE",NA,"C","Non-forest","Forest",2891.16134506595,711558.389615862,28,5421
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","WNE","WNE",NA,"D","Non-forest","Forest",11.8900509045813,137.165990967023,1,1955
2017,0,1,"RaMCONdy_fdd","RaMCONdy_fdd","WNE","WNE",NA,"E","Non-forest","Forest",181.751917572578,9325.34001534811,4,5421
2017,0,1,"RaMCONdy_fdg","RaMCONdy_fdg","OBM","OBM",NA,"A","Non-forest","Forest",568.017080253781,114268.664366163,9,4789
2017,0,1,"RaMCONdy_fdg","RaMCONdy_fdg","OBM","OBM",NA,"B","Non-forest","Forest",147.356681388668,5445.81630762746,6,4789
2017,0,1,"RaMCONdy_fdg","RaMCONdy_fdg","OBM","OBM",NA,"C","Non-forest","Forest",166.462575573888,6530.97848574869,8,4789
2017,0,1,"RaMCONdy_fdg","RaMCONdy_fdg","OBM","OBM",NA,"D","Non-forest","Forest",34.2884095486748,607.453659068706,3,4789
2017,0,1,"RaMCONdy_fdg","RaMCONdy_fdg","OBM","OBM",NA,"E","Non-forest","Forest",24.1590989252473,200.729266398034,4,4789
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","OEC","OEC",NA,"A","Non-forest","Forest",994.682795296732,287552.835939271,4,9917
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","OEC","OEC",NA,"B","Non-forest","Forest",5.73556012455647,29.2452552562639,2,4789
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","OEC","OEC",NA,"C","Non-forest","Forest",198.753643192473,12517.8727991028,6,4789
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","OEC","OEC",NA,"D","Non-forest","Forest",256.33950292252,36481.11959207,4,4789
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","WEC","WEC",NA,"A","Non-forest","Forest",870.294880531047,189666.666510893,6,5421
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","WEC","WEC",NA,"B","Non-forest","Forest",119.579760693263,6524.0730413047,4,5421
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","WEC","WEC",NA,"C","Non-forest","Forest",1280.96732578914,409687.847766425,10,5421
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","WEC","WEC",NA,"E","Non-forest","Forest",369.110579167546,54670.6113140412,4,5421
2017,0,1,"RaMCONdy_fmd","RaMCONdy_fmd","WNE","WNE",NA,"A","Non-forest","Forest",49.8804925568267,3419.48900982997,1,1955
2017,0,1,"RaMCONdy_fmx","RaMCONdy_fmx","OEC","OEC",NA,"A","Non-forest","Forest",201.217074091866,14407.9770626877,6,4789
2017,0,1,"RaMCONdy_fmx","RaMCONdy_fmx","OEC","OEC",NA,"B","Non-forest","Forest",26.176397664416,297.739867803738,3,4789
2017,0,1,"RaMCONdy_fmx","RaMCONdy_fmx","OEC","OEC",NA,"C","Non-forest","Forest",146.032886730231,13708.4590220419,6,9917
2017,0,1,"RaMCONdy_fmx","RaMCONdy_fmx","OEC","OEC",NA,"D","Non-forest","Forest",5.26838721034572,30.1806369788317,1,4789
2017,0,1,"RaMCONdy_fmx","RaMCONdy_fmx","OEC","OEC",NA,"E","Non-forest","Forest",11.4984447903019,103.929298803851,2,4789
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","OBM","OBM",NA,"A","Non-forest","Forest",1586.81457986968,324686.843360419,24,13383
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","OBM","OBM",NA,"B","Non-forest","Forest",847.129195060149,749424.165843663,3,9917
