"YEAR","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N"
2011,100,52414730.069641,0,35034474257.3765,15467,24303
2017,100,51833898.2050585,0,28921482245.0187,15425,24359
2018,100,51820322.1923629,2.84112182261115e-17,28830440788.9822,15555,24489
2019,100,51804598.889233,2.84284671189953e-17,29121676279.7686,15681,24617
