"YEAR","ew","BpS_Code","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N"
2011,"eastside","Na0210290_fwo","A",0.109867448426376,17166.3920283528,1.30308404657449e-06,89225677.9381481,4,7550
2011,"eastside","Na0210290_fwo","B",0.498137418789527,77832.1726536058,2.0553548499611e-05,437258367.805598,16,7550
2011,"eastside","Na0210290_fwo","C",0.00708377482763718,1106.81423363796,8.91113310770528e-09,1200348.5086335,1,7550
2011,"eastside","Na0210290_fwo","E",0.264670093208524,41353.7462030244,6.40663678778432e-06,249724128.262915,6,7550
2011,"eastside","Na0710270_fdd","A",0.487329108637625,135105.011186384,6.81224808173269e-06,644143983.772035,60,14475
2011,"eastside","Na0710270_fdd","B",3.0383899305423,842350.063393729,0.000241496310144372,4558848877.15537,167,14475
2011,"eastside","Na0710270_fdd","C",0.0182968113102874,5072.5287140393,2.7990066307228e-08,15071670.9020648,3,14475
2011,"eastside","Na0710270_fdd","E",2.04027086883818,605360.303251158,0.000101471703977397,2828719520.15588,145,14816
2011,"eastside","Na0710412_fmc","A",0.0191386464397964,2315.57105223819,2.88805752101468e-08,3869123.30997849,2,6925
2011,"eastside","Na0710412_fmc","B",0.0174446895724932,2110.62043057295,3.03225623106793e-08,4132817.03786179,1,6925
2011,"eastside","Na0710412_fmc","E",0.161408070528588,19528.6462336462,4.33411242442649e-07,36842209.6361222,9,6925
2011,"eastside","Na0710412_fmh","A",0.252181959941968,131181.766087451,9.86916041938367e-07,484029922.86546,69,24303
2011,"eastside","Na0710412_fmh","B",1.04863306892646,545485.244032253,1.48550280207111e-05,2332007214.91902,183,24303
2011,"eastside","Na0710412_fmh","C",0.0887329147841062,30565.8613604976,2.24448985035561e-07,158067410.639073,12,16412
2011,"eastside","Na0710412_fmh","D",0.0288746006920206,14457.9969079664,2.55429115012152e-08,34866669.6459587,9,23962
2011,"eastside","Na0710412_fmh","E",1.62505277456282,845331.25605622,3.50353654358142e-05,3917207833.42277,249,24303
2011,"eastside","Na0710412_fmi","A",0.0123240845249168,1925.59369836507,2.78473611649375e-08,3942216.90436583,1,7550
2011,"eastside","Na0710412_fmi","B",0.0376040468368572,10425.1830610938,1.08505123539026e-07,55397142.277115,3,14475
2011,"eastside","Na0710412_fmi","E",0.153723262354331,21591.8867195562,7.39930325389077e-07,100784060.184427,6,7266
2011,"eastside","Na1010471_frn","A",0.324084006542597,65122.5151009896,3.71596684010724e-06,242161875.269838,34,9144
2011,"eastside","Na1010471_frn","B",2.32608320537136,519835.646259772,0.000152062417492638,1334845295.01418,197,9487
2011,"eastside","Na1010471_frn","C",0.0604323190508368,3707.27572556978,1.85107854171863e-07,5247382.76240536,4,3288
2011,"eastside","Na1010471_frn","E",0.276785135352426,61856.2480390961,2.57170100218836e-06,224205197.286823,22,9487
2011,"eastside","R1RFWF_fcw","A",0.059463845281682,16485.4988950413,1.64793249428471e-07,55972496.7353067,14,14475
2011,"eastside","R1RFWF_fcw","B",0.130190884071879,36093.5567712534,5.32879047234126e-07,70066736.6551897,21,14475
2011,"eastside","R1RFWF_fcw","C",0.00836275507007854,1011.80371444481,8.45672494255758e-09,1163226.56303813,1,6925
2011,"eastside","R1RFWF_fcw","D",0.00520133506604429,629.305784492649,2.96659139701742e-09,407144.085413607,1,6925
2011,"eastside","R1RFWF_fcw","E",0.492283711300014,146063.457215307,6.20824634117563e-06,419583976.475098,68,14816
2011,"eastside","RaABAMlw_fsi","A",0.0697245482824514,34912.2508819876,1.0972916776414e-07,112256081.370333,22,23962
2011,"eastside","RaABAMlw_fsi","B",0.483290710199922,251401.5233773,3.37448924137107e-06,1057582501.59749,87,24303
2011,"eastside","RaABAMlw_fsi","C",0.0604473387443837,3708.19712236816,1.30204707421855e-07,3123346.52418997,5,3288
2011,"eastside","RaABAMlw_fsi","D",0.00789797853580885,955.570736219317,6.21543178261955e-09,847132.973318383,1,6925
2011,"eastside","RaABAMlw_fsi","E",0.225642158857231,117376.107749691,7.9396797938528e-07,371494424.036851,53,24303
2011,"eastside","RaABAMlw_fsw","A",0.00635291090040923,768.634115516505,4.55462741422077e-09,627480.837540356,1,6925
2011,"eastside","RaABAMlw_fsw","B",0.0226746829562325,2743.39356428849,3.2636817691249e-08,4255706.07015905,2,6925
2011,"eastside","RaABAMlw_fsw","E",0.0147352207221245,1782.80374528172,2.529516030219e-08,3483962.02202399,1,6925
2011,"eastside","RaABAMlw_fwc","A",1.08355897925459e-05,1.31099020698632,2.23994502510733e-14,3.16314262530608,1,6925
2011,"eastside","RaABAMlw_fwc","B",0.00951914663760049,1151.71469755583,1.72873443426608e-08,2441235.6176462,1,6925
2011,"eastside","RaABLA_faf","B",0.0605768507755103,3716.14215603071,2.46618519497778e-07,7556676.74910465,2,3288
2011,"eastside","RaDFHEdy_fwi","A",0.296867185164412,82302.1725187617,2.80280301353408e-06,411512269.922475,27,14475
2011,"eastside","RaDFHEdy_fwi","B",0.383184707929209,113693.144638841,4.03517113793302e-06,486134717.266092,39,14816
2011,"eastside","RaDFHEdy_fwi","C",0.00112047738877572,135.565752484013,1.4038516729457e-10,19177.7890169225,1,6925
2011,"eastside","RaDFHEdy_fwi","E",0.540590403545989,258498.970442069,4.48424277828165e-06,861865476.85752,104,23619
2011,"eastside","RaDFHEdy_fwx","A",0.00960976959913495,1162.6791044201,4.62213849327159e-09,585204.079776624,5,6925
2011,"eastside","RaDFHEdy_fwx","B",0.0326811954447251,3954.07430522285,4.7191453171971e-08,5855666.70452034,3,6925
2011,"eastside","RaDFHEdy_fwx","C",0.0163551329309618,1978.79575703398,2.84221027309651e-08,3898477.10395756,1,6925
2011,"eastside","RaDFHEdy_fwx","E",0.473676596246095,66532.3598472439,2.99021229399439e-06,165180046.33666,34,7266
2011,"eastside","RaDFHEwt_fdm","B",0.00956661789726376,1157.45821108148,1.4404026327296e-08,2012941.09754106,1,6925
2011,"eastside","RaDFHEwt_fhc","A",0.0780129283318821,12189.2383067611,7.41839398776199e-07,67952248.8059622,2,7550
2011,"eastside","RaDFHEwt_fhc","B",0.084177872946168,13152.4886379348,8.65994493864135e-07,80359666.6652354,2,7550
2011,"eastside","RaDFHEwt_fhc","E",0.0810578015281776,12664.9887470679,8.24196834643762e-07,76555873.3801655,2,7550
2011,"eastside","RaDFHEwt_fwm","A",0.22883766329393,63441.9625489314,1.78977002850199e-06,357170909.060791,16,14475
2011,"eastside","RaDFHEwt_fwm","B",0.26718920459262,74074.3777368111,2.32202701166096e-06,370915732.679184,21,14475
2011,"eastside","RaDFHEwt_fwm","C",0.101921423684622,15924.8543596652,1.07765182882213e-06,68694076.5999434,4,7550
2011,"eastside","RaDFHEwt_fwm","D",0.00107351972037227,167.733579272366,1.80492068326901e-10,22184.8273896318,1,7550
2011,"eastside","RaDFHEwt_fwm","E",0.525302516769537,145632.59437301,8.07420297892298e-06,717033112.377001,41,14475
2011,"eastside","RaDFHEwt_fwn","A",0.399156242670908,62366.7213573714,1.34855477928015e-05,342080422.979246,18,7550
2011,"eastside","RaDFHEwt_fwn","B",0.492543093963686,76958.079603573,2.04084144067912e-05,455001010.745326,13,7550
2011,"eastside","RaDFHEwt_fwn","C",0.00335031220361089,523.47418210135,1.90160069388297e-09,253048.117913566,1,7550
2011,"eastside","RaDFHEwt_fwn","E",0.592679232753769,92603.9896460551,2.94045101925305e-05,540063862.448117,16,7550
2011,"eastside","RaDFHEwt_fww","E",0.0248882536396722,6899.91163425007,5.51811082898358e-08,29842455.4514571,2,14475
2011,"eastside","RaDFWV_fwx","A",0.00710236113378658,859.309559621747,5.02625951398587e-09,685054.60532271,1,6925
2011,"eastside","RaDFWV_fwx","B",0.0153639479564067,4259.43438166517,1.30468922950547e-08,5281884.60049943,3,14475
2011,"eastside","RaDFWV_fwx","E",0.059002012996233,16357.4625126749,1.72502416631245e-07,63030098.1429253,5,14475
2011,"eastside","RaMCONdy_fdd","A",0.81032829931534,405744.971883766,9.25125152761752e-06,1663712355.53405,219,23962
2011,"eastside","RaMCONdy_fdd","B",8.56213305743406,4453909.93157645,0.000925236539584781,16500189103.2242,1364,24303
2011,"eastside","RaMCONdy_fdd","C",0.103294848812524,51404.5954605105,1.90133526472461e-07,129772530.62475,45,23960
2011,"eastside","RaMCONdy_fdd","E",0.819710000542393,426402.449943054,9.21653383321733e-06,1779364810.3424,143,24303
2011,"eastside","RaMCONdy_fdg","A",0.38957785449356,115590.028627156,3.95951726403381e-06,337245883.483791,83,14816
2011,"eastside","RaMCONdy_fdg","B",2.45879175837492,729537.899704895,0.000144853722285996,1807992509.70116,357,14816
2011,"eastside","RaMCONdy_fdg","C",0.10263609836884,12417.8676399691,2.03212483545397e-07,20159071.7634426,14,6925
2011,"eastside","RaMCONdy_fdg","E",0.951611984414573,133662.907316465,1.01947448314895e-05,302928960.471812,67,7266
2011,"eastside","RaMCONdy_fdx","E",0.0154413486664253,1868.23765682519,2.68757185609681e-08,3695144.17483958,1,6925
2011,"eastside","RaMCONdy_fmd","A",0.421935823930959,201760.844001923,2.78072874908509e-06,819187799.961751,101,23619
2011,"eastside","RaMCONdy_fmd","B",3.69685198910756,1851075.80180311,0.000183271942131375,8118518043.58159,532,23962
2011,"eastside","RaMCONdy_fmd","C",0.11484795594921,54917.8789995323,2.65776284487994e-07,204291278.199671,26,23619
2011,"eastside","RaMCONdy_fmd","E",0.774589529632287,387849.970422676,8.69352884575351e-06,1869188675.639,105,23962
2011,"eastside","RaMCONdy_fmx","A",0.331374195481207,91868.7465900141,3.21092471777348e-06,282685393.336925,59,14475
2011,"eastside","RaMCONdy_fmx","B",1.49741280453687,444291.139618531,5.43724973926828e-05,1357819616.38555,193,14816
