"YEAR","ew","BpS_Code","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N"
2002,"eastside","Na0210290_fwo","A",0.341527359648993,54073.6013486532,0.140999495172504,3532830624.23246,1,740
2002,"eastside","Na0210290_fwo","B",0.409584519869411,64849.0067348059,0.169517688821361,4257493065.73912,1,740
2002,"eastside","Na0710270_fdd","A",1.58480290734534,439547.14362891,0.353023895609941,27426729083.011,8,1454
2002,"eastside","Na0710270_fdd","B",1.81936622297511,504603.583711984,0.379159834610707,29125329509.2394,11,1454
2002,"eastside","Na0710270_fdd","C",1.36418313138142,378357.962372658,0.300634018679621,23277502212.2556,7,1454
2002,"eastside","Na0710270_fdd","D",0.128232788659297,15262.5927323672,0.0214382008521266,303694328.108526,1,714
2002,"eastside","Na0710270_fdd","E",0.786996785831701,218274.580172813,0.135777178653527,10430573267.4133,6,1454
2002,"eastside","Na0710412_fmc","A",0.13490576710434,16056.8276030534,0.0188991130484347,267748180.455137,2,714
2002,"eastside","Na0710412_fmc","E",0.162542958258209,19346.2764036157,0.0213821979662438,302953323.093098,1,714
2002,"eastside","Na0710412_fmh","A",0.461529688639244,82511.511715187,0.0462493158000164,1480267981.36089,7,1037
2002,"eastside","Na0710412_fmh","B",1.25826744990556,431062.88517093,0.16533170040132,19448416490.6581,13,1664
2002,"eastside","Na0710412_fmh","C",0.68390595059025,221186.644418914,0.101760206331239,10687264420.7526,6,1629
2002,"eastside","Na0710412_fmh","D",0.101331189394946,32772.2046253606,0.00502219065824117,525332160.93383,3,1629
2002,"eastside","Na0710412_fmh","E",1.24589284903014,649345.797667843,0.156200472703415,42386057844.4511,13,2438
2002,"eastside","Na0710412_fmi","E",2.26415009804897,43398.5758862832,12.830270025601,4703826128.67231,1,35
2002,"eastside","Na1010471_frn","A",0.86806552137262,177427.568788763,0.220031553158484,9181876733.76939,5,915
2002,"eastside","Na1010471_frn","B",1.5937367772966,325750.573802128,0.349549009253947,14626421917.0855,13,915
