"YEAR","ew","BpS_Code","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N"
2002,"eastside","Na0210290_fwo","A",0.352158871262405,54073.6013486532,0.000145968802205035,3532830624.23246,1,740
2002,"eastside","Na0210290_fwo","B",0.422334604032919,64849.0067348059,0.000201840736128455,4257493065.73912,1,740
2002,"eastside","Na0710270_fdd","A",1.01605378541015,156013.923897774,0.00109481068803249,8601765081.32801,5,740
2002,"eastside","Na0710270_fdd","B",3.40770079324663,928080.196164493,0.00408534989982271,56279993369.3618,17,1454
2002,"eastside","Na0710270_fdd","E",2.0003030837346,544778.368458856,0.00146466174394769,27281888106.4312,14,1454
2002,"eastside","Na0710412_fmc","A",0.135159586175795,16056.8276030534,3.85904664326287e-06,267748180.455137,2,714
2002,"eastside","Na0710412_fmc","E",0.162848775449144,19346.2764036157,4.97946032055526e-06,302953323.093098,1,714
2002,"eastside","Na0710412_fmh","A",0.235600134316613,42178.3080268925,5.92073217476601e-06,662578704.3773,5,1037
2002,"eastside","Na0710412_fmh","B",1.47844508283513,506856.957565883,0.000326924754061066,21049939387.1753,16,1664
2002,"eastside","Na0710412_fmh","C",0.545687075539325,78927.3144712828,0.00019722870528982,4997154439.96613,1,592
2002,"eastside","Na0710412_fmh","E",1.54218367990833,796778.271219931,0.000409872104050312,52645759089.2654,17,2438
2002,"eastside","Na0710412_fmi","E",2.26415009804897,43398.5758862832,0.028580205423255,4703826128.67231,1,35
2002,"eastside","Na1010471_frn","A",0.5607207832794,114871.705437274,0.000115321265305717,6158675444.83832,3,915
2002,"eastside","Na1010471_frn","B",1.99989731346627,409707.686869919,0.00130923917360588,15859230752.232,18,915
2002,"eastside","Na1010471_frn","E",0.609819458802685,36726.9534373139,9.29032021186762e-05,802558301.218708,2,323
2002,"eastside","R1RFWF_fcw","A",0.143114544318569,17001.8689064641,4.36763787327116e-06,294067309.208346,1,714
2002,"eastside","R1RFWF_fcw","B",0.235141423141179,27934.5727561179,9.1127884252697e-06,385597473.834235,3,714
2002,"eastside","R1RFWF_fcw","E",0.962421165487776,114334.699986928,0.000115724121759515,2147074998.91692,6,714
2002,"eastside","RaABAMlw_fsi","A",0.249488008138745,15025.6511592305,1.41479489457383e-05,86232862.642975,3,323
2002,"eastside","RaABAMlw_fsi","B",0.457031360276493,147924.319805577,3.4978393469031e-05,5478773049.37979,7,1629
2002,"eastside","RaABAMlw_fsi","C",0.199928926640084,12040.9086221999,1.23386314004817e-05,150781961.509784,1,323
2002,"eastside","RaABAMlw_fsi","E",0.479434940182372,85830.8279174905,2.06189483126975e-05,1423203046.32081,6,1037
2002,"eastside","RaABAMlw_fsw","E",0.110120802630315,13082.2444295224,3.18717625393123e-06,263462624.147105,1,714
2002,"eastside","RaDFHEdy_fwi","A",0.273584164904399,74510.0761003337,3.18584446080872e-05,3825462272.88986,3,1454
2002,"eastside","RaDFHEdy_fwi","B",0.599033818800966,163145.609838677,0.000139960052588969,9178969548.87381,4,1454
2002,"eastside","RaDFHEdy_fwi","E",0.799710160479928,217799.392506475,0.000241318144827679,9527412555.25368,10,1454
2002,"eastside","RaDFHEdy_fwx","E",0.352984065182742,41934.1642100948,1.88376823473165e-05,778420950.67611,3,714
2002,"eastside","RaDFHEwt_fhc","A",0.415046375771123,63729.9074255834,0.000195193431468235,4111817848.74176,1,740
2002,"eastside","RaDFHEwt_fwm","A",0.257375315564257,70095.6298247063,2.84477878147503e-05,4293380282.85046,2,1454
2002,"eastside","RaDFHEwt_fwm","B",0.357610523969627,97394.4795546487,5.33084895692971e-05,5822483952.20178,3,1454
2002,"eastside","RaDFHEwt_fwm","E",0.475148364935166,129405.665136503,9.14654266543353e-05,8366031156.44465,3,1454
2002,"eastside","RaDFHEwt_fwn","B",0.887805748391791,136321.581056548,0.000871096871086293,9109218033.88777,2,740
2002,"eastside","RaDFHEwt_fwn","E",0.945058887654545,145112.736643102,0.000984397540245956,11171300461.3123,2,740
2002,"eastside","RaMCONdy_fdd","A",1.06622650843895,508816.376647337,0.000205044393008654,23391509491.3048,24,2369
2002,"eastside","RaMCONdy_fdd","B",8.15463722418628,4047798.70681471,0.0111342380955936,162009807149.113,134,2404
2002,"eastside","RaMCONdy_fdd","C",0.172606897516544,82370.130064849,6.34949244092985e-06,2275669712.06091,7,2369
2002,"eastside","RaMCONdy_fdd","E",0.843568155939112,273032.12978962,0.000111112020714201,9587833116.82649,11,1629
2002,"eastside","RaMCONdy_fdg","A",0.357462504700801,97354.1668158304,5.05941067028763e-05,4680648399.30217,7,1454
2002,"eastside","RaMCONdy_fdg","B",2.79986262589319,762536.740379989,0.0027876456769315,20108800759.1642,35,1454
2002,"eastside","RaMCONdy_fdg","E",0.463219698968279,55030.050469361,3.12404397717354e-05,1102473334.0724,2,714
2002,"eastside","RaMCONdy_fmd","A",0.447960202386606,213772.10682397,3.75252546230833e-05,6589168042.27612,14,2369
2002,"eastside","RaMCONdy_fmd","B",3.86111075604753,1842569.44390034,0.00262747417468038,88462932997.5529,57,2369
2002,"eastside","RaMCONdy_fmd","E",1.78446640455881,577566.4474109,0.000458488892371703,32088818241.6878,13,1629
2002,"eastside","RaMCONdy_fmx","A",0.324054746121397,38497.3891948356,1.53790174394881e-05,638214850.343959,5,714
2002,"eastside","RaMCONdy_fmx","B",2.10115584249823,572245.406739499,0.00157900644371976,23288909088.946,24,1454
2002,"eastside","RaMCONdy_fmx","E",0.846603371747619,100575.658545111,8.88966901721401e-05,1845856768.76317,5,714
