"YEAR","ew","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N"
2011,"eastside","A",14.6281678512459,7665817.05749741,0.0947576805772014,28181744764.2633,2799,24303
2011,"eastside","B",16.3272296609961,8556201.76837668,0.104383978751576,29146370885.8148,2851,24303
2011,"eastside","C",15.5958237165813,8172912.1984411,0.0983315658668319,28765122084.6465,2800,24303
2011,"eastside","D",2.43269952481336,1274843.82888673,0.0159809445564597,4403003640.7046,572,24303
2011,"eastside","E",10.915237784844,5720074.91632457,0.0642547038372852,17545532747.308,2091,24303
2011,"westside","A",7.61334512031508,3989734.83770595,0.062355708756402,17595000001.5923,1128,24303
2011,"westside","B",12.2884197508206,6439683.95040705,0.0920174862521171,25423184869.4273,1551,24303
2011,"westside","C",4.26196677764235,2233462.04082251,0.0330114024021008,9088521225.11689,791,24303
2011,"westside","D",1.56033118203728,817683.630119663,0.0118435949347126,3251140852.76396,316,24303
2011,"westside","E",14.3767786307041,7534077.81342412,0.0817612665453824,22244296356.2247,2170,24303
2017,"eastside","A",14.4498774416502,7489934.76386068,0.0913510575616757,26378061942.7058,2856,24359
2017,"eastside","B",15.8782002876789,8230290.17391081,0.106611367010224,29076159226.6378,2742,24359
2017,"eastside","C",15.1748439576711,7865713.16979571,0.0978661785258513,27649474709.6414,2780,24359
2017,"eastside","D",2.85541502859059,1480072.91925159,0.0190519599427618,5135629140.77727,668,24359
2017,"eastside","E",11.451890754053,5935961.39601034,0.0668885720991187,17886512046.793,2190,24359
2017,"westside","A",6.83216093764878,3541375.34562664,0.0545835973526123,14912959658.8678,1017,24359
2017,"westside","B",12.8095022547641,6639664.35930909,0.093685644813457,25245671131.9198,1616,24359
2017,"westside","C",3.97768930225625,2061791.423845,0.0289721664625661,7770797274.83287,824,24359
2017,"westside","D",1.86072650946427,964487.08479025,0.0145369455148475,3906306449.9148,354,24359
2017,"westside","E",14.7096935262227,7624607.56865836,0.0764662965856021,20665109272.4759,2237,24359
2018,"eastside","A",14.5132318238922,7520803.49166548,0.0915675286406623,26403700446.8885,2874,24489
2018,"eastside","B",15.8547198049388,8215966.88561564,0.106250139282377,28977023661.6866,2753,24489
2018,"eastside","C",15.051201798243,7799581.26567223,0.0965344443419817,27254241514.5436,2778,24489
2018,"eastside","D",2.93969386077933,1523358.83012496,0.0195902500822608,5282472425.41278,692,24489
2018,"eastside","E",11.5102302633722,5964638.40756232,0.0665711842701186,17775515212.5337,2240,24489
2018,"westside","A",6.86370039141448,3556791.65714945,0.0547963434024171,14975108952.5296,1014,24489
2018,"westside","B",12.7639965947681,6614344.16003103,0.093240784804577,25130422717.6285,1628,24489
2018,"westside","C",3.99525680420924,2070354.94835353,0.0290974306292589,7803211803.18606,834,24489
2018,"westside","D",1.80691037711291,936346.779147152,0.0136195910401958,3656689071.60732,359,24489
2018,"westside","E",14.7010582812699,7618135.76704108,0.0748785337463609,20194544276.4893,2282,24489
2019,"eastside","A",14.7990099312677,7666567.73447101,0.0927052417722431,26777012553.8048,2930,24617
2019,"eastside","B",15.6032545563306,8083203.43657305,0.104176058343214,28375986966.6403,2728,24617
2019,"eastside","C",14.9426955975523,7741003.51755107,0.0953386458378713,26945019576.185,2780,24617
2019,"eastside","D",2.96320031456627,1535074.03724555,0.0197790946173881,5330692528.69498,704,24617
2019,"eastside","E",11.6055861034105,6012227.32961636,0.0670960047644376,17903672748.8182,2307,24617
2019,"westside","A",6.89846410418524,3573721.65869088,0.054604544831635,14913258178.2919,1015,24617
2019,"westside","B",12.7453213789272,6602662.61749689,0.0925799011791632,24947366487.3405,1632,24617
2019,"westside","C",3.95005958044792,2046312.52153676,0.0283116802346653,7584450395.08434,847,24617
2019,"westside","D",1.83204762806109,949084.925176755,0.0137297077887775,3684618517.92691,373,24617
2019,"westside","E",14.6603608052511,7594741.11087466,0.0732394045004491,19721273709.1416,2311,24617
