"type","REST_ACRES","YEAR","STATE","ew","BpS_Code","AREA_STRATA","REST_PCT"
"active",6540.49966539748,2011,"Oregon","eastside","Na0210290_fdw",9646.16073,0.678041746189883
"both",1193.119099188,2011,"Oregon","eastside","Na0210290_fdw",9646.16073,0.123688494581823
"active",23092.1340584071,2011,"Oregon","eastside","Na0210290_fwo",216308.93843,0.106755339035053
"both",127485.552906571,2011,"Oregon","eastside","Na0210290_fwo",216308.93843,0.589367937505857
"active",86.4054763858188,2011,"Oregon","eastside","Na0210350_fvg",1960.63432,0.0440701641833031
"both",332.843165724337,2011,"Oregon","eastside","Na0210350_fvg",1960.63432,0.169763000845735
"passive",263.518431326465,2011,"Oregon","eastside","Na0210350_fvg",1960.63432,0.134404681504537
"active",128983.408944731,2011,"Oregon","eastside","Na0710270_fdd",1403267.971,0.0919164490391771
"both",549998.216133274,2011,"Oregon","eastside","Na0710270_fdd",1403267.971,0.391940974567625
"passive",249617.430792819,2011,"Oregon","eastside","Na0710270_fdd",1403267.971,0.177882938933564
"active",3077.61905660926,2011,"Oregon","eastside","Na0710412_fmc",16639.371505,0.184960054271549
"both",448.162063249438,2011,"Oregon","eastside","Na0710412_fmc",16639.371505,0.0269338335955038
"active",113132.538571497,2011,"Oregon","eastside","Na0710412_fmh",661932.697285,0.170912449310216
"active",3992.90073653998,2011,"Oregon","eastside","Na0710412_fmi",48558.391485,0.0822288509654076
"active",42716.1422264228,2011,"Oregon","eastside","R1RFWF_fcw",149284.8677,0.286138460545541
"active",1146.48432467504,2011,"Oregon","eastside","R1RFWF_frm",3802.50971,0.301507270753305
"active",5357.45283714856,2011,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.0396796741620406
"both",5640.78477049521,2011,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.0417781562460901
"passive",18086.2890109829,2011,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.133955085853497
"active",601.992677969504,2011,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.0273730125525443
"both",1041.46608979672,2011,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.04735616460521
"passive",2943.165620169,2011,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.133827723182348
"active",314.162284821594,2011,"Oregon","eastside","RaABAMlw_fwc",11407.52913,0.0275399064285882
"both",263.694498744976,2011,"Oregon","eastside","RaABAMlw_fwc",11407.52913,0.0231158295315242
"passive",1650.64417401312,2011,"Oregon","eastside","RaABAMlw_fwc",11407.52913,0.144697782946894
"both",42032.8223150253,2011,"Oregon","eastside","RaDFHEdy_fwi",491309.474125,0.0855526394842758
"passive",89868.2132200487,2011,"Oregon","eastside","RaDFHEdy_fwi",491309.474125,0.182915693576029
"active",2400.89003234667,2011,"Oregon","eastside","RaDFHEdy_fwx",110789.849965,0.0216706677832414
"both",8221.5339741367,2011,"Oregon","eastside","RaDFHEdy_fwx",110789.849965,0.0742083681558734
"passive",14760.0970874983,2011,"Oregon","eastside","RaDFHEdy_fwx",110789.849965,0.133226077047321
"passive",5535.52170620035,2011,"Oregon","eastside","RaDFHEwt_fdm",18634.92184,0.297050975245751
"passive",12041.9631417096,2011,"Oregon","eastside","RaDFHEwt_fhc",31311.659235,0.384583999568096
"passive",122934.718487205,2011,"Oregon","eastside","RaDFHEwt_fwm",306700.94139,0.400829283177457
"passive",83313.8202139687,2011,"Oregon","eastside","RaDFHEwt_fwn",176075.681375,0.473170511471881
"passive",15811.0342937918,2011,"Oregon","eastside","RaDFHEwt_fww",32217.696465,0.490756200120276
"active",12069.3962547827,2011,"Oregon","eastside","RaDFWV_fwx",38027.543445,0.317385641074577
"both",562546.801639376,2011,"Oregon","eastside","RaMCONdy_fdd",1523190.91643,0.369321268641657
"passive",45918.5612413152,2011,"Oregon","eastside","RaMCONdy_fdd",1523190.91643,0.0301462940370846
"active",31022.3570161878,2011,"Oregon","eastside","RaMCONdy_fdg",1043084.14564,0.0297409917942465
"both",389412.695495749,2011,"Oregon","eastside","RaMCONdy_fdg",1043084.14564,0.373328170237713
"active",687.70126222842,2011,"Oregon","eastside","RaMCONdy_fdx",4451.680715,0.154481263651996
"both",1258.83609909306,2011,"Oregon","eastside","RaMCONdy_fdx",4451.680715,0.282777714684568
"active",25165.0832160487,2011,"Oregon","eastside","RaMCONdy_fmd",595788.865965,0.0422382569625378
"both",210499.193035186,2011,"Oregon","eastside","RaMCONdy_fmd",595788.865965,0.353311726788046
"active",6323.03470584601,2011,"Oregon","eastside","RaMCONdy_fmx",596169.8286,0.0106060964552576
"both",222184.565000191,2011,"Oregon","eastside","RaMCONdy_fmx",596169.8286,0.372686698221466
"passive",2931.35830452292,2011,"Oregon","eastside","RaMCONdy_fmx",596169.8286,0.00491698533521345
"active",24037.7772418302,2011,"Oregon","eastside","RaMCONms_fcm",1811014.747825,0.0132730985601852
"both",234677.339633906,2011,"Oregon","eastside","RaMCONms_fcm",1811014.747825,0.129583339901428
"passive",140900.949231751,2011,"Oregon","eastside","RaMCONms_fcm",1811014.747825,0.0778022097285354
"active",21024.9271632659,2011,"Oregon","eastside","RaMCONms_fmm",842058.6364,0.0249684834932071
"both",88310.6295669594,2011,"Oregon","eastside","RaMCONms_fmm",842058.6364,0.104874679445731
"passive",51479.4408231063,2011,"Oregon","eastside","RaMCONms_fmm",842058.6364,0.061135220990302
"active",49729.2593841845,2011,"Oregon","eastside","RaMCONsw_fdm",252622.9284,0.196851725609972
"both",102039.475006087,2011,"Oregon","eastside","RaMCONsw_fdm",252622.9284,0.40392008616304
