"strataID","BpS","SCLASS","YEAR","ew","PVT","BpS_Code","BPS_LLID","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2009_Na0210290_fdw_Na0210290_fdw_1709000202","Na0210290","A",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000202","A",2.23068811703815,17.124415,1.58537563504243,1.27544749223045,1.89530376072999,0.335384356308155
"2009_Na0210290_fdw_Na0210290_fdw_1709000202","Na0210290","B",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000202","B",0.29318899290065,17.124415,0.18715516320193,0.08112133350321,0.29318899290065,3.88578058618805e-16
"2009_Na0210290_fdw_Na0210290_fdw_1709000202","Na0210290","C",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000202","C",3.20602907193338,17.124415,3.62690313151358,3.20602907193338,4.04777751645767,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000202","Na0210290","D",NA,NA,NA,NA,NA,NA,10.5939810838069,17.124415,11.1175187340941,10.5939810838069,11.6410563843813,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000202","Na0210290","E",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000202","E",0.80052773432093,17.124415,0.60746214777941,0.41439652698906,0.80052773432093,1.11022302462516e-16
"2009_Na0210290_fdw_Na0210290_fdw_1709000203","Na0210290","A",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000203","A",6.17060479128735,47.370135,4.38551961381867,3.52818592006605,5.24285326020116,0.927751531086193
"2009_Na0210290_fdw_Na0210290_fdw_1709000203","Na0210290","B",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000203","B",0.811029292049849,47.370135,0.51771493197417,0.22440057189849,0.81102929204985,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000203","Na0210290","C",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000203","C",8.86862587430922,47.370135,10.0328619092519,8.86862587430922,11.1970988442271,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000203","Na0210290","D",NA,NA,NA,NA,NA,NA,29.3054281928684,47.370135,30.7536557189875,29.3054281928684,32.2018832451066,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000203","Na0210290","E",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000203","E",2.21444684948517,47.370135,1.68038230489629,1.14631766556714,2.21444684948517,8.88178419700125e-16
"2009_Na0210290_fdw_Na0210290_fdw_1709000204","Na0210290","A",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000204","A",89.256494657072,685.198995,63.4356146956588,51.0344639423638,75.8367647637547,13.4197298933172
"2009_Na0210290_fdw_Na0210290_fdw_1709000204","Na0210290","B",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000204","B",11.7313673652845,685.198995,7.48863711461229,3.24590686394013,11.7313673652844,7.105427357601e-15
"2009_Na0210290_fdw_Na0210290_fdw_1709000204","Na0210290","C",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000204","C",128.282799618529,685.198995,145.123227898615,128.282799618529,161.963669197482,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000204","Na0210290","D",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000204","D",423.896827522195,685.198995,444.845132723946,423.896827522195,465.793437925697,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000204","Na0210290","E",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000204","E",32.0315058369193,685.198995,24.3063750299787,16.5812428526402,32.0315058369193,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000301","Na0210290","A",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000301","A",399.003473194369,3063.046335,283.576345732979,228.139458577792,339.01322982512,59.9902433692494
"2009_Na0210290_fdw_Na0210290_fdw_1709000301","Na0210290","B",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000301","B",52.4427532366318,3063.046335,33.4764683477946,14.5101834589573,52.4427532366318,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000301","Na0210290","C",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000301","C",573.462836464136,3063.046335,648.744634160216,573.462836464136,724.026490054176,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000301","Na0210290","D",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000301","D",1894.94677230224,3063.046335,1988.59201980101,1894.94677230224,2082.23726729978,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000301","Na0210290","E",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000301","E",143.190499802626,3063.046335,108.656833264491,74.1231606002639,143.190499802626,2.8421709430404e-14
"2009_Na0210290_fdw_Na0210290_fdw_1709000302","Na0210290","A",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000302","A",104.813371525247,804.62511,74.4920655530326,59.9294678816853,89.0546624197548,15.7587091054921
"2009_Na0210290_fdw_Na0210290_fdw_1709000302","Na0210290","B",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000302","B",13.7760750170721,804.62511,8.79386208395562,3.81164915083914,13.7760750170721,1.59872115546023e-14
"2009_Na0210290_fdw_Na0210290_fdw_1709000302","Na0210290","C",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000302","C",150.641729639675,804.62511,170.417344543067,150.641729639675,190.192974734336,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000302","Na0210290","D",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000302","D",497.779526769004,804.62511,522.378997142239,497.779526769004,546.978467515473,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000302","Na0210290","E",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000302","E",37.6144070490016,804.62511,28.5428318268299,19.471254995408,37.6144070490016,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000303","Na0210290","A",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000303","A",78.218933974065,600.4665,55.591093696293,44.723483493795,66.4587032983245,11.7602306757405
"2009_Na0210290_fdw_Na0210290_fdw_1709000303","Na0210290","B",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000303","B",10.280652997815,600.4665,6.562583644743,2.844514291671,10.280652997815,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000303","Na0210290","C",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000303","C",112.419201223638,600.4665,127.177122793333,112.419201223638,141.935055771893,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000303","Na0210290","D",NA,NA,NA,NA,NA,NA,371.477258782839,600.4665,389.835072494208,371.477258782839,408.192886205577,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000303","Na0210290","E",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000303","E",28.070453021643,600.4665,21.300620766291,14.530787310006,28.070453021643,3.5527136788005e-15
"2009_Na0210290_fdw_Na0210290_fdw_1709000304","Na0210290","A",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000304","A",46.6996005800714,358.50074,33.1899418660831,26.7015760711102,39.6783073025552,7.02129327751614
"2009_Na0210290_fdw_Na0210290_fdw_1709000304","Na0210290","B",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000304","B",6.1379306046214,358.50074,3.91810549456508,1.69828038450876,6.1379306046214,2.66453525910038e-15
"2009_Na0210290_fdw_Na0210290_fdw_1709000304","Na0210290","C",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000304","C",67.1184268046313,358.50074,75.9294525714273,67.1184268046313,84.7404851497373,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000304","Na0210290","D",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000304","D",221.785681910347,358.50074,232.74597661506,221.785681910347,243.706271319774,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000304","Na0210290","E",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000304","E",16.7591001003291,358.50074,12.717259509356,8.67541820138136,16.7591001003291,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000305","Na0210290","A",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000305","A",71.845539353956,551.5396,51.0614490247432,41.079347801708,61.0435496962388,10.8019896577172
"2009_Na0210290_fdw_Na0210290_fdw_1709000305","Na0210290","B",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000305","B",9.44297016095601,551.5396,6.0278546070232,2.6127390530904,9.442970160956,1.06581410364015e-14
"2009_Na0210290_fdw_Na0210290_fdw_1709000305","Na0210290","C",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000305","C",103.259118160971,551.5396,116.81454241758,103.259118160971,130.369977153442,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000305","Na0210290","D",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000305","D",341.208741400534,551.5396,358.070733253939,341.208741400534,374.932725107345,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000305","Na0210290","E",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000305","E",25.7832309235832,551.5396,19.5650146297784,13.3467972328944,25.7832309235832,7.105427357601e-15
"2009_Na0210290_fdw_Na0210290_fdw_1709000306","Na0210290","A",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000306","A",219.186834980658,1682.64057,155.77859811339,125.325139301501,186.232055242638,32.9547797380193
"2009_Na0210290_fdw_Na0210290_fdw_1709000306","Na0210290","B",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000306","B",28.8086742894327,1682.64057,18.3898177244909,7.97096115954918,28.8086742894327,3.5527136788005e-15
"2009_Na0210290_fdw_Na0210290_fdw_1709000306","Na0210290","C",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000306","C",315.02358387335,1682.64057,356.378559649763,315.02358387335,397.733567396348,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000306","Na0210290","D",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000306","D",1040.96182961147,1682.64057,1092.40450314488,1040.96182961147,1143.84717667829,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000306","Na0210290","E",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000306","E",78.659647245093,1682.64057,59.6890728584288,40.7184951064835,78.6596472450929,2.8421709430404e-14
"2009_Na0210290_fdw_Na0210290_fdw_1709000406","Na0210290","A",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000406","A",19.6126734446081,150.561415,13.9389520119964,11.2139993797405,16.663904493691,2.94876895091715
"2009_Na0210290_fdw_Na0210290_fdw_1709000406","Na0210290","B",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000406","B",2.57777854797065,150.561415,1.64550708425593,0.71323562054121,2.57777854797065,2.22044604925031e-15
