"strataID","BpS","SCLASS","YEAR","ew","MAP_ZONE","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2011_Na0210350_fvg","Na0210350","D",2011,"eastside","OSW","fvg","Na0210350_fvg","D",2.446345,77698.363545,34149.2375978346,31598.5922376102,36699.8829580589,-31596.1458926102
"2011_Na0210350_fvg","Na0210350","D",2011,"westside","OCR","fvg","Na0210350_fvg","D",6929.38341,77698.363545,34149.2375978346,31598.5922376102,36699.8829580589,-24669.2088276102
"2011_Na0210350_fvg","Na0210350","D",2011,"westside","OWC","fvg","Na0210350_fvg","D",32.91446,77698.363545,34149.2375978346,31598.5922376102,36699.8829580589,-31565.6777776102
"2011_Na0210350_fvg","Na0210350","E",2011,"eastside","OEC","fvg","Na0210350_fvg","E",448.34832,77698.363545,24721.416842206,22399.3148470834,27043.5203135974,-21950.9665270834
"2011_Na0210350_fvg","Na0210350","E",2011,"eastside","OSW","fvg","Na0210350_fvg","E",156.12129,77698.363545,24721.416842206,22399.3148470834,27043.5203135974,-22243.1935570834
"2011_Na0210350_fvg","Na0210350","E",2011,"westside","OCR","fvg","Na0210350_fvg","E",36519.92774,77698.363545,24721.416842206,22399.3148470834,27043.5203135974,9476.40742640255
"2011_Na0210350_fvg","Na0210350","E",2011,"westside","OWC","fvg","Na0210350_fvg","E",662.069915,77698.363545,24721.416842206,22399.3148470834,27043.5203135974,-21737.2449320834
"2011_Na0710270_fdd","Na0710270","A",2011,"eastside","OSW","fdd","Na0710270_fdd","A",107987.228175,1233970.22204,111386.377886831,90406.0040256523,132366.752981979,0
"2011_Na0710270_fdd","Na0710270","B",2011,"eastside","OEC","fdd","Na0710270_fdd","B",0.44479,1233970.22204,77837.9074908251,58510.556437181,97165.2523746181,-58510.111647181
"2011_Na0710270_fdd","Na0710270","B",2011,"eastside","OSW","fdd","Na0710270_fdd","B",715104.45065,1233970.22204,77837.9074908251,58510.556437181,97165.2523746181,617939.198275382
"2011_Na0710270_fdd","Na0710270","C",2011,"eastside","OSW","fdd","Na0710270_fdd","C",79971.90763,1233970.22204,247417.916306829,219233.419450325,275602.413163334,-139261.511820325
"2011_Na0710270_fdd","Na0710270","D",2011,"eastside","OSW","fdd","Na0710270_fdd","D",25999.2208122585,1233970.22204,521691.102916833,487980.515980996,555401.644195771,-461981.295168738
"2011_Na0710270_fdd","Na0710270","E",2011,"eastside","OSW","fdd","Na0710270_fdd","E",304906.969982741,1233970.22204,275636.917438682,246366.887106088,304906.969982741,0
"2011_Na0710411_fmt","Na0710411","A",2011,"westside","WCR","fmt","Na0710411_fmt","A",5238.069435,378447.125155,3476.80357842424,1314.51413929263,5639.09301755585,0
"2011_Na0710411_fmt","Na0710411","A",2011,"westside","WNC","fmt","Na0710411_fmt","A",21627.246565,378447.125155,3476.80357842424,1314.51413929263,5639.09301755585,15988.1535474442
"2011_Na0710411_fmt","Na0710411","A",2011,"westside","WWC","fmt","Na0710411_fmt","A",601.578475,378447.125155,3476.80357842424,1314.51413929263,5639.09301755585,-712.935664292634
"2011_Na0710411_fmt","Na0710411","B",2011,"westside","WCR","fmt","Na0710411_fmt","B",68004.7114643283,378447.125155,18193.5617064828,13057.3564193283,23329.7673720844,44674.9440922439
"2011_Na0710411_fmt","Na0710411","B",2011,"westside","WNC","fmt","Na0710411_fmt","B",137397.066549328,378447.125155,18193.5617064828,13057.3564193283,23329.7673720844,114067.299177244
"2011_Na0710411_fmt","Na0710411","B",2011,"westside","WWC","fmt","Na0710411_fmt","B",13057.3564193283,378447.125155,18193.5617064828,13057.3564193283,23329.7673720844,0
