"type","REST_ACRES","YEAR","STATE","ew","BpS_Code","AREA_STRATA","REST_PCT"
"active",6828.05640039748,2006,"Oregon","eastside","Na0210290_fdw",9646.16073,0.707852231734219
"both",1075.916934188,2006,"Oregon","eastside","Na0210290_fdw",9646.16073,0.111538358555632
"active",20805.4686684071,2006,"Oregon","eastside","Na0210290_fwo",216308.93843,0.0961840450025601
"both",127414.608901571,2006,"Oregon","eastside","Na0210290_fwo",216308.93843,0.58903996213177
"active",145.340151385819,2006,"Oregon","eastside","Na0210350_fvg",1960.63432,0.0741291478493648
"both",300.595890724337,2006,"Oregon","eastside","Na0210350_fvg",1960.63432,0.153315632424682
"passive",235.941451326465,2006,"Oregon","eastside","Na0210350_fvg",1960.63432,0.120339345751361
"active",106595.571479731,2006,"Oregon","eastside","Na0710270_fdd",1403267.971,0.0759623775947574
"both",549442.895818274,2006,"Oregon","eastside","Na0710270_fdd",1403267.971,0.391545240946908
"passive",249744.195942819,2006,"Oregon","eastside","Na0710270_fdd",1403267.971,0.177973274601889
"active",2872.12607660926,2006,"Oregon","eastside","Na0710412_fmc",16639.371505,0.172610250077427
"both",600.280243249438,2006,"Oregon","eastside","Na0710412_fmc",16639.371505,0.0360758964405031
"active",132165.325066497,2006,"Oregon","eastside","Na0710412_fmh",661932.697285,0.199665805313123
"active",5258.10589153998,2006,"Oregon","eastside","Na0710412_fmi",48558.391485,0.108284185920043
"active",43499.1950214228,2006,"Oregon","eastside","R1RFWF_fcw",149284.8677,0.291383820018771
"active",1164.49831967504,2006,"Oregon","eastside","R1RFWF_frm",3802.50971,0.306244666939993
"active",4169.19635214856,2006,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.0308789191056832
"both",5551.15958549521,2006,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.0411143523367298
"passive",17611.6980809829,2006,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.130440054730482
"active",279.075137969504,2006,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.0126897345006068
"both",1008.10683979672,2006,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.045839297037861
"passive",2718.546670169,2006,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.123614148228865
"active",420.467094821594,2006,"Oregon","eastside","RaABAMlw_fwc",11407.52913,0.0368587351414981
"both",277.927778744976,2006,"Oregon","eastside","RaABAMlw_fwc",11407.52913,0.0243635388152611
"passive",1605.49798901312,2006,"Oregon","eastside","RaABAMlw_fwc",11407.52913,0.140740205062541
"both",42843.4520900253,2006,"Oregon","eastside","RaDFHEdy_fwi",491309.474125,0.0872025766780246
"passive",87429.2072550487,2006,"Oregon","eastside","RaDFHEdy_fwi",491309.474125,0.177951396949461
"active",2377.09376734667,2006,"Oregon","eastside","RaDFHEdy_fwx",110789.849965,0.0214558803725939
"both",7723.5915691367,2006,"Oregon","eastside","RaDFHEdy_fwx",110789.849965,0.0697138914041014
"passive",17001.6162924983,2006,"Oregon","eastside","RaDFHEdy_fwx",110789.849965,0.153458248186718
"active",94.9952523899005,2006,"Oregon","eastside","RaDFHEwt_fdm",18634.92184,0.00509770060779072
"passive",5681.75412350574,2006,"Oregon","eastside","RaDFHEwt_fdm",18634.92184,0.304898199857743
"passive",11948.5572417096,2006,"Oregon","eastside","RaDFHEwt_fhc",31311.659235,0.381600896714972
"passive",127682.851737205,2006,"Oregon","eastside","RaDFHEwt_fwm",306700.94139,0.416310596108813
"passive",87246.8757889687,2006,"Oregon","eastside","RaDFHEwt_fwn",176075.681375,0.495507812933878
"passive",16111.7960260131,2006,"Oregon","eastside","RaDFHEwt_fww",32217.696465,0.500091496098
"active",12568.8954247827,2006,"Oregon","eastside","RaDFWV_fwx",38027.543445,0.330520835324567
"both",530123.389799376,2006,"Oregon","eastside","RaMCONdy_fdd",1523190.91643,0.348034763128617
"passive",86806.3267813151,2006,"Oregon","eastside","RaMCONdy_fdd",1523190.91643,0.0569897875866859
