"strataID","BpS","SCLASS","YEAR","STATE","ew","MAP_ZONE","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2005_Oregon_Na0210290_fdw","Na0210290","A",2005,"Oregon","eastside","OSW","fdw","Na0210290_fdw","A",1241.631285,50778.783165,4701.09172236796,3782.06622803249,5620.11716592464,-2540.43494303249
"2005_Oregon_Na0210290_fdw","Na0210290","A",2005,"Oregon","westside","OCR","fdw","Na0210290_fdw","A",3161.344925,50778.783165,4701.09172236796,3782.06622803249,5620.11716592464,-620.721303032493
"2005_Oregon_Na0210290_fdw","Na0210290","A",2005,"Oregon","westside","OWC","fdw","Na0210290_fdw","A",439.230125,50778.783165,4701.09172236796,3782.06622803249,5620.11716592464,-3342.83610303249
"2005_Oregon_Na0210290_fdw","Na0210290","B",2005,"Oregon","eastside","OSW","fdw","Na0210290_fdw","B",3538.12913223411,50778.783165,554.968531797495,240.547931360876,869.389132234113,2668.74
"2005_Oregon_Na0210290_fdw","Na0210290","B",2005,"Oregon","westside","OCR","fdw","Na0210290_fdw","B",12100.1142372341,50778.783165,554.968531797495,240.547931360876,869.389132234113,11230.725105
"2005_Oregon_Na0210290_fdw","Na0210290","B",2005,"Oregon","westside","OWC","fdw","Na0210290_fdw","B",869.389132234113,50778.783165,554.968531797495,240.547931360876,869.389132234113,0
"2005_Oregon_Na0210290_fdw","Na0210290","C",2005,"Oregon","eastside","OSW","fdw","Na0210290_fdw","C",813.918622765887,50778.783165,10754.8040429754,9506.79220658874,12002.8168441589,-8692.87358382285
"2005_Oregon_Na0210290_fdw","Na0210290","C",2005,"Oregon","westside","OCR","fdw","Na0210290_fdw","C",3656.57151276589,50778.783165,10754.8040429754,9506.79220658874,12002.8168441589,-5850.22069382285
"2005_Oregon_Na0210290_fdw","Na0210290","C",2005,"Oregon","westside","OWC","fdw","Na0210290_fdw","C",385.141062765887,50778.783165,10754.8040429754,9506.79220658874,12002.8168441589,-9121.65114382285
"2005_Oregon_Na0210290_fdw","Na0210290","D",2005,"Oregon","eastside","OSW","fdw","Na0210290_fdw","D",-256.048371530274,50778.783165,32966.619480513,31414.1807652257,34519.0581958003,-31670.2291367559
"2005_Oregon_Na0210290_fdw","Na0210290","D",2005,"Oregon","westside","OCR","fdw","Na0210290_fdw","D",3349.41936846973,50778.783165,32966.619480513,31414.1807652257,34519.0581958003,-28064.7613967559
"2005_Oregon_Na0210290_fdw","Na0210290","D",2005,"Oregon","westside","OWC","fdw","Na0210290_fdw","D",-231.362526530274,50778.783165,32966.619480513,31414.1807652257,34519.0581958003,-31645.5432917559
"2005_Oregon_Na0210290_fdw","Na0210290","E",2005,"Oregon","eastside","OSW","fdw","Na0210290_fdw","E",2884.31248153027,50778.783165,1801.2988287796,1228.80410153027,2373.79345447136,510.519027058911
"2005_Oregon_Na0210290_fdw","Na0210290","E",2005,"Oregon","westside","OCR","fdw","Na0210290_fdw","E",17598.1880765303,50778.783165,1801.2988287796,1228.80410153027,2373.79345447136,15224.3946220589
"2005_Oregon_Na0210290_fdw","Na0210290","E",2005,"Oregon","westside","OWC","fdw","Na0210290_fdw","E",1228.80410153027,50778.783165,1801.2988287796,1228.80410153027,2373.79345447136,0
"2005_Oregon_Na0210290_fwo","Na0210290","A",2005,"Oregon","eastside","OSW","fwo","Na0210290_fwo","A",14561.8337115545,195510.11324,18100.2953931613,14561.8337115545,21638.756879258,0
