"type","REST_ACRES","YEAR","STATE","BpS_Code","BPS_LLID","AREA_STRATA","REST_PCT"
"active",3.44232080736215,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000105",8.673405,0.396882286410256
"both",2.23077877235679,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000105",8.673405,0.257197579538462
"passive",1.09412095370795,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000105",8.673405,0.126146646410256
"active",25.3539243259093,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000107",39.58631,0.64047203
"both",1.47388349947458,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000107",39.58631,0.0372321517078652
"passive",1.9599843528209,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000107",39.58631,0.0495116708988764
"active",0.06906218835758,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000109",1.556765,0.0443626291428571
"both",0.79386426683327,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000109",1.556765,0.509944832285714
"passive",0.20689733414818,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000109",1.556765,0.132902097714286
"active",55.6694152439873,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000110",196.819575,0.282844911355932
"both",74.7599294496349,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000110",196.819575,0.379839908960452
"passive",9.05519164183426,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000110",196.819575,0.046007576440678
"passive",1.4401946680908,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000201",2.22395,0.647584104
"active",12.3121293858428,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000202",19.57076,0.629108393636364
"both",1.11597864018968,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000202",19.57076,0.0570227543636363
"passive",1.4537521519564,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000202",19.57076,0.0742818445454546
"active",12.0578526392648,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000203",46.25816,0.260664337692308
"both",13.8990417859029,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000203",46.25816,0.300466810307692
"passive",4.6492050864424,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000203",46.25816,0.100505620769231
"active",287.294741963112,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000204",735.905055,0.390396478473859
"both",211.461176993041,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000204",735.905055,0.287348450124509
"passive",10.8879509184515,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000204",735.905055,0.0147953201903899
"active",1922.43222568936,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000301",3382.405555,0.568362425625616
"both",176.804087531247,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000301",3382.405555,0.0522716997285818
"active",224.738236326399,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000302",855.77596,0.262613402141372
"both",308.171925539203,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000302",855.77596,0.360108182449065
"passive",29.9667540991844,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000302",855.77596,0.0350170552806653
"active",178.853442513082,2007,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000303",459.46807,0.389261962236205
