"type","REST_ACRES","YEAR","STATE","BpS_Code","BPS_LLID","AREA_STRATA","REST_PCT"
"active",4.65172969891475,2011,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000105",7.783825,0.597614887142857
"both",1.1762121900581,2011,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000105",7.783825,0.151109793714286
"active",30.7897325433712,2011,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000107",78.28304,0.393312939090909
"both",14.0268995607587,2011,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000107",78.28304,0.179181845272727
"passive",16.9347586078256,2011,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000107",78.28304,0.216327299090909
"active",4.7380244098162,2011,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000109",11.56454,0.409702799230769
"both",1.19521169647572,2011,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000109",11.56454,0.103351425692308
"passive",3.3862512716106,2011,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000109",11.56454,0.292813313076923
"active",55.2215536532363,2011,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000110",171.466545,0.322054390570687
"both",59.9250399612073,2011,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000110",171.466545,0.349485317740597
"passive",6.79789385407257,2011,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000110",171.466545,0.0396455988197148
"active",1.9578516425936,2011,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000201",2.22395,0.880348768
"both",0.0105352381173,2011,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000201",2.22395,0.004737174
"active",7.52058633761245,2011,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000202",17.124415,0.439173328701299
"both",4.50700193516597,2011,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000202",17.124415,0.263191585532468
"passive",1.32763188296185,2011,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000202",17.124415,0.0775285977922079
"active",18.2187190248241,2011,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000203",47.370135,0.384603485399061
"both",18.1197198336409,2011,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000203",47.370135,0.382513578093897
