"strataID","BpS","SCLASS","YEAR","STATE","ew","MAP_ZONE","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2015_Oregon_Na0210350_fvg","Na0210350","B",2015,"Oregon","westside","OCR","fvg","Na0210350_fvg","B",21761.35075,77698.363545,7911.92700373783,6478.46235795486,9345.39087253716,12415.9598774628
"2015_Oregon_Na0210350_fvg","Na0210350","B",2015,"Oregon","westside","OWC","fvg","Na0210350_fvg","B",940.28606,77698.363545,7911.92700373783,6478.46235795486,9345.39087253716,-5538.17629795486
"2015_Oregon_Na0210350_fvg","Na0210350","C",2015,"Oregon","eastside","OEC","fvg","Na0210350_fvg","C",43.58942,77698.363545,6987.61095435016,5615.37502768993,8359.84618172513,-5571.78560768993
"2015_Oregon_Na0210350_fvg","Na0210350","C",2015,"Oregon","eastside","OSW","fvg","Na0210350_fvg","C",14.67807,77698.363545,6987.61095435016,5615.37502768993,8359.84618172513,-5600.69695768993
"2015_Oregon_Na0210350_fvg","Na0210350","C",2015,"Oregon","westside","OCR","fvg","Na0210350_fvg","C",4571.774015,77698.363545,6987.61095435016,5615.37502768993,8359.84618172513,-1043.60101268993
"2015_Oregon_Na0210350_fvg","Na0210350","C",2015,"Oregon","westside","OWC","fvg","Na0210350_fvg","C",124.5412,77698.363545,6987.61095435016,5615.37502768993,8359.84618172513,-5490.83382768993
"2015_Oregon_Na0210350_fvg","Na0210350","D",2015,"Oregon","eastside","OEC","fvg","Na0210350_fvg","D",4.89269,77698.363545,34149.2375978346,31598.5922376102,36699.8829580589,-31593.6995476102
"2015_Oregon_Na0210350_fvg","Na0210350","D",2015,"Oregon","eastside","OSW","fvg","Na0210350_fvg","D",2.22395,77698.363545,34149.2375978346,31598.5922376102,36699.8829580589,-31596.3682876102
"2015_Oregon_Na0210350_fvg","Na0210350","D",2015,"Oregon","westside","OCR","fvg","Na0210350_fvg","D",7765.14382,77698.363545,34149.2375978346,31598.5922376102,36699.8829580589,-23833.4484176102
"2015_Oregon_Na0210350_fvg","Na0210350","D",2015,"Oregon","westside","OWC","fvg","Na0210350_fvg","D",42.032655,77698.363545,34149.2375978346,31598.5922376102,36699.8829580589,-31556.5595826102
"2015_Oregon_Na0210350_fvg","Na0210350","E",2015,"Oregon","eastside","OEC","fvg","Na0210350_fvg","E",443.678025,77698.363545,24721.416842206,22399.3148470834,27043.5203135974,-21955.6368220834
"2015_Oregon_Na0210350_fvg","Na0210350","E",2015,"Oregon","eastside","OSW","fvg","Na0210350_fvg","E",147.892675,77698.363545,24721.416842206,22399.3148470834,27043.5203135974,-22251.4221720834
"2015_Oregon_Na0210350_fvg","Na0210350","E",2015,"Oregon","westside","OCR","fvg","Na0210350_fvg","E",37306.76125,77698.363545,24721.416842206,22399.3148470834,27043.5203135974,10263.2409364026
"2015_Oregon_Na0210350_fvg","Na0210350","E",2015,"Oregon","westside","OWC","fvg","Na0210350_fvg","E",658.956385,77698.363545,24721.416842206,22399.3148470834,27043.5203135974,-21740.3584620834
"2015_Oregon_Na0710270_fdd","Na0710270","A",2015,"Oregon","eastside","OSW","fdd","Na0710270_fdd","A",114653.740695,1233970.22204,111386.377886831,90406.0040256523,132366.752981979,0
"2015_Oregon_Na0710270_fdd","Na0710270","B",2015,"Oregon","eastside","OEC","fdd","Na0710270_fdd","B",0.44479,1233970.22204,77837.9074908251,58510.556437181,97165.2523746181,-58510.111647181
"2015_Oregon_Na0710270_fdd","Na0710270","B",2015,"Oregon","eastside","OSW","fdd","Na0710270_fdd","B",693317.079685,1233970.22204,77837.9074908251,58510.556437181,97165.2523746181,596151.827310382
"2015_Oregon_Na0710270_fdd","Na0710270","C",2015,"Oregon","eastside","OSW","fdd","Na0710270_fdd","C",82480.07844,1233970.22204,247417.916306829,219233.419450325,275602.413163334,-136753.341010325
"2015_Oregon_Na0710270_fdd","Na0710270","D",2015,"Oregon","eastside","OSW","fdd","Na0710270_fdd","D",38611.9084472585,1233970.22204,521691.102916833,487980.515980996,555401.644195771,-449368.607533738
