"type","REST_ACRES","YEAR","STATE","BpS_Code","AREA_STRATA","REST_PCT"
"active",-137.336518764387,2006,"Oregon","Na0210290_fdw",50778.783165,-0.00270460436828759
"both",0,2006,"Oregon","Na0210290_fdw",50778.783165,0
"active",47789.5698139072,2006,"Oregon","Na0210290_fwo",195510.11324,0.24443528276843
"both",96009.5173684674,2006,"Oregon","Na0210290_fwo",195510.11324,0.49107187233128
"active",-129543.365298439,2006,"Oregon","Na0710412_fmh",643545.968265,-0.201296211438769
"both",0,2006,"Oregon","Na0710412_fmh",643545.968265,0
"passive",0,2006,"Oregon","Na0710412_fmh",643545.968265,0
"active",-26412.9667447411,2006,"Oregon","R1RFWF_fcw",117672.75282,-0.224461195236455
"both",0,2006,"Oregon","R1RFWF_fcw",117672.75282,0
"active",920.652840217469,2006,"Oregon","R1RFWF_frm",3843.87518,0.239511637892849
"both",129.13614498977,2006,"Oregon","R1RFWF_frm",3843.87518,0.0335953013411247
"active",-1488.20137017053,2006,"Oregon","RaABAMup_fsi",8184.136,-0.181839765391304
"passive",-518.673779743576,2006,"Oregon","RaABAMup_fsi",8184.136,-0.0633755083913043
"passive",287.202341261824,2006,"Oregon","RaABAMup_fst",2458.576725,0.116816505395748
"both",68.4916204314391,2006,"Oregon","RaDFHEdy_fdg",1247.19116,0.0549166981198288
"passive",396.49119549908,2006,"Oregon","RaDFHEdy_fdg",1247.19116,0.317907317029957
"active",1361.63341177633,2006,"Oregon","RaDFHEdy_fwx",103787.076205,0.0131194890690132
"both",11790.3997965551,2006,"Oregon","RaDFHEdy_fwx",103787.076205,0.113601810819555
"passive",20643.7061607681,2006,"Oregon","RaDFHEdy_fwx",103787.076205,0.19890440038982
"both",5.6843418860808e-14,2006,"Oregon","RaDFHEwt_fhc",39601.655255,1.43537987224994e-18
"passive",2025.09353123835,2006,"Oregon","RaDFHEwt_fhc",39601.655255,0.0511365880592242
"both",4.44089209850063e-16,2006,"Oregon","RaDFHEwt_fwc",350.272125,1.26784056781584e-18
"passive",9.59625855008675,2006,"Oregon","RaDFHEwt_fwc",350.272125,0.0273965807301587
"active",0,2006,"Oregon","RaDFHEwt_fww",18449.666805,0
"both",0,2006,"Oregon","RaDFHEwt_fww",18449.666805,0
"passive",0,2006,"Oregon","RaDFHEwt_fww",18449.666805,0
"active",4261.46088282889,2006,"Oregon","RaMCONdy_fdd",525823.843755,0.00810435078865396
"both",168107.20341446,2006,"Oregon","RaMCONdy_fdd",525823.843755,0.319702511422793
"both",169175.238505159,2006,"Oregon","RaMCONdy_fdg",471507.64572,0.3587963844082
"active",-175.206849123842,2006,"Oregon","RaMCONdy_fdx",2614.253225,-0.0670198462216078
"both",0,2006,"Oregon","RaMCONdy_fdx",2614.253225,0
"active",184718.58877957,2006,"Oregon","RaMCONdy_fmd",463873.492555,0.398208976680572
"both",70757.7829895957,2006,"Oregon","RaMCONdy_fmd",463873.492555,0.152536810413253
"active",149569.64468816,2006,"Oregon","RaMCONdy_fmx",516776.370365,0.289428180670333
"both",110723.405682205,2006,"Oregon","RaMCONdy_fmx",516776.370365,0.214257872518438
"both",0,2006,"Oregon","RaMCONms_fcm",641190.805215,0
"passive",-66982.1144761184,2006,"Oregon","RaMCONms_fcm",641190.805215,-0.104465182487541
"active",120703.2098579,2006,"Oregon","RaMCONms_fmm",787436.20045,0.153286335818599
"both",13263.3840488907,2006,"Oregon","RaMCONms_fmm",787436.20045,0.0168437570450927
"active",7150.78036068084,2006,"Oregon","RaMCONsw_fdm",199044.85937,0.0359254711893283
"both",91893.1073205019,2006,"Oregon","RaMCONsw_fdm",199044.85937,0.461670337085591
"active",-11873.5622774168,2006,"Oregon","RaMCONsw_fvw",83731.27271,-0.141805587006189
"both",0,2006,"Oregon","RaMCONsw_fvw",83731.27271,0
"active",184850.370782685,2006,"Oregon","RaMEVG_ftd",313014.957835,0.590548043011177
"active",43826.8055117169,2006,"Oregon","RaMEVG_fuc",68039.08151,0.644141639467539
"active",53779.0693043222,2006,"Oregon","RaOAPI_fop",75214.87858,0.715005731839635
"both",1113.73583302319,2006,"Oregon","RaOAPI_fop",75214.87858,0.0148073872357395
"active",166392.020650767,2006,"Oregon","RaPICOpu_fld",336773.415685,0.49407706458161
"both",21836.2526150052,2006,"Oregon","RaPICOpu_fld",336773.415685,0.064839597183139
"active",12916.3105730358,2006,"Oregon","RaPICOpu_flp",24324.008335,0.53101077730065
"active",35400.1897872711,2006,"Oregon","RaPICOpu_flw",69489.98649,0.509428646850657
"both",4318.23930960547,2006,"Oregon","RaPICOpu_flw",69489.98649,0.0621418930658
"active",46950.0365886702,2006,"Oregon","RaPIJEsp_fjp",67698.37237,0.693517952426811
"both",3.63797880709171e-12,2006,"Oregon","RaPIJEsp_fjp",67698.37237,5.37380542505311e-17
"active",-18893.902005285,2006,"Oregon","RaPIPOm_fdp",453191.415915,-0.0416907764396595
"both",0,2006,"Oregon","RaPIPOm_fdp",453191.415915,0
"active",427884.427154418,2006,"Oregon","RaPIPOm_fpl",864201.17218,0.495121322359531
"both",71023.9084327486,2006,"Oregon","RaPIPOm_fpl",864201.17218,0.0821844620432376
"active",285985.445483941,2006,"Oregon","RaPIPOxe_fpd",552172.98096,0.517927271607406
"both",41340.6848796369,2006,"Oregon","RaPIPOxe_fpd",552172.98096,0.0748690832495327
"active",-21110.9869111944,2006,"Oregon","RaPIPOxe_fxp",523574.540725,-0.0403208813055765
"both",0,2006,"Oregon","RaPIPOxe_fxp",523574.540725,0
"active",12028.544505683,2006,"Oregon","RaREFI_frf",54809.24775,0.219461952124366
"active",-8112.93472496617,2006,"Oregon","RaSAWD_fsw",43030.76376,-0.188538013645663
"passive",-128629.516584788,2006,"Oregon","RaSPFI_fcd",297487.783725,-0.432385878082626
"passive",39617.805826428,2006,"Oregon","RaSPFI_fmz",223889.04961,0.176952851849787
"active",24222.4455127449,2006,"Oregon","RaTAOAco_ftm",56320.19938,0.430084512828387
"passive",3761.92172542529,2006,"Oregon","RaTAOAco_ftm",56320.19938,0.0667952487178374
"active",-11591.3285793283,2006,"Washington","Na0710411_fmt",378447.125155,-0.0306286606737488
"both",0,2006,"Washington","Na0710411_fmt",378447.125155,0
"passive",-459.182969292634,2006,"Washington","Na0710411_fmt",378447.125155,-0.00121333454205675
"active",0.92586945446402,2006,"Washington","RaABAMlw_fsw",4.89269,0.189235258
"both",0.88487158916574,2006,"Washington","RaABAMlw_fsw",4.89269,0.180855846
"active",-77784.4902671268,2006,"Washington","RaDFHEdy_fdg",910975.73337,-0.0853859081178554
"both",0,2006,"Washington","RaDFHEdy_fdg",910975.73337,0
"passive",0,2006,"Washington","RaDFHEdy_fdg",910975.73337,0
"active",0.00742002547673,2006,"Washington","RaDFHEwt_fwc",0.222395,0.033364174
"both",0.00507334234808,2006,"Washington","RaDFHEwt_fwc",0.222395,0.022812304
"passive",0.158918866759425,2006,"Washington","RaDFHEwt_fwc",0.222395,0.714579315
"active",1.23898126443193,2006,"Washington","RaDFWV_fwx",599.13213,0.00206795997475871
"both",160.723514011924,2006,"Washington","RaDFWV_fwx",599.13213,0.268260548824053
"passive",60.3648611983288,2006,"Washington","RaDFWV_fwx",599.13213,0.100753837385301
"both",18.7028794104066,2006,"Washington","RaMCONdy_fdg",76.726275,0.243761076768116
"passive",12.6679302360871,2006,"Washington","RaMCONdy_fdg",76.726275,0.165105503115942
"active",691.580587994727,2006,"Washington","RaOAPI_fop",7279.210745,0.0950076336874523
"both",336.401183554694,2006,"Washington","RaOAPI_fop",7279.210745,0.0462139640325379
"active",121.035220450418,2006,"Washington","RaPIPOm_fdp",2199.264155,0.055034416932248
"both",420.680884270642,2006,"Washington","RaPIPOm_fdp",2199.264155,0.191282562994641
"passive",177.514298153457,2006,"Washington","RaPIPOm_fdp",2199.264155,0.0807153145973303
"active",0.52361108200266,2006,"Washington","RaSPFI_fmz",2.66874,0.196201609
"passive",0.5976582783039,2006,"Washington","RaSPFI_fmz",2.66874,0.223947735
"active",0,2006,"Washington","RaSSHE_fss",98696.67705,0
"both",0,2006,"Washington","RaSSHE_fss",98696.67705,0
"passive",0,2006,"Washington","RaSSHE_fss",98696.67705,0
