"type","REST_ACRES","YEAR","STATE","ew","BpS_Code","AREA_STRATA","REST_PCT"
"active",6745.10306539748,2004,"Oregon","eastside","Na0210290_fdw",9646.16073,0.699252609840919
"both",1070.579454188,2004,"Oregon","eastside","Na0210290_fdw",9646.16073,0.110985031677779
"active",20017.9679734071,2004,"Oregon","eastside","Na0210290_fwo",216308.93843,0.0925434155365944
"both",127126.162586571,2004,"Oregon","eastside","Na0210290_fwo",216308.93843,0.587706469780074
"active",196.046211385819,2004,"Oregon","eastside","Na0210350_fvg",1960.63432,0.099991216814882
"both",296.592780724337,2004,"Oregon","eastside","Na0210350_fvg",1960.63432,0.151273890137931
"passive",182.121861326465,2004,"Oregon","eastside","Na0210350_fvg",1960.63432,0.0928892550072595
"active",103298.565604731,2004,"Oregon","eastside","Na0710270_fdd",1403267.971,0.0736128578001521
"both",548934.945638274,2004,"Oregon","eastside","Na0710270_fdd",1403267.971,0.391183264339092
"passive",249199.328192819,2004,"Oregon","eastside","Na0710270_fdd",1403267.971,0.177584989711718
"active",2831.87258160926,2004,"Oregon","eastside","Na0710412_fmc",16639.371505,0.17019107847663
"both",626.300458249438,2004,"Oregon","eastside","Na0710412_fmc",16639.371505,0.0376396703482003
"active",133789.253356497,2004,"Oregon","eastside","Na0710412_fmh",661932.697285,0.202119118613192
"active",4898.04838653998,2004,"Oregon","eastside","Na0710412_fmi",48558.391485,0.100869247039475
"active",42080.7597114228,2004,"Oregon","eastside","R1RFWF_fcw",149284.8677,0.281882285590978
"active",1149.15306467504,2004,"Oregon","eastside","R1RFWF_frm",3802.50971,0.302209107225406
"active",3177.75944214856,2004,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.0235358972001542
"both",5456.64171049521,2004,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.0404143109931116
"passive",17412.2097659829,2004,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.128962555706422
"active",158.981837969504,2004,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.00722901125815065
"both",984.310574796725,2004,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.0447572648398188
"passive",2674.734855169,2004,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.121621995490413
"active",584.372209821594,2004,"Oregon","eastside","RaABAMlw_fwc",11407.52913,0.0512268873620307
"both",251.017983744976,2004,"Oregon","eastside","RaABAMlw_fwc",11407.52913,0.022004588450696
"passive",1565.02209901311,2004,"Oregon","eastside","RaABAMlw_fwc",11407.52913,0.137192031786915
"both",42475.6107600253,2004,"Oregon","eastside","RaDFHEdy_fwi",491309.474125,0.0864538808979257
"passive",85278.2028150487,2004,"Oregon","eastside","RaDFHEdy_fwi",491309.474125,0.173573292000781
"active",2212.74386234667,2004,"Oregon","eastside","RaDFHEdy_fwx",110789.849965,0.019972442087842
"both",7369.5387291367,2004,"Oregon","eastside","RaDFHEdy_fwx",110789.849965,0.0665181759111041
"passive",17537.3658474983,2004,"Oregon","eastside","RaDFHEdy_fwx",110789.849965,0.158293975964753
"active",66.0839023899006,2004,"Oregon","eastside","RaDFHEwt_fdm",18634.92184,0.00354623984781363
"passive",5725.34354350574,2004,"Oregon","eastside","RaDFHEwt_fdm",18634.92184,0.307237325311247
"passive",11746.1777917096,2004,"Oregon","eastside","RaDFHEwt_fhc",31311.659235,0.375137507199868
"passive",126763.248412205,2004,"Oregon","eastside","RaDFHEwt_fwm",306700.94139,0.413312224728431
"passive",85682.9941489687,2004,"Oregon","eastside","RaDFHEwt_fwn",176075.681375,0.486625941071805
"passive",15979.9157910131,2004,"Oregon","eastside","RaDFHEwt_fww",32217.696465,0.49599808628072
"active",12496.3946547827,2004,"Oregon","eastside","RaDFWV_fwx",38027.543445,0.328614302232182
"both",519291.196534376,2004,"Oregon","eastside","RaMCONdy_fdd",1523190.91643,0.340923249300535
"passive",100098.208746315,2004,"Oregon","eastside","RaMCONdy_fdd",1523190.91643,0.065716127680778
"active",18216.4183688386,2004,"Oregon","eastside","RaMCONdy_fdg",1043084.14564,0.0174639969795166
"both",389321.068755749,2004,"Oregon","eastside","RaMCONdy_fdg",1043084.14564,0.373240328101119
"passive",0.887078981395462,2004,"Oregon","eastside","RaMCONdy_fdg",1043084.14564,8.50438562510392e-07
"active",1053.60905543638,2004,"Oregon","eastside","RaMCONdy_fdx",4451.680715,0.236676689746915
"both",1075.80501409306,2004,"Oregon","eastside","RaMCONdy_fdx",4451.680715,0.241662662478943
