"type","REST_ACRES","YEAR","STATE","BpS_Code","AREA_STRATA","REST_PCT"
"active",-93.079913764387,2012,"Oregon","Na0210290_fdw",50778.783165,-0.00183304734699794
"both",0,2012,"Oregon","Na0210290_fdw",50778.783165,0
"active",50968.2615489072,2012,"Oregon","Na0210290_fwo",195510.11324,0.260693734478792
"both",95230.0228934674,2012,"Oregon","Na0210290_fwo",195510.11324,0.487084894562804
"active",4946.86532225856,2012,"Oregon","Na0710270_fdd",1233970.22204,0.00400890170111269
"active",-129551.593913439,2012,"Oregon","Na0710412_fmh",643545.968265,-0.201308997805875
"both",0,2012,"Oregon","Na0710412_fmh",643545.968265,0
"passive",0,2012,"Oregon","Na0710412_fmh",643545.968265,0
"active",-26439.2093547411,2012,"Oregon","R1RFWF_fcw",117672.75282,-0.224684208715541
"both",0,2012,"Oregon","R1RFWF_fcw",117672.75282,0
"passive",0,2012,"Oregon","R1RFWF_fcw",117672.75282,0
"active",746.739950217469,2012,"Oregon","R1RFWF_frm",3843.87518,0.194267481447582
"both",46.62759998977,2012,"Oregon","R1RFWF_frm",3843.87518,0.0121303626695209
"active",-1404.58085017053,2012,"Oregon","RaABAMup_fsi",8184.136,-0.171622374086957
"passive",-609.855729743576,2012,"Oregon","RaABAMup_fsi",8184.136,-0.0745168127391304
"passive",400.190928819407,2012,"Oregon","RaABAMup_fst",2458.576725,0.162773414695613
"active",0.725694236923319,2012,"Oregon","RaABAMup_fsw",485.488285,0.00149477188089784
"both",143.858265165062,2012,"Oregon","RaDFHEdy_fdg",1247.19116,0.115345802455064
"passive",408.970575765457,2012,"Oregon","RaDFHEdy_fdg",1247.19116,0.327913305419401
"active",1277.79049677633,2012,"Oregon","RaDFHEdy_fwx",103787.076205,0.012311653276102
"both",11921.8352415551,2012,"Oregon","RaDFHEdy_fwx",103787.076205,0.11486820592197
"passive",19116.2973007681,2012,"Oregon","RaDFHEdy_fwx",103787.076205,0.18418764647546
"both",5.6843418860808e-14,2012,"Oregon","RaDFHEwt_fhc",39601.655255,1.43537987224994e-18
"passive",1912.33926623835,2012,"Oregon","RaDFHEwt_fhc",39601.655255,0.0482893771466005
"active",2.96588538994288,2012,"Oregon","RaDFHEwt_fwc",350.272125,0.00846737487301588
"passive",57.7031451460944,2012,"Oregon","RaDFHEwt_fwc",350.272125,0.16473804515873
"active",5442.15593782889,2012,"Oregon","RaMCONdy_fdd",525823.843755,0.0103497701796204
"both",175468.03312446,2012,"Oregon","RaMCONdy_fdd",525823.843755,0.333701172376307
"active",3147.85178777749,2012,"Oregon","RaMCONdy_fdg",471507.64572,0.00667614155645486
"both",166536.448872381,2012,"Oregon","RaMCONdy_fdg",471507.64572,0.353199890572458
"active",-176.096429123842,2012,"Oregon","RaMCONdy_fdx",2614.253225,-0.0673601269532114
"both",0,2012,"Oregon","RaMCONdy_fdx",2614.253225,0
"active",185912.18274457,2012,"Oregon","RaMCONdy_fmd",463873.492555,0.40078207901161
"both",71962.4967045956,2012,"Oregon","RaMCONdy_fmd",463873.492555,0.155133884258461
"active",161146.41641316,2012,"Oregon","RaMCONdy_fmx",516776.370365,0.31183007903272
"both",111262.268767205,2012,"Oregon","RaMCONdy_fmx",516776.370365,0.21530061192353
"both",0,2012,"Oregon","RaMCONms_fcm",641190.805215,0
"passive",-66981.8920811184,2012,"Oregon","RaMCONms_fcm",641190.805215,-0.104464835640708
"active",132733.6673829,2012,"Oregon","RaMCONms_fmm",787436.20045,0.16856434503144
"both",3712.40837889072,2012,"Oregon","RaMCONms_fmm",787436.20045,0.00471455132081706
"active",12013.4470356808,2012,"Oregon","RaMCONsw_fdm",199044.85937,0.0603554750105318
"both",88291.8650855018,2012,"Oregon","RaMCONsw_fdm",199044.85937,0.443577720946704
"active",-11852.2123574168,2012,"Oregon","RaMCONsw_fvw",83731.27271,-0.141550605572024
"both",0,2012,"Oregon","RaMCONsw_fvw",83731.27271,0
"active",190507.210002685,2012,"Oregon","RaMEVG_ftd",313014.957835,0.608620148124383
"active",45566.8239917169,2012,"Oregon","RaMEVG_fuc",68039.08151,0.669715448539966
"active",55276.0100493222,2012,"Oregon","RaOAPI_fop",75214.87858,0.734907921050881
"both",1140.42323302318,2012,"Oregon","RaOAPI_fop",75214.87858,0.0151622026725764
"active",172606.404135767,2012,"Oregon","RaPICOpu_fld",336773.415685,0.512529778470442
"both",21869.8342600052,2012,"Oregon","RaPICOpu_fld",336773.415685,0.0649393130260053
