"type","REST_ACRES","YEAR","STATE","ew","BpS_Code","AREA_STRATA","REST_PCT"
"active",6840.51052039748,2007,"Oregon","eastside","Na0210290_fdw",9646.16073,0.709143327782543
"both",1093.708534188,2007,"Oregon","eastside","Na0210290_fdw",9646.16073,0.113382781481809
"active",21270.0518234071,2007,"Oregon","eastside","Na0210290_fwo",216308.93843,0.0983318210416457
"both",127510.461146571,2007,"Oregon","eastside","Na0210290_fwo",216308.93843,0.589483088734377
"active",129.772501385819,2007,"Oregon","eastside","Na0210350_fvg",1960.63432,0.0661890389564428
"both",299.928705724337,2007,"Oregon","eastside","Na0210350_fvg",1960.63432,0.152975342043557
"passive",250.619521326465,2007,"Oregon","eastside","Na0210350_fvg",1960.63432,0.127825734136116
"active",110784.158909731,2007,"Oregon","eastside","Na0710270_fdd",1403267.971,0.078947258256585
"both",549691.311033274,2007,"Oregon","eastside","Na0710270_fdd",1403267.971,0.3917222671601
"passive",250026.192802819,2007,"Oregon","eastside","Na0710270_fdd",1403267.971,0.178174231843006
"active",2917.93944660926,2007,"Oregon","eastside","Na0710412_fmc",16639.371505,0.17536356140209
"both",570.479313249438,2007,"Oregon","eastside","Na0710412_fmc",16639.371505,0.0342849075205763
"active",128620.126371497,2007,"Oregon","eastside","Na0710412_fmh",661932.697285,0.194309975771024
"active",5139.34696153998,2007,"Oregon","eastside","Na0710412_fmi",48558.391485,0.105838492675927
"active",44072.9741214228,2007,"Oregon","eastside","R1RFWF_fcw",149284.8677,0.295227338178649
"active",1175.61806967504,2007,"Oregon","eastside","R1RFWF_frm",3802.50971,0.309168985573751
"active",4597.08433214856,2007,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.0340480474471452
"both",5596.08337549521,2007,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.0414470778694612
"passive",17877.4601059829,2007,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.132408406273126
"active",316.215102969504,2007,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.0143785137255886
"both",1015.22347979672,2007,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.0461628954522288
"passive",2796.82971016901,2007,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.12717373078691
"active",313.717494821594,2007,"Oregon","eastside","RaABAMlw_fwc",11407.52913,0.0275009155134714
