"type","REST_ACRES","YEAR","STATE","BpS_Code","BPS_LLID","AREA_STRATA","REST_PCT"
"active",4.87412469891475,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000105",7.783825,0.626186315714286
"both",0.9538171900581,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000105",7.783825,0.122538365142857
"active",31.4569175433712,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000107",78.28304,0.401835666363636
"both",15.1388745607587,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000107",78.28304,0.193386390727273
"passive",15.1555986078256,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000107",78.28304,0.193600026363636
"active",4.7380244098162,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000109",11.56454,0.409702799230769
"both",1.86239669647572,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000109",11.56454,0.161043733384615
"passive",2.7190662716106,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000109",11.56454,0.235121005384615
"active",56.1111336532364,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000110",171.466545,0.327242458015564
"both",61.0370149612073,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000110",171.466545,0.355970402046693
"passive",5.90831385407256,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000110",171.466545,0.0344575313748379
"active",1.9578516425936,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000201",2.22395,0.880348768
"both",0.0105352381173,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000201",2.22395,0.004737174
"active",8.63256133761245,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000202",17.124415,0.504108393636364
"both",3.17263193516597,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000202",17.124415,0.18526950761039
"passive",1.77242188296185,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000202",17.124415,0.103502623766234
"active",19.5530890248241,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000203",47.370135,0.412772499483568
"both",17.9537800423536,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000203",47.370135,0.379010531474178
"active",209.45034878161,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000204",685.198995,0.305678131914963
"both",212.704303016186,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000204",685.198995,0.310427050489451
"passive",99.5568603429281,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000204",685.198995,0.14529627315482
"active",1072.54909666151,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000301",3063.046335,0.350157646786466
"both",982.232655299233,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000301",3063.046335,0.320671824019023
"passive",313.105316805631,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000301",3063.046335,0.102220235204386
"active",221.111292590673,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000302",804.62511,0.274800388208955
"both",282.373750343253,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000302",804.62511,0.350938277756772
"passive",109.797803474753,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000302",804.62511,0.136458335826424
"active",180.200993201995,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000303",600.4665,0.30010165962963
"both",229.351430778547,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000303",600.4665,0.381955414296296
"passive",40.095206025935,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000303",600.4665,0.066773427037037
"active",147.101151704302,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000304",358.50074,0.41032314662531
"both",96.8758175907473,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000304",358.50074,0.270224874823821
"passive",3.33927441992861,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000304",358.50074,0.0093145537717122
"active",186.894227237388,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000305",551.5396,0.338859126774194
"both",198.428516678073,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000305",551.5396,0.359772021225806
"passive",38.239985646044,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000305",551.5396,0.0693331641935483
"active",565.730931628257,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000306",1682.64057,0.336216148424531
"both",534.850386837217,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000306",1682.64057,0.317863717524187
"passive",116.184825019342,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000306",1682.64057,0.0690491047766324
"active",39.6084526047225,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000406",150.561415,0.263071734579025
"both",63.529627663732,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000406",150.561415,0.42195158476514
"passive",12.1898115553919,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000406",150.561415,0.0809623870457904
"active",76.7770920039697,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000407",258.42299,0.297098536024096
"both",104.871673294323,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000407",258.42299,0.405814023335628
"passive",4.36643341560611,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000407",258.42299,0.0168964588468159
"active",302.186380803882,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000506",566.440065,0.533483415944248
"both",100.247294802228,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000506",566.440065,0.176977761631724
"active",38.526823555925,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000606",111.1975,0.34647203
"both",42.63262200083,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000606",111.1975,0.383395508
"active",41.7188067369958,2013,"Oregon","Na0210290_fdw","Na0210290_fdw_1709000607",100.96733,0.413191145462555
