"strataID","BpS","SCLASS","YEAR","STATE","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2003_Oregon_Na0710412_fmi","Na0710412","E",2003,"Oregon","fmi","Na0710412_fmi","E",31201.5989585684,70280.37832,29298.7948938745,27395.9935701154,31201.5989585684,0
"2003_Oregon_R1RFWF_fcw","R1RFWF","A",2003,"Oregon","fcw","R1RFWF_fcw","A",22146.4190122181,149554.85523,25313.4274728498,22146.4190122181,28480.4374290302,0
"2003_Oregon_R1RFWF_fcw","R1RFWF","B",2003,"Oregon","fcw","R1RFWF_fcw","B",41604.2120252224,149554.85523,37633.375530481,33662.5361941974,41604.2120252224,0
"2003_Oregon_R1RFWF_fcw","R1RFWF","C",2003,"Oregon","fcw","R1RFWF_fcw","C",10313.6257055932,149554.85523,13121.2143666255,10313.6257055932,15928.8037754321,0
"2003_Oregon_R1RFWF_fcw","R1RFWF","D",2003,"Oregon","fcw","R1RFWF_fcw","D",21579.9316918162,149554.85523,24826.7910789718,21579.9316918162,28073.6548032182,0
"2003_Oregon_R1RFWF_fcw","R1RFWF","E",2003,"Oregon","fcw","R1RFWF_fcw","E",53910.6667951501,149554.85523,48660.0452855233,44748.5300232186,52571.5632398154,1339.10355533471
"2003_Oregon_R1RFWF_frm","R1RFWF","A",2003,"Oregon","frm","R1RFWF_frm","A",563.084182096118,3802.50971,643.607013699841,563.084182096118,724.12988332866,0
"2003_Oregon_R1RFWF_frm","R1RFWF","B",2003,"Oregon","frm","R1RFWF_frm","B",1057.80865462048,3802.50971,956.848078617409,855.887430366656,1057.80865462048,0
"2003_Oregon_R1RFWF_frm","R1RFWF","C",2003,"Oregon","frm","R1RFWF_frm","C",262.229279220064,3802.50971,333.613676128093,262.229279220064,404.99809204867,0
"2003_Oregon_R1RFWF_frm","R1RFWF","D",2003,"Oregon","frm","R1RFWF_frm","D",548.680948358857,3802.50971,631.234031156981,548.680948358857,713.787224227888,0
"2003_Oregon_R1RFWF_frm","R1RFWF","E",2003,"Oregon","frm","R1RFWF_frm","E",1370.70664570448,3802.50971,1237.20687237258,1137.754569451,1336.65924373933,34.0474019651506
"2003_Oregon_RaABAMlw_fsi","RaABAMlw","A",2003,"Oregon","fsi","RaABAMlw_fsi","A",103519.845048465,935569.284445,123068.444558505,103519.845048465,142617.044068546,0
"2003_Oregon_RaABAMlw_fsi","RaABAMlw","B",2003,"Oregon","fsi","RaABAMlw_fsi","B",220426.131641187,935569.284445,194814.662391244,169203.174429915,220426.131641187,0
"2003_Oregon_RaABAMlw_fsi","RaABAMlw","C",2003,"Oregon","fsi","RaABAMlw_fsi","C",66780.4808370118,935569.284445,27718.2487189368,18791.9672069385,36644.5274242273,30135.9534127845
"2003_Oregon_RaABAMlw_fsi","RaABAMlw","D",2003,"Oregon","fsi","RaABAMlw_fsi","D",54730.8826634217,935569.284445,71839.5848406182,54730.8826634217,88948.2832755375,0
"2003_Oregon_RaABAMlw_fsi","RaABAMlw","E",2003,"Oregon","fsi","RaABAMlw_fsi","E",490111.944254915,935569.284445,518128.343935696,490111.944254915,546144.743616477,0
"2003_Oregon_RaABAMlw_fsw","RaABAMlw","A",2003,"Oregon","fsw","RaABAMlw_fsw","A",33792.3820067383,305401.487405,40173.7066892739,33792.3820067383,46555.0313718095,0
"2003_Oregon_RaABAMlw_fsw","RaABAMlw","B",2003,"Oregon","fsw","RaABAMlw_fsw","B",71954.5517209701,305401.487405,63594.1011016447,55233.6443742896,71954.5517209701,0
"2003_Oregon_RaABAMlw_fsw","RaABAMlw","C",2003,"Oregon","fsw","RaABAMlw_fsw","C",21799.409745846,305401.487405,9048.17476136658,6134.33428361168,11962.014322917,9837.39542292895
"2003_Oregon_RaABAMlw_fsw","RaABAMlw","D",2003,"Oregon","fsw","RaABAMlw_fsw","D",17866.0129723189,305401.487405,23450.8725646094,17866.0129723189,29035.7309352939,0
"2003_Oregon_RaABAMlw_fsw","RaABAMlw","E",2003,"Oregon","fsw","RaABAMlw_fsw","E",159989.130959127,305401.487405,169134.632288105,159989.130959127,178280.133617084,0
"2003_Oregon_RaABAMlw_fwc","RaABAMlw","A",2003,"Oregon","fwc","RaABAMlw_fwc","A",10159.7951753045,91820.001255,12078.3622567476,10159.7951753045,13996.9293381907,0
"2003_Oregon_RaABAMlw_fwc","RaABAMlw","B",2003,"Oregon","fwc","RaABAMlw_fwc","B",21633.3819637261,91820.001255,19119.7839034101,16606.1840066941,21633.3819637261,0
"2003_Oregon_RaABAMlw_fwc","RaABAMlw","C",2003,"Oregon","fwc","RaABAMlw_fwc","C",6554.06706506129,91820.001255,2720.36467472207,1844.30857362809,3596.42050035604,2957.64656470525
"2003_Oregon_RaABAMlw_fwc","RaABAMlw","D",2003,"Oregon","fwc","RaABAMlw_fwc","D",5371.47787811761,91820.001255,7050.58500732772,5371.47787811761,8729.69176925783,0
"2003_Oregon_RaABAMlw_fwc","RaABAMlw","E",2003,"Oregon","fwc","RaABAMlw_fwc","E",48101.2791727905,91820.001255,50850.9054127925,48101.2791727905,53600.5316527945,0
"2003_Oregon_RaABAMup_fsi","RaABAMup","A",2003,"Oregon","fsi","RaABAMup_fsi","A",4205.90257817606,49085.467635,5177.60551470039,4205.90257817606,6149.30840213925,0
"2003_Oregon_RaABAMup_fsi","RaABAMup","B",2003,"Oregon","fsi","RaABAMup_fsi","B",13935.0306767385,49085.467635,12637.8133384133,11340.5950674643,13935.0306767385,0
"2003_Oregon_RaABAMup_fsi","RaABAMup","C",2003,"Oregon","fsi","RaABAMup_fsi","C",1568.05725388958,49085.467635,1139.25313699741,710.449020105246,1568.05725388958,0
"2003_Oregon_RaABAMup_fsi","RaABAMup","D",2003,"Oregon","fsi","RaABAMup_fsi","D",2067.96716822341,49085.467635,1343.47214521254,858.348589892668,1828.59584778882,239.371320434597
"2003_Oregon_RaABAMup_fsi","RaABAMup","E",2003,"Oregon","fsi","RaABAMup_fsi","E",27308.5099579725,49085.467635,28787.3242850438,27308.5099579725,30266.1386121151,0
"2003_Oregon_RaABAMup_fst","RaABAMup","A",2003,"Oregon","fst","RaABAMup_fst","A",226.785221454437,2646.722895,279.180126365231,226.785221454437,331.575028629302,0
"2003_Oregon_RaABAMup_fst","RaABAMup","B",2003,"Oregon","fst","RaABAMup_fst","B",832.012774630987,2646.722895,681.439772647996,611.492852246551,751.386642761706,80.6261318692817
"2003_Oregon_RaABAMup_fst","RaABAMup","C",2003,"Oregon","fst","RaABAMup_fst","C",66.940895,2646.722895,61.429329416057,38.307910219482,84.550748612632,0
"2003_Oregon_RaABAMup_fst","RaABAMup","D",2003,"Oregon","fst","RaABAMup_fst","D",46.2827589145752,2646.722895,72.4409617928008,46.2827589145752,98.5991726111951,0
"2003_Oregon_RaABAMup_fst","RaABAMup","E",2003,"Oregon","fst","RaABAMup_fst","E",1474.701245,2646.722895,1552.23274712548,1472.49403981565,1631.97145443532,0
