"strataID","BpS","SCLASS","YEAR","ew","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2010_eastside_Na0710412_fmi","Na0710412","A",2010,"eastside","fmi","Na0710412_fmi","A",6132.70031055327,48558.391485,7162.86658590755,6132.70031055327,8193.03286126182,0
"2010_eastside_Na0710412_fmi","Na0710412","B",2010,"eastside","fmi","Na0710412_fmi","B",12244.6088404821,48558.391485,11018.5003750666,9792.39098704175,12244.6088404821,0
"2010_eastside_Na0710412_fmi","Na0710412","C",2010,"eastside","fmi","Na0710412_fmi","C",5543.28049098671,48558.391485,7741.63230591517,6636.94254453943,8846.32163026539,-1093.66205355272
"2010_eastside_Na0710412_fmi","Na0710412","D",2010,"eastside","fmi","Na0710412_fmi","D",3079.87211343668,48558.391485,2392.15500784473,1704.43795081116,3079.87211343668,0
"2010_eastside_Na0710412_fmi","Na0710412","E",2010,"eastside","fmi","Na0710412_fmi","E",21557.9297295412,48558.391485,20243.2369674739,18928.5460991839,21557.9297295412,0
"2010_eastside_Na1010471_frn","Na1010471","A",2010,"eastside","frn","Na1010471_frn","A",69108.0685823192,685999.617,82914.8954398386,69108.0685823192,96721.7291573543,0
"2010_eastside_Na1010471_frn","Na1010471","B",2010,"eastside","frn","Na1010471_frn","B",259323.001411544,685999.617,239589.548090915,219856.094084287,259323.001411544,0
"2010_eastside_Na1010471_frn","Na1010471","C",2010,"eastside","frn","Na1010471_frn","C",60716.8307152258,685999.617,33972.0428490909,24387.5731321899,43556.5132519914,17160.3174632344
"2010_eastside_Na1010471_frn","Na1010471","D",2010,"eastside","frn","Na1010471_frn","D",51718.2012412447,685999.617,64087.837635161,51718.2012412447,76457.4733430778,0
"2010_eastside_Na1010471_frn","Na1010471","E",2010,"eastside","frn","Na1010471_frn","E",245133.515049667,685999.617,265435.302588989,245133.515049667,285737.064746325,0
"2010_eastside_R1RFWF_fcw","R1RFWF","A",2010,"eastside","fcw","R1RFWF_fcw","A",22106.4386521137,149284.8677,25267.7297939031,22106.4386521137,28429.0224285412,0
"2010_eastside_R1RFWF_fcw","R1RFWF","B",2010,"eastside","fcw","R1RFWF_fcw","B",42057.2901452649,149284.8677,37565.4369664711,33601.7660842158,41529.1050123139,528.185132951032
"2010_eastside_R1RFWF_fcw","R1RFWF","C",2010,"eastside","fcw","R1RFWF_fcw","C",10295.0067826214,149284.8677,13097.5269761226,10295.0067826214,15900.0479160481,0
"2010_eastside_R1RFWF_fcw","R1RFWF","D",2010,"eastside","fcw","R1RFWF_fcw","D",21540.9739966877,149284.8677,24781.9719121789,21540.9739966877,28022.9741569313,0
"2010_eastside_R1RFWF_fcw","R1RFWF","E",2010,"eastside","fcw","R1RFWF_fcw","E",53285.1581233123,149284.8677,48572.2005584757,44667.7466539758,52476.6571501032,808.500973209149
"2010_eastside_R1RFWF_frm","R1RFWF","A",2010,"eastside","frm","R1RFWF_frm","A",563.084182096118,3802.50971,643.607013699841,563.084182096118,724.12988332866,0
"2010_eastside_R1RFWF_frm","R1RFWF","B",2010,"eastside","frm","R1RFWF_frm","B",1057.80865462048,3802.50971,956.848078617409,855.887430366656,1057.80865462048,0
"2010_eastside_R1RFWF_frm","R1RFWF","C",2010,"eastside","frm","R1RFWF_frm","C",262.229279220064,3802.50971,333.613676128093,262.229279220064,404.99809204867,0
"2010_eastside_R1RFWF_frm","R1RFWF","D",2010,"eastside","frm","R1RFWF_frm","D",548.680948358857,3802.50971,631.234031156981,548.680948358857,713.787224227888,0
"2010_eastside_R1RFWF_frm","R1RFWF","E",2010,"eastside","frm","R1RFWF_frm","E",1370.70664570448,3802.50971,1237.20687237258,1137.754569451,1336.65924373933,34.0474019651508
"2010_eastside_RaABAMlw_fsi","RaABAMlw","A",2010,"eastside","fsi","RaABAMlw_fsi","A",52056.2864876052,470463.056405,61886.5513614534,52056.2864876052,71716.8162353016,0
"2010_eastside_RaABAMlw_fsi","RaABAMlw","B",2010,"eastside","fsi","RaABAMlw_fsi","B",110844.117402766,470463.056405,97965.0604449497,85085.994077872,110844.117402766,0
"2010_eastside_RaABAMlw_fsi","RaABAMlw","C",2010,"eastside","fsi","RaABAMlw_fsi","C",33581.4243211434,470463.056405,13938.4781301802,9449.78258161122,18427.1722673601,15154.2520537834
"2010_eastside_RaABAMlw_fsi","RaABAMlw","D",2010,"eastside","fsi","RaABAMlw_fsi","D",27522.1287890523,470463.056405,36125.4598851363,27522.1287890523,44728.7890993681,0
"2010_eastside_RaABAMlw_fsi","RaABAMlw","E",2010,"eastside","fsi","RaABAMlw_fsi","E",246459.099404433,470463.056405,260547.50658328,246459.099404433,274635.913762128,0
"2010_eastside_RaABAMlw_fsw","RaABAMlw","A",2010,"eastside","fsw","RaABAMlw_fsw","A",2433.95687443081,21997.08945,2893.58322086402,2433.95687443081,3353.20956729723,0
"2010_eastside_RaABAMlw_fsw","RaABAMlw","B",2010,"eastside","fsw","RaABAMlw_fsw","B",5182.65553972845,21997.08945,4580.47910084383,3978.30222201742,5182.65553972845,0
"2010_eastside_RaABAMlw_fsw","RaABAMlw","C",2010,"eastside","fsw","RaABAMlw_fsw","C",1570.14155435552,21997.08945,651.711002707299,441.836420311418,861.585519111912,708.556035243612
"2010_eastside_RaABAMlw_fsw","RaABAMlw","D",2010,"eastside","fsw","RaABAMlw_fsw","D",1286.8316025776,21997.08945,1689.09112351565,1286.8316025776,2091.35055646535,0
"2010_eastside_RaABAMlw_fsw","RaABAMlw","E",2010,"eastside","fsw","RaABAMlw_fsw","E",11523.5038789076,21997.08945,12182.2250020692,11523.5038789076,12840.9461252308,0
