"type","REST_ACRES","YEAR","STATE","ew","BpS_Code","AREA_STRATA","REST_PCT"
"active",6504.47167539748,2010,"Oregon","eastside","Na0210290_fdw",9646.16073,0.674306789764375
"both",1210.465909188,2010,"Oregon","eastside","Na0210290_fdw",9646.16073,0.125486806934846
"active",22662.2445234071,2010,"Oregon","eastside","Na0210290_fwo",216308.93843,0.10476795220712
"both",127467.316516571,2010,"Oregon","eastside","Na0210290_fwo",216308.93843,0.589283630356405
"active",105.086656385819,2010,"Oregon","eastside","Na0210350_fvg",1960.63432,0.0535982948548094
"both",317.720305724337,2010,"Oregon","eastside","Na0210350_fvg",1960.63432,0.162049752206897
"passive",261.516876326465,2010,"Oregon","eastside","Na0210350_fvg",1960.63432,0.133383810361162
"active",124299.770244731,2010,"Oregon","eastside","Na0710270_fdd",1403267.971,0.0885787838199943
"both",549993.101048274,2010,"Oregon","eastside","Na0710270_fdd",1403267.971,0.391937329444166
"passive",249718.620517819,2010,"Oregon","eastside","Na0710270_fdd",1403267.971,0.177955048984595
"active",3037.58795660926,2010,"Oregon","eastside","Na0710412_fmc",16639.371505,0.182554248259707
"both",497.533753249438,2010,"Oregon","eastside","Na0710412_fmc",16639.371505,0.0299009943434422
"active",114806.283341497,2010,"Oregon","eastside","Na0710412_fmh",661932.697285,0.173441021741922
"active",4194.39060653998,2010,"Oregon","eastside","Na0710412_fmi",48558.391485,0.086378285570593
"active",42268.6834864228,2010,"Oregon","eastside","R1RFWF_fcw",149284.8677,0.283141112275124
"active",1143.37079467504,2010,"Oregon","eastside","R1RFWF_frm",3802.50971,0.300688461535852
"active",5163.07960714856,2010,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.0382400597283411
"both",5561.61215049521,2010,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.0411917686735534
"passive",17992.2159259829,2010,"Oregon","eastside","RaABAMlw_fsi",135017.561265,0.133258338822084
"active",528.379932969504,2010,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.0240257914539277
"both",1032.79268479672,2010,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.0469617790376992
"passive",2896.685065169,2010,"Oregon","eastside","RaABAMlw_fsw",21992.19676,0.131714221038508
