BpS_Code,SCLASS,AREA_PCT,AREA,AREA_TOTAL
Na0210290_fdw,A,7.44056387824944,730.122785,9812.734585
Na0210290_fdw,B,36.2600004532783,3558.097605,9812.734585
Na0210290_fdw,C,3.80527162704259,373.401205,9812.734585
Na0210290_fdw,D,3.71688235160801,364.7278,9812.734585
Na0210290_fdw,E,48.7772816898216,4786.38519,9812.734585
Na0210290_fwo,A,11.2245257359775,25514.711165,227312.15345
Na0210290_fwo,B,59.1992055649588,134566.988995,227312.15345
Na0210290_fwo,C,20.6651925917954,46974.494295,227312.15345
Na0210290_fwo,D,2.15906311453757,4907.81286,227312.15345
Na0210290_fwo,E,6.75201299273072,15348.146135,227312.15345
Na0210350_fvg,A,12.9294461905278,265.317235,2052.038665
Na0210350_fvg,B,32.8600845345183,674.30164,2052.038665
Na0210350_fvg,C,8.6160182074347,176.804025,2052.038665
Na0210350_fvg,D,8.82193562371302,181.02953,2052.038665
Na0210350_fvg,E,36.7725154438062,754.586235,2052.038665
Na0710270_fdd,A,8.35937814759141,119050.26745,1424152.19587
Na0710270_fdd,B,72.8853729387327,1037998.639175,1424152.19587
Na0710270_fdd,C,15.3747689228706,218960.109225,1424152.19587
Na0710270_fdd,D,0.421084290877814,5996.881175,1424152.19587
Na0710270_fdd,E,2.95939569992751,42146.298845,1424152.19587
Na0710412_fmc,A,7.11497403893528,1252.52864,17604.121015
Na0710412_fmc,B,28.9803807622826,5101.7413,17604.121015
Na0710412_fmc,C,2.81844941066488,496.163245,17604.121015
Na0710412_fmc,D,3.681291610344,648.05903,17604.121015
Na0710412_fmc,E,57.4049041777733,10105.6288,17604.121015
Na0710412_fmh,A,6.43062055087051,92131.354255,1432697.723745
Na0710412_fmh,B,39.1586262371877,561024.74675,1432697.723745
Na0710412_fmh,C,5.23243007632102,74964.9066,1432697.723745
Na0710412_fmh,D,8.20424173305386,117541.98456,1432697.723745
Na0710412_fmh,E,40.974081402567,587034.73158,1432697.723745
Na0710412_fmi,A,8.54504594708853,4270.42879,49975.492425
Na0710412_fmi,B,32.7788532140712,16381.393305,49975.492425
Na0710412_fmi,C,5.89769263289055,2947.400935,49975.492425
Na0710412_fmi,D,10.1840108581982,5089.509575,49975.492425
Na0710412_fmi,E,42.5943973477516,21286.75982,49975.492425
Na1010471_frn,A,3.65272536907263,25588.32391,700526.90319
Na1010471_frn,B,65.4063179977155,458188.85396,700526.90319
Na1010471_frn,C,24.485272968664,171525.924465,700526.90319
Na1010471_frn,D,0.374929918899579,2626.48495,700526.90319
Na1010471_frn,E,6.08075374564831,42597.315905,700526.90319
R1RFWF_fcw,A,5.6221024394806,8422.54344,149811.276665
R1RFWF_fcw,B,45.1732190069579,67674.576105,149811.276665
R1RFWF_fcw,C,2.55705308724264,3830.753875,149811.276665
R1RFWF_fcw,D,2.55527168596271,3828.085135,149811.276665
R1RFWF_fcw,E,44.0923537803562,66055.31811,149811.276665
R1RFWF_frm,A,4.28306447079984,169.46499,3956.629445
R1RFWF_frm,B,41.6277893316846,1647.05737,3956.629445
R1RFWF_frm,C,5.50278230566017,217.724705,3956.629445
R1RFWF_frm,D,1.95042437187342,77.171065,3956.629445
R1RFWF_frm,E,46.635939519982,1845.211315,3956.629445
RaABAMlw_fsi,A,5.23531888161107,24946.269545,476499.52389
RaABAMlw_fsi,B,46.5613918160425,221864.81032,476499.52389
RaABAMlw_fsi,C,12.6729805440352,60386.691955,476499.52389
RaABAMlw_fsi,D,1.19234643061502,5681.525065,476499.52389
RaABAMlw_fsi,E,34.3379623276962,163620.227005,476499.52389
RaABAMlw_fsw,A,7.90052293796054,1774.044915,22454.77836
RaABAMlw_fsw,B,38.4399017510498,8631.59474,22454.77836
RaABAMlw_fsw,C,13.2200301085492,2968.52846,22454.77836
RaABAMlw_fsw,D,1.77581015767372,398.754235,22454.77836
RaABAMlw_fsw,E,38.6637350447667,8681.85601,22454.77836
RaABAMlw_fwc,A,8.66807610993658,1003.00145,11571.21185
RaABAMlw_fwc,B,40.3594080338266,4670.072605,11571.21185
RaABAMlw_fwc,C,11.3722852200653,1315.911215,11571.21185
RaABAMlw_fwc,D,4.5492984816452,526.408965,11571.21185
RaABAMlw_fwc,E,35.0509321545262,4055.817615,11571.21185
RaABLA_faf,A,3.39318778796882,525.74178,15494.037255
RaABLA_faf,B,50.3394623146593,7799.615045,15494.037255
RaABLA_faf,C,1.91333304626161,296.452535,15494.037255
RaABLA_faf,D,0.00861215174611377,1.33437,15494.037255
RaABLA_faf,E,44.3454046993641,6870.893525,15494.037255
RaDFHEdy_fwi,A,11.7871946645831,59516.90511,504928.499135
RaDFHEdy_fwi,B,41.0525309712374,207285.92849,504928.499135
RaDFHEdy_fwi,C,12.0038072368331,60610.64372,504928.499135
RaDFHEdy_fwi,D,4.74429101665644,23955.277425,504928.499135
RaDFHEdy_fwi,E,30.41217611069,153559.74439,504928.499135
RaDFHEdy_fwx,A,3.38440397939598,3768.483275,111348.506205
RaDFHEdy_fwx,B,40.6995300382081,45318.31873,111348.506205
RaDFHEdy_fwx,C,16.8351378827552,18745.67455,111348.506205
RaDFHEdy_fwx,D,5.02757255646832,5598.12694,111348.506205
RaDFHEdy_fwx,E,34.0533555431724,37917.90271,111348.506205
RaDFHEwt_fdm,A,6.13169256832273,1159.12274,18903.797395
RaDFHEwt_fdm,B,44.9512358678133,8497.490555,18903.797395
RaDFHEwt_fdm,C,9.26224397360031,1750.915835,18903.797395
RaDFHEwt_fdm,D,4.62347501794097,874.01235,18903.797395
RaDFHEwt_fdm,E,35.0313525723227,6622.255915,18903.797395
RaDFHEwt_fhc,A,13.5976636316784,4400.75226,32364.032375
RaDFHEwt_fhc,B,48.7806218862738,15787.37626,32364.032375
RaDFHEwt_fhc,C,12.871327950524,4165.680745,32364.032375
RaDFHEwt_fhc,D,3.51623432399931,1137.995215,32364.032375
RaDFHEwt_fhc,E,21.2341522075245,6872.227895,32364.032375
RaDFHEwt_fwc,C,100,0.222395,0.222395
RaDFHEwt_fwm,A,14.4692276807479,44881.757345,310187.6502
RaDFHEwt_fwm,B,41.5920301700651,129013.341055,310187.6502
RaDFHEwt_fwm,C,12.4308124695288,38558.8451,310187.6502
RaDFHEwt_fwm,D,4.65026241073733,14424.5397,310187.6502
RaDFHEwt_fwm,E,26.8576672689208,83309.167,310187.6502
RaDFHEwt_fwn,A,27.2347313235685,51677.258965,189747.636395
RaDFHEwt_fwn,B,37.6437674123683,71428.158915,189747.636395
RaDFHEwt_fwn,C,12.3328500552625,23401.29148,189747.636395
RaDFHEwt_fwn,D,5.82852106361807,11059.480955,189747.636395
RaDFHEwt_fwn,E,16.9601301451827,32181.44608,189747.636395
RaDFHEwt_fww,A,24.5793178263283,8666.955545,35261.17204
RaDFHEwt_fww,B,38.0947575558807,13432.658,35261.17204
RaDFHEwt_fww,C,17.7519047378778,6259.52967,35261.17204
RaDFHEwt_fww,D,5.76530097381301,2032.912695,35261.17204
RaDFHEwt_fww,E,13.8087189061002,4869.11613,35261.17204
RaDFWV_fwx,A,11.3536555248945,4703.20946,41424.62707
RaDFWV_fwx,B,26.2957276153458,10892.9071,41424.62707
RaDFWV_fwx,C,8.31337979019252,3443.786575,41424.62707
RaDFWV_fwx,D,7.09039760342736,2937.170765,41424.62707
RaDFWV_fwx,E,46.9468394661398,19447.55317,41424.62707
RaMCONdy_fdd,A,8.96173293352195,398863.430945,4450739.98415
RaMCONdy_fdd,B,54.465893526983,2424135.30093,4450739.98415
RaMCONdy_fdd,C,29.2228312222646,1300632.23371,4450739.98415
RaMCONdy_fdd,D,0.898586252677665,39993.73764,4450739.98415
RaMCONdy_fdd,E,6.45095606455278,287115.280925,4450739.98415
RaMCONdy_fdg,A,8.32104625559369,88935.31571,1068799.67949
RaMCONdy_fdg,B,45.6105689260324,487485.614495,1068799.67949
RaMCONdy_fdg,C,33.3127126829693,356046.166385,1068799.67949
RaMCONdy_fdg,D,1.63348427399705,17458.674685,1068799.67949
RaMCONdy_fdg,E,11.1221878614076,118873.908215,1068799.67949
RaMCONdy_fdx,A,8.9739856338575,411.208355,4582.22658
RaMCONdy_fdx,B,47.6072607260726,2181.472555,4582.22658
