"YEAR","STATE","sclass","AREA_TOTAL"
2002,"Oregon","A",1572668.91124
2002,"Oregon","B",6822225.93757
2002,"Oregon","C",2318007.96214
2002,"Oregon","D",447295.50207
2002,"Oregon","E",4914208.717805
2002,"Washington","A",1657416.08431
2002,"Washington","B",6847438.636325
2002,"Washington","C",1673576.19459
2002,"Washington","D",238231.080765
2002,"Washington","E",3692006.304795
2003,"Oregon","A",1643400.75141
2003,"Oregon","B",6764713.478595
2003,"Oregon","C",2313374.362315
2003,"Oregon","D",473867.70146
2003,"Oregon","E",4879050.737045
2003,"Washington","A",1652180.683615
2003,"Washington","B",6861008.734435
2003,"Washington","C",1662531.6141
2003,"Washington","D",240765.494185
2003,"Washington","E",3692181.77445
2004,"Oregon","A",1628643.064
2004,"Oregon","B",6795311.027485
2004,"Oregon","C",2292602.669315
2004,"Oregon","D",473331.72951
2004,"Oregon","E",4884518.540515
2004,"Washington","A",1640020.569805
2004,"Washington","B",6889694.35351
2004,"Washington","C",1654365.2697
2004,"Washington","D",242072.5096
2004,"Washington","E",3682515.59817
2005,"Oregon","A",1607369.425485
2005,"Oregon","B",6843590.313245
2005,"Oregon","C",2269450.460235
2005,"Oregon","D",471428.250705
2005,"Oregon","E",4882568.581155
2005,"Washington","A",1615460.82277
2005,"Washington","B",6934161.78897
2005,"Washington","C",1639057.599455
2005,"Washington","D",242428.78639
2005,"Washington","E",3677559.3032
2006,"Oregon","A",1600992.69365
2006,"Oregon","B",6892447.15882
2006,"Oregon","C",2241009.92045
2006,"Oregon","D",470280.692505
2006,"Oregon","E",4869676.5654
2006,"Washington","A",1603667.66071
2006,"Washington","B",6981140.50877
2006,"Washington","C",1615880.70453
2006,"Washington","D",240734.358885
2006,"Washington","E",3667245.06789
2007,"Oregon","A",1588945.334105
2007,"Oregon","B",6943634.03681
2007,"Oregon","C",2210083.22696
2007,"Oregon","D",469139.13897
2007,"Oregon","E",4862605.29398
2007,"Washington","A",1607341.403715
2007,"Washington","B",7022352.303825
2007,"Washington","C",1592223.21401
2007,"Washington","D",242287.78796
2007,"Washington","E",3644463.591275
2008,"Oregon","A",1576619.09123
2008,"Oregon","B",6976404.162455
2008,"Oregon","C",2181795.02775
2008,"Oregon","D",469505.423535
2008,"Oregon","E",4870083.325855
2008,"Washington","A",1590155.3853
2008,"Washington","B",7061748.243705
2008,"Washington","C",1573164.184905
2008,"Washington","D",243079.06937
2008,"Washington","E",3640521.417505
2009,"Oregon","A",1553177.991045
2009,"Oregon","B",7018499.532845
2009,"Oregon","C",2151227.27979
2009,"Oregon","D",474225.090225
2009,"Oregon","E",4877277.13692
2009,"Washington","A",1556725.41369
2009,"Washington","B",7117557.60177
2009,"Washington","C",1547967.0538
2009,"Washington","D",242395.204745
2009,"Washington","E",3644023.02678
2010,"Oregon","A",1529546.743135
2010,"Oregon","B",7053315.914885
2010,"Oregon","C",2121149.912805
2010,"Oregon","D",480986.12062
2010,"Oregon","E",4889408.33938
2010,"Washington","A",1525860.10122
2010,"Washington","B",7169600.922905
2010,"Washington","C",1525040.575645
2010,"Washington","D",244175.254325
2010,"Washington","E",3643991.44669
2011,"Oregon","A",1496938.52105
2011,"Oregon","B",7084431.86652
2011,"Oregon","C",2092037.29533
2011,"Oregon","D",485633.508935
2011,"Oregon","E",4915365.83899
2011,"Washington","A",1505597.24798
2011,"Washington","B",7197996.316505
2011,"Washington","C",1508486.60382
2011,"Washington","D",246718.118755
2011,"Washington","E",3649870.013725
2012,"Oregon","A",1483055.513175
2012,"Oregon","B",7086845.29706
2012,"Oregon","C",2063864.74152
2012,"Oregon","D",496317.58713
2012,"Oregon","E",4944323.89194
2012,"Washington","A",1484007.808565
2012,"Washington","B",7214924.134325
2012,"Washington","C",1492118.77661
2012,"Washington","D",251066.1634
2012,"Washington","E",3666551.417885
2013,"Oregon","A",1478241.7734
2013,"Oregon","B",7083420.41406
2013,"Oregon","C",2040638.919695
2013,"Oregon","D",509295.892145
2013,"Oregon","E",4962810.031525
2013,"Washington","A",1480787.973755
2013,"Washington","B",7226569.40371
2013,"Washington","C",1477585.26336
2013,"Washington","D",254293.782035
2013,"Washington","E",3669431.877925
2014,"Oregon","A",1476801.54338
2014,"Oregon","B",7058209.939255
2014,"Oregon","C",2030871.55369
2014,"Oregon","D",526888.89341
2014,"Oregon","E",4981635.10109
2014,"Washington","A",1476211.974235
2014,"Washington","B",7228201.78301
2014,"Washington","C",1466989.47598
2014,"Washington","D",260058.92762
2014,"Washington","E",3677206.13994
2015,"Oregon","A",1471007.041655
2015,"Oregon","B",7047874.13163
2015,"Oregon","C",2017802.956305
2015,"Oregon","D",542984.731535
2015,"Oregon","E",4994738.1697
2015,"Washington","A",1468912.080755
2015,"Washington","B",7233184.098195
2015,"Washington","C",1456688.806765
2015,"Washington","D",266215.7108
2015,"Washington","E",3683667.60427
2016,"Oregon","A",1451410.70623
2016,"Oregon","B",7047589.243635
2016,"Oregon","C",2015059.26919
2016,"Oregon","D",558591.523055
2016,"Oregon","E",5001756.288715
2016,"Washington","A",1445834.596395
2016,"Washington","B",7248399.029725
2016,"Washington","C",1461045.080025
2016,"Washington","D",273463.786245
2016,"Washington","E",3679925.808395
2017,"Oregon","A",1492135.23384
2017,"Oregon","B",7021546.789135
2017,"Oregon","C",2008173.91999
2017,"Oregon","D",573879.844935
2017,"Oregon","E",4978671.242925
2017,"Washington","A",1496576.46199
2017,"Washington","B",7226429.072465
2017,"Washington","C",1443767.87966
2017,"Washington","D",275904.12658
2017,"Washington","E",3665990.76009
