BpS_Code,MAP_ZONE,SCLASS,AREA_PCT,AREA,AREA_TOTAL
Na1010471_frn,WNE,C,24.4844492659345,171512.80316,700496.879865
Na1010471_frn,WNE,D,0.37494598841128,2626.48495,700496.879865
Na1010471_frn,WNE,E,6.0809826188247,42597.09351,700496.879865
R1RFWF_fcw,OSW,A,5.6221024394806,8422.54344,149811.276665
R1RFWF_fcw,OSW,B,45.1732190069579,67674.576105,149811.276665
R1RFWF_fcw,OSW,C,2.55705308724264,3830.753875,149811.276665
R1RFWF_fcw,OSW,D,2.55527168596271,3828.085135,149811.276665
R1RFWF_fcw,OSW,E,44.0923537803562,66055.31811,149811.276665
R1RFWF_frm,OSW,A,4.28306447079984,169.46499,3956.629445
R1RFWF_frm,OSW,B,41.6277893316846,1647.05737,3956.629445
R1RFWF_frm,OSW,C,5.50278230566017,217.724705,3956.629445
R1RFWF_frm,OSW,D,1.95042437187342,77.171065,3956.629445
R1RFWF_frm,OSW,E,46.635939519982,1845.211315,3956.629445
RaABAMlw_fsi,OEC,A,8.03099885189437,7778.265125,96853.0225
RaABAMlw_fsi,OEC,B,45.6681974741676,44231.029575,96853.0225
RaABAMlw_fsi,OEC,C,14.80803673938,14342.031155,96853.0225
RaABAMlw_fsi,OEC,D,1.24133180252583,1202.26737,96853.0225
RaABAMlw_fsi,OEC,E,30.2514351320322,29299.429275,96853.0225
RaABAMlw_fsi,OSW,A,4.74704264699463,1934.8365,40758.77644
RaABAMlw_fsi,OSW,B,35.2601597625387,14371.60969,40758.77644
RaABAMlw_fsi,OSW,C,9.14869701863896,3728.896965,40758.77644
RaABAMlw_fsi,OSW,D,4.96311493299577,2022.90492,40758.77644
RaABAMlw_fsi,OSW,E,45.8809856388319,18700.528365,40758.77644
RaABAMlw_fsi,WEC,A,4.49504859529731,15233.16792,338887.72495
RaABAMlw_fsi,WEC,B,48.175888070035,163262.171055,338887.72495
RaABAMlw_fsi,WEC,C,12.4866617229182,42315.763835,338887.72495
RaABAMlw_fsi,WEC,D,0.724827898491282,2456.352775,338887.72495
RaABAMlw_fsi,WEC,E,34.1175737132582,115620.269365,338887.72495
RaABAMlw_fsw,OEC,A,8.75656283959831,1487.37776,16985.862915
