BpS_Code,BPS_LLID,SCLASS,AREA_PCT,AREA,AREA_TOTAL
RaPIPOm_fpd,RaPIPOm_fpd_1702000217,A,4.92748454588683,184.365455,3741.57348
RaPIPOm_fpd,RaPIPOm_fpd_1702000217,B,41.2387066096053,1542.97651,3741.57348
RaPIPOm_fpd,RaPIPOm_fpd_1702000217,C,11.5311459819306,431.4463,3741.57348
RaPIPOm_fpd,RaPIPOm_fpd_1702000217,D,9.48050404184498,354.720025,3741.57348
RaPIPOm_fpd,RaPIPOm_fpd_1702000217,E,32.8221588207323,1228.06519,3741.57348
RaMCONdy_fdd,RaMCONdy_fdd_1702000615,A,4.22530753486802,890.691975,21079.93247
RaMCONdy_fdd,RaMCONdy_fdd_1702000615,B,71.8080729221615,15137.09328,21079.93247
RaMCONdy_fdd,RaMCONdy_fdd_1702000615,C,21.0526871056907,4437.892225,21079.93247
RaMCONdy_fdd,RaMCONdy_fdd_1702000615,D,0.127655982951069,26.909795,21079.93247
RaMCONdy_fdd,RaMCONdy_fdd_1702000615,E,2.7862764543287,587.345195,21079.93247
RaPIPOm_fpd,RaPIPOm_fpd_1702000615,A,8.04936452385338,97.186615,1207.382455
RaPIPOm_fpd,RaPIPOm_fpd_1702000615,B,44.7043654448333,539.752665,1207.382455
RaPIPOm_fpd,RaPIPOm_fpd_1702000615,C,3.79443728126727,45.81337,1207.382455
RaPIPOm_fpd,RaPIPOm_fpd_1702000615,D,10.0755203536563,121.650065,1207.382455
RaPIPOm_fpd,RaPIPOm_fpd_1702000615,E,33.3763123963898,402.97974,1207.382455
RaMCONdy_fdd,RaMCONdy_fdd_1702000209,A,2.1919102122458,526.408965,24015.99126
RaMCONdy_fdd,RaMCONdy_fdd_1702000209,B,76.4714597918287,18365.3791,24015.99126
RaMCONdy_fdd,RaMCONdy_fdd_1702000209,C,16.3129236581842,3917.71032,24015.99126
RaMCONdy_fdd,RaMCONdy_fdd_1702000209,D,0.0277808645405045,6.67185,24015.99126
RaMCONdy_fdd,RaMCONdy_fdd_1702000209,E,4.99592547320073,1199.821025,24015.99126
RaPIPOm_fpd,RaPIPOm_fpd_1702000209,A,1.18343195266272,2.66874,225.50853
RaPIPOm_fpd,RaPIPOm_fpd_1702000209,B,45.5621301775148,102.74649,225.50853
RaPIPOm_fpd,RaPIPOm_fpd_1702000209,C,7.69230769230769,17.34681,225.50853
RaPIPOm_fpd,RaPIPOm_fpd_1702000209,D,7.00197238658777,15.790045,225.50853
RaPIPOm_fpd,RaPIPOm_fpd_1702000209,E,38.560157790927,86.956445,225.50853
RaMCONdy_fdd,RaMCONdy_fdd_1702000702,A,1.89307021569527,36.695175,1938.39482
RaMCONdy_fdd,RaMCONdy_fdd_1702000702,B,54.4515832950895,1055.48667,1938.39482
RaMCONdy_fdd,RaMCONdy_fdd_1702000702,C,2.71913721890776,52.707615,1938.39482
RaMCONdy_fdd,RaMCONdy_fdd_1702000702,D,0.10325837540156,2.001555,1938.39482
RaMCONdy_fdd,RaMCONdy_fdd_1702000702,E,40.8329508949059,791.503805,1938.39482
RaMCONdy_fdd,RaMCONdy_fdd_1702000701,A,18.38915878292,1599.46484,8697.86845
RaMCONdy_fdd,RaMCONdy_fdd_1702000701,B,40.9000255689082,3557.43042,8697.86845
RaMCONdy_fdd,RaMCONdy_fdd_1702000701,C,18.2101764254666,1583.89719,8697.86845
RaMCONdy_fdd,RaMCONdy_fdd_1702000701,D,1.3909486064945,120.98288,8697.86845
RaMCONdy_fdd,RaMCONdy_fdd_1702000701,E,21.1096906162107,1836.09312,8697.86845
RaMCONdy_fdd,RaMCONdy_fdd_1702000720,A,7.96882805475072,886.91126,11129.757775
RaMCONdy_fdd,RaMCONdy_fdd_1702000720,B,58.2775502048157,6486.150175,11129.757775
RaMCONdy_fdd,RaMCONdy_fdd_1702000720,C,29.8811070036967,3325.69483,11129.757775
RaMCONdy_fdd,RaMCONdy_fdd_1702000720,D,0.101908282545709,11.342145,11129.757775
RaMCONdy_fdd,RaMCONdy_fdd_1702000720,E,3.77060645419123,419.659365,11129.757775
RaPIPOm_fpd,RaPIPOm_fpd_1702000720,A,16.1992741669416,218.39189,1348.15849
RaPIPOm_fpd,RaPIPOm_fpd_1702000720,B,30.7489277466183,414.54428,1348.15849
RaPIPOm_fpd,RaPIPOm_fpd_1702000720,C,22.2038931045859,299.34367,1348.15849
RaPIPOm_fpd,RaPIPOm_fpd_1702000720,D,9.60079181788189,129.43389,1348.15849
RaPIPOm_fpd,RaPIPOm_fpd_1702000720,E,21.2471131639723,286.44476,1348.15849
RaMCONdy_fdd,RaMCONdy_fdd_1702000713,A,18.5185185185185,1.111975,6.004665
RaMCONdy_fdd,RaMCONdy_fdd_1702000713,B,81.4814814814815,4.89269,6.004665
RaPIPOm_fpd,RaPIPOm_fpd_1702000212,A,8.26651235843598,222.395,2690.312315
RaPIPOm_fpd,RaPIPOm_fpd_1702000212,B,39.7867239811524,1070.387135,2690.312315
RaPIPOm_fpd,RaPIPOm_fpd_1702000212,C,11.2672563445482,303.124385,2690.312315
RaPIPOm_fpd,RaPIPOm_fpd_1702000212,D,9.44035711333389,253.97509,2690.312315
RaPIPOm_fpd,RaPIPOm_fpd_1702000212,E,31.2391502025296,840.430705,2690.312315
RaMCONdy_fdd,RaMCONdy_fdd_1702000212,A,3.58524715812025,1726.897175,48166.75389
RaMCONdy_fdd,RaMCONdy_fdd_1702000212,B,71.8605424273485,34612.890615,48166.75389
RaMCONdy_fdd,RaMCONdy_fdd_1702000212,C,19.3035432307394,9297.89016,48166.75389
RaMCONdy_fdd,RaMCONdy_fdd_1702000212,D,0.181917241506681,87.62363,48166.75389
RaMCONdy_fdd,RaMCONdy_fdd_1702000212,E,5.06874994228514,2441.45231,48166.75389
RaMCONdy_fdd,RaMCONdy_fdd_1702000220,A,5.33046809957414,2719.668455,51021.193715
RaMCONdy_fdd,RaMCONdy_fdd_1702000220,B,70.0832980990947,35757.335285,51021.193715
RaMCONdy_fdd,RaMCONdy_fdd_1702000220,C,15.9042268009781,8114.526365,51021.193715
RaMCONdy_fdd,RaMCONdy_fdd_1702000220,D,2.99149583509505,1526.296885,51021.193715
RaMCONdy_fdd,RaMCONdy_fdd_1702000220,E,5.69051116525802,2903.366725,51021.193715
RaMCONdy_fdd,RaMCONdy_fdd_1701021604,A,1.90687838273773,236.62828,12409.19621
RaMCONdy_fdd,RaMCONdy_fdd_1701021604,B,83.2592566041794,10331.804515,12409.19621
RaMCONdy_fdd,RaMCONdy_fdd_1701021604,C,6.7762285386573,840.875495,12409.19621
RaMCONdy_fdd,RaMCONdy_fdd_1701021604,D,0.00896089465572243,1.111975,12409.19621
RaMCONdy_fdd,RaMCONdy_fdd_1701021604,E,8.04867557976989,998.775945,12409.19621
RaMCONdy_fdd,RaMCONdy_fdd_1702000110,A,4.40491217861785,2087.621865,47393.041685
RaMCONdy_fdd,RaMCONdy_fdd_1702000110,B,77.2804700074612,36625.565365,47393.041685
RaMCONdy_fdd,RaMCONdy_fdd_1702000110,C,13.0833446737024,6200.594995,47393.041685
RaMCONdy_fdd,RaMCONdy_fdd_1702000110,D,0.329887425329535,156.343685,47393.041685
RaMCONdy_fdd,RaMCONdy_fdd_1702000110,E,4.90138571488904,2322.915775,47393.041685
RaMCONdy_fdd,RaMCONdy_fdd_1702000718,A,5.62644822296922,1150.22694,20443.215585
RaMCONdy_fdd,RaMCONdy_fdd_1702000718,B,64.4213091391708,13169.78711,20443.215585
