LF_BpS_Code,FRG,Order,Donate,Receive,Primary,Secondary,ActiveOnly,ActivePassive,PassiveOnly
Na0710412_fmc,5,10,B,E,Grow w/o fire,None,0,0,1
Na0710412_fmc,5,11,D,E,Grow w/o fire,None,0,0,1
Na0710412_fmc,5,12,A,C,Grow w/ fire,None,0,0,1
Na0710412_fmc,5,13,C,D,Grow w/ fire,None,0,0,1
Na0710412_fmc,5,14,C,B,Regen / high fire,Grow w/o fire,0,1,0
Na0710412_fmc,5,15,D,B,Regen / high fire,Grow w/o fire,0,1,0
Na0710412_fmc,5,16,E,B,Regen / high fire,Grow w/o fire,0,1,0
Na0710412_fmc,5,17,B,D,Thin / low fire,Grow w/ fire,0,1,0
Na0710412_fmc,5,18,A,E,Grow w/o fire,Grow w/o fire,0,0,1
Na0710412_fmc,5,19,C,E,Grow w/o fire,Grow w/o fire,0,0,1
Na0710412_fmc,5,20,A,D,Grow w/ fire,Grow w/ fire,0,0,1
Na0710412_fmh,5,1,B,A,Regen / high fire,None,1,0,0
Na0710412_fmh,5,2,C,A,Regen / high fire,None,1,0,0
Na0710412_fmh,5,3,D,A,Regen / high fire,None,1,0,0
Na0710412_fmh,5,4,E,A,Regen / high fire,None,1,0,0
Na0710412_fmh,5,5,D,C,Overstory removal,None,1,0,0
Na0710412_fmh,5,6,E,C,Overstory removal,None,1,0,0
Na0710412_fmh,5,7,B,C,Thin / low fire,None,1,0,0
Na0710412_fmh,5,8,E,D,Thin / low fire,None,1,0,0
Na0710412_fmh,5,9,A,B,Grow w/o fire,None,0,0,1
Na0710412_fmh,5,10,B,E,Grow w/o fire,None,0,0,1
Na0710412_fmh,5,11,D,E,Grow w/o fire,None,0,0,1
Na0710412_fmh,5,12,A,C,Grow w/ fire,None,0,0,1
Na0710412_fmh,5,13,C,D,Grow w/ fire,None,0,0,1
Na0710412_fmh,5,14,C,B,Regen / high fire,Grow w/o fire,0,1,0
Na0710412_fmh,5,15,D,B,Regen / high fire,Grow w/o fire,0,1,0
Na0710412_fmh,5,16,E,B,Regen / high fire,Grow w/o fire,0,1,0
Na0710412_fmh,5,17,B,D,Thin / low fire,Grow w/ fire,0,1,0
Na0710412_fmh,5,18,A,E,Grow w/o fire,Grow w/o fire,0,0,1
Na0710412_fmh,5,19,C,E,Grow w/o fire,Grow w/o fire,0,0,1
Na0710412_fmh,5,20,A,D,Grow w/ fire,Grow w/ fire,0,0,1
Na0710412_fmi,5,1,B,A,Regen / high fire,None,1,0,0
Na0710412_fmi,5,2,C,A,Regen / high fire,None,1,0,0
Na0710412_fmi,5,3,D,A,Regen / high fire,None,1,0,0
Na0710412_fmi,5,4,E,A,Regen / high fire,None,1,0,0
Na0710412_fmi,5,5,D,C,Overstory removal,None,1,0,0
Na0710412_fmi,5,6,E,C,Overstory removal,None,1,0,0
Na0710412_fmi,5,7,B,C,Thin / low fire,None,1,0,0
Na0710412_fmi,5,8,E,D,Thin / low fire,None,1,0,0
Na0710412_fmi,5,9,A,B,Grow w/o fire,None,0,0,1
Na0710412_fmi,5,10,B,E,Grow w/o fire,None,0,0,1
Na0710412_fmi,5,11,D,E,Grow w/o fire,None,0,0,1
Na0710412_fmi,5,12,A,C,Grow w/ fire,None,0,0,1
Na0710412_fmi,5,13,C,D,Grow w/ fire,None,0,0,1
Na0710412_fmi,5,14,C,B,Regen / high fire,Grow w/o fire,0,1,0
Na0710412_fmi,5,15,D,B,Regen / high fire,Grow w/o fire,0,1,0
Na0710412_fmi,5,16,E,B,Regen / high fire,Grow w/o fire,0,1,0
Na0710412_fmi,5,17,B,D,Thin / low fire,Grow w/ fire,0,1,0
Na0710412_fmi,5,18,A,E,Grow w/o fire,Grow w/o fire,0,0,1
Na0710412_fmi,5,19,C,E,Grow w/o fire,Grow w/o fire,0,0,1
Na0710412_fmi,5,20,A,D,Grow w/ fire,Grow w/ fire,0,0,1
Na1010471_frn,3,1,B,C,Thin / low fire,None,1,0,0
Na1010471_frn,3,2,E,D,Thin / low fire,None,1,0,0
Na1010471_frn,3,3,B,D,Thin / low fire,Grow w/ fire,0,1,0
Na1010471_frn,3,4,D,C,Overstory removal,None,1,0,0
Na1010471_frn,3,5,E,C,Overstory removal,None,1,0,0
Na1010471_frn,3,6,B,A,Regen / high fire,None,1,0,0
Na1010471_frn,3,7,C,A,Regen / high fire,None,1,0,0
Na1010471_frn,3,8,D,A,Regen / high fire,None,1,0,0
Na1010471_frn,3,9,E,A,Regen / high fire,None,1,0,0
Na1010471_frn,3,10,A,C,Grow w/ fire,None,0,0,1
Na1010471_frn,3,11,C,D,Grow w/ fire,None,0,0,1
Na1010471_frn,3,12,A,B,Grow w/o fire,None,0,0,1
Na1010471_frn,3,13,B,E,Grow w/o fire,None,0,0,1
Na1010471_frn,3,14,C,B,Grow w/o fire,None,0,0,1
Na1010471_frn,3,15,D,E,Grow w/o fire,None,0,0,1
Na1010471_frn,3,16,D,B,Regen / high fire,Grow w/o fire,0,1,0
Na1010471_frn,3,17,E,B,Regen / high fire,Grow w/o fire,0,1,0
Na1010471_frn,3,18,A,D,Grow w/ fire,Grow w/ fire,0,0,1
Na1010471_frn,3,19,A,E,Grow w/o fire,Grow w/o fire,0,0,1
Na1010471_frn,3,20,C,E,Grow w/o fire,Grow w/o fire,0,0,1
R1RFWF_fcw,3,1,B,C,Thin / low fire,None,1,0,0
R1RFWF_fcw,3,2,E,D,Thin / low fire,None,1,0,0
R1RFWF_fcw,3,3,B,D,Thin / low fire,Grow w/ fire,0,1,0
R1RFWF_fcw,3,4,D,C,Overstory removal,None,1,0,0
R1RFWF_fcw,3,5,E,C,Overstory removal,None,1,0,0
R1RFWF_fcw,3,6,B,A,Regen / high fire,None,1,0,0
R1RFWF_fcw,3,7,C,A,Regen / high fire,None,1,0,0
R1RFWF_fcw,3,8,D,A,Regen / high fire,None,1,0,0
R1RFWF_fcw,3,9,E,A,Regen / high fire,None,1,0,0
R1RFWF_fcw,3,10,A,C,Grow w/ fire,None,0,0,1
R1RFWF_fcw,3,11,C,D,Grow w/ fire,None,0,0,1
R1RFWF_fcw,3,12,A,B,Grow w/o fire,None,0,0,1
R1RFWF_fcw,3,13,B,E,Grow w/o fire,None,0,0,1
R1RFWF_fcw,3,14,C,B,Grow w/o fire,None,0,0,1
R1RFWF_fcw,3,15,D,E,Grow w/o fire,None,0,0,1
R1RFWF_fcw,3,16,D,B,Regen / high fire,Grow w/o fire,0,1,0
R1RFWF_fcw,3,17,E,B,Regen / high fire,Grow w/o fire,0,1,0
R1RFWF_fcw,3,18,A,D,Grow w/ fire,Grow w/ fire,0,0,1
R1RFWF_fcw,3,19,A,E,Grow w/o fire,Grow w/o fire,0,0,1
R1RFWF_fcw,3,20,C,E,Grow w/o fire,Grow w/o fire,0,0,1
R1RFWF_frm,3,1,B,C,Thin / low fire,None,1,0,0
R1RFWF_frm,3,2,E,D,Thin / low fire,None,1,0,0
R1RFWF_frm,3,3,B,D,Thin / low fire,Grow w/ fire,0,1,0
R1RFWF_frm,3,4,D,C,Overstory removal,None,1,0,0
R1RFWF_frm,3,5,E,C,Overstory removal,None,1,0,0
R1RFWF_frm,3,6,B,A,Regen / high fire,None,1,0,0
R1RFWF_frm,3,7,C,A,Regen / high fire,None,1,0,0
R1RFWF_frm,3,8,D,A,Regen / high fire,None,1,0,0
R1RFWF_frm,3,9,E,A,Regen / high fire,None,1,0,0
R1RFWF_frm,3,10,A,C,Grow w/ fire,None,0,0,1
R1RFWF_frm,3,11,C,D,Grow w/ fire,None,0,0,1
R1RFWF_frm,3,12,A,B,Grow w/o fire,None,0,0,1
R1RFWF_frm,3,13,B,E,Grow w/o fire,None,0,0,1
R1RFWF_frm,3,14,C,B,Grow w/o fire,None,0,0,1
R1RFWF_frm,3,15,D,E,Grow w/o fire,None,0,0,1
R1RFWF_frm,3,16,D,B,Regen / high fire,Grow w/o fire,0,1,0
R1RFWF_frm,3,17,E,B,Regen / high fire,Grow w/o fire,0,1,0
R1RFWF_frm,3,18,A,D,Grow w/ fire,Grow w/ fire,0,0,1
R1RFWF_frm,3,19,A,E,Grow w/o fire,Grow w/o fire,0,0,1
R1RFWF_frm,3,20,C,E,Grow w/o fire,Grow w/o fire,0,0,1
RaABAMlw_fsi,3,1,B,C,Thin / low fire,None,1,0,0
RaABAMlw_fsi,3,2,E,D,Thin / low fire,None,1,0,0
RaABAMlw_fsi,3,3,B,D,Thin / low fire,Grow w/ fire,0,1,0
RaABAMlw_fsi,3,4,D,C,Overstory removal,None,1,0,0
RaABAMlw_fsi,3,5,E,C,Overstory removal,None,1,0,0
RaABAMlw_fsi,3,6,B,A,Regen / high fire,None,1,0,0
RaABAMlw_fsi,3,7,C,A,Regen / high fire,None,1,0,0
RaABAMlw_fsi,3,8,D,A,Regen / high fire,None,1,0,0
RaABAMlw_fsi,3,9,E,A,Regen / high fire,None,1,0,0
RaABAMlw_fsi,3,10,A,C,Grow w/ fire,None,0,0,1
RaABAMlw_fsi,3,11,C,D,Grow w/ fire,None,0,0,1
RaABAMlw_fsi,3,12,A,B,Grow w/o fire,None,0,0,1
RaABAMlw_fsi,3,13,B,E,Grow w/o fire,None,0,0,1
RaABAMlw_fsi,3,14,C,E,Grow w/o fire,None,0,0,1
RaABAMlw_fsi,3,15,D,E,Grow w/o fire,None,0,0,1
RaABAMlw_fsi,3,16,C,B,Regen / high fire,Grow w/o fire,0,1,0
RaABAMlw_fsi,3,17,D,B,Regen / high fire,Grow w/o fire,0,1,0
RaABAMlw_fsi,3,18,E,B,Regen / high fire,Grow w/o fire,0,1,0
RaABAMlw_fsi,3,19,A,D,Grow w/ fire,Grow w/ fire,0,0,1
RaABAMlw_fsi,3,20,A,E,Grow w/o fire,Grow w/o fire,0,0,1
RaABAMlw_fsw,3,1,B,C,Thin / low fire,None,1,0,0
RaABAMlw_fsw,3,2,E,D,Thin / low fire,None,1,0,0
RaABAMlw_fsw,3,3,B,D,Thin / low fire,Grow w/ fire,0,1,0
RaABAMlw_fsw,3,4,D,C,Overstory removal,None,1,0,0
RaABAMlw_fsw,3,5,E,C,Overstory removal,None,1,0,0
RaABAMlw_fsw,3,6,B,A,Regen / high fire,None,1,0,0
RaABAMlw_fsw,3,7,C,A,Regen / high fire,None,1,0,0
RaABAMlw_fsw,3,8,D,A,Regen / high fire,None,1,0,0
RaABAMlw_fsw,3,9,E,A,Regen / high fire,None,1,0,0
RaABAMlw_fsw,3,10,A,C,Grow w/ fire,None,0,0,1
RaABAMlw_fsw,3,11,C,D,Grow w/ fire,None,0,0,1
RaABAMlw_fsw,3,12,A,B,Grow w/o fire,None,0,0,1
RaABAMlw_fsw,3,13,B,E,Grow w/o fire,None,0,0,1
RaABAMlw_fsw,3,14,C,E,Grow w/o fire,None,0,0,1
RaABAMlw_fsw,3,15,D,E,Grow w/o fire,None,0,0,1
RaABAMlw_fsw,3,16,C,B,Regen / high fire,Grow w/o fire,0,1,0
RaABAMlw_fsw,3,17,D,B,Regen / high fire,Grow w/o fire,0,1,0
RaABAMlw_fsw,3,18,E,B,Regen / high fire,Grow w/o fire,0,1,0
RaABAMlw_fsw,3,19,A,D,Grow w/ fire,Grow w/ fire,0,0,1
RaABAMlw_fsw,3,20,A,E,Grow w/o fire,Grow w/o fire,0,0,1
RaABAMlw_fwc,3,1,B,C,Thin / low fire,None,1,0,0
RaABAMlw_fwc,3,2,E,D,Thin / low fire,None,1,0,0
RaABAMlw_fwc,3,3,B,D,Thin / low fire,Grow w/ fire,0,1,0
RaABAMlw_fwc,3,4,D,C,Overstory removal,None,1,0,0
RaABAMlw_fwc,3,5,E,C,Overstory removal,None,1,0,0
RaABAMlw_fwc,3,6,B,A,Regen / high fire,None,1,0,0
RaABAMlw_fwc,3,7,C,A,Regen / high fire,None,1,0,0
RaABAMlw_fwc,3,8,D,A,Regen / high fire,None,1,0,0
RaABAMlw_fwc,3,9,E,A,Regen / high fire,None,1,0,0
RaABAMlw_fwc,3,10,A,C,Grow w/ fire,None,0,0,1
RaABAMlw_fwc,3,11,C,D,Grow w/ fire,None,0,0,1
RaABAMlw_fwc,3,12,A,B,Grow w/o fire,None,0,0,1
RaABAMlw_fwc,3,13,B,E,Grow w/o fire,None,0,0,1
RaABAMlw_fwc,3,14,C,E,Grow w/o fire,None,0,0,1
RaABAMlw_fwc,3,15,D,E,Grow w/o fire,None,0,0,1
RaABAMlw_fwc,3,16,C,B,Regen / high fire,Grow w/o fire,0,1,0
RaABAMlw_fwc,3,17,D,B,Regen / high fire,Grow w/o fire,0,1,0
RaABAMlw_fwc,3,18,E,B,Regen / high fire,Grow w/o fire,0,1,0
RaABAMlw_fwc,3,19,A,D,Grow w/ fire,Grow w/ fire,0,0,1
RaABAMlw_fwc,3,20,A,E,Grow w/o fire,Grow w/o fire,0,0,1
RaABAMup_fsi,5,1,B,A,Regen / high fire,None,1,0,0
RaABAMup_fsi,5,2,C,A,Regen / high fire,None,1,0,0
RaABAMup_fsi,5,3,D,A,Regen / high fire,None,1,0,0
RaABAMup_fsi,5,4,E,A,Regen / high fire,None,1,0,0
RaABAMup_fsi,5,5,D,C,Overstory removal,None,1,0,0
RaABAMup_fsi,5,6,E,C,Overstory removal,None,1,0,0
RaABAMup_fsi,5,7,B,C,Thin / low fire,None,1,0,0
RaABAMup_fsi,5,8,E,D,Thin / low fire,None,1,0,0
RaABAMup_fsi,5,9,A,B,Grow w/o fire,None,0,0,1
RaABAMup_fsi,5,10,B,E,Grow w/o fire,None,0,0,1
RaABAMup_fsi,5,11,C,E,Grow w/o fire,None,0,0,1
RaABAMup_fsi,5,12,D,E,Grow w/o fire,None,0,0,1
RaABAMup_fsi,5,13,A,C,Grow w/ fire,None,0,0,1
RaABAMup_fsi,5,14,C,D,Grow w/ fire,None,0,0,1
RaABAMup_fsi,5,15,C,B,Regen / high fire,Grow w/o fire,0,1,0
RaABAMup_fsi,5,16,D,B,Regen / high fire,Grow w/o fire,0,1,0
RaABAMup_fsi,5,17,E,B,Regen / high fire,Grow w/o fire,0,1,0
RaABAMup_fsi,5,18,B,D,Thin / low fire,Grow w/ fire,0,1,0
RaABAMup_fsi,5,19,A,E,Grow w/o fire,Grow w/o fire,0,0,1
RaABAMup_fsi,5,20,A,D,Grow w/o fire,Grow w/ fire,0,0,1
RaABAMup_fst,5,1,B,A,Regen / high fire,None,1,0,0
RaABAMup_fst,5,2,C,A,Regen / high fire,None,1,0,0
RaABAMup_fst,5,3,D,A,Regen / high fire,None,1,0,0
RaABAMup_fst,5,4,E,A,Regen / high fire,None,1,0,0
RaABAMup_fst,5,5,D,C,Overstory removal,None,1,0,0
RaABAMup_fst,5,6,E,C,Overstory removal,None,1,0,0
RaABAMup_fst,5,7,B,C,Thin / low fire,None,1,0,0
RaABAMup_fst,5,8,E,D,Thin / low fire,None,1,0,0
RaABAMup_fst,5,9,A,B,Grow w/o fire,None,0,0,1
RaABAMup_fst,5,10,B,E,Grow w/o fire,None,0,0,1
RaABAMup_fst,5,11,C,E,Grow w/o fire,None,0,0,1
RaABAMup_fst,5,12,D,E,Grow w/o fire,None,0,0,1
RaABAMup_fst,5,13,A,C,Grow w/ fire,None,0,0,1
RaABAMup_fst,5,14,C,D,Grow w/ fire,None,0,0,1
RaABAMup_fst,5,15,C,B,Regen / high fire,Grow w/o fire,0,1,0
RaABAMup_fst,5,16,D,B,Regen / high fire,Grow w/o fire,0,1,0
RaABAMup_fst,5,17,E,B,Regen / high fire,Grow w/o fire,0,1,0
RaABAMup_fst,5,18,B,D,Thin / low fire,Grow w/ fire,0,1,0
RaABAMup_fst,5,19,A,E,Grow w/o fire,Grow w/o fire,0,0,1
RaABAMup_fst,5,20,A,D,Grow w/o fire,Grow w/ fire,0,0,1
RaABAMup_fsw,5,1,B,A,Regen / high fire,None,1,0,0
RaABAMup_fsw,5,2,C,A,Regen / high fire,None,1,0,0
RaABAMup_fsw,5,3,D,A,Regen / high fire,None,1,0,0
RaABAMup_fsw,5,4,E,A,Regen / high fire,None,1,0,0
RaABAMup_fsw,5,5,D,C,Overstory removal,None,1,0,0
RaABAMup_fsw,5,6,E,C,Overstory removal,None,1,0,0
RaABAMup_fsw,5,7,B,C,Thin / low fire,None,1,0,0
RaABAMup_fsw,5,8,E,D,Thin / low fire,None,1,0,0
RaABAMup_fsw,5,9,A,B,Grow w/o fire,None,0,0,1
RaABAMup_fsw,5,10,B,E,Grow w/o fire,None,0,0,1
RaABAMup_fsw,5,11,C,E,Grow w/o fire,None,0,0,1
RaABAMup_fsw,5,12,D,E,Grow w/o fire,None,0,0,1
RaABAMup_fsw,5,13,A,C,Grow w/ fire,None,0,0,1
RaABAMup_fsw,5,14,C,D,Grow w/ fire,None,0,0,1
RaABAMup_fsw,5,15,C,B,Regen / high fire,Grow w/o fire,0,1,0
RaABAMup_fsw,5,16,D,B,Regen / high fire,Grow w/o fire,0,1,0
RaABAMup_fsw,5,17,E,B,Regen / high fire,Grow w/o fire,0,1,0
RaABAMup_fsw,5,18,B,D,Thin / low fire,Grow w/ fire,0,1,0
RaABAMup_fsw,5,19,A,E,Grow w/o fire,Grow w/o fire,0,0,1
RaABAMup_fsw,5,20,A,D,Grow w/o fire,Grow w/ fire,0,0,1
RaABLA_faf,4,1,B,A,Regen / high fire,None,1,0,0
RaABLA_faf,4,2,C,A,Regen / high fire,None,1,0,0
RaABLA_faf,4,3,D,A,Regen / high fire,None,1,0,0
RaABLA_faf,4,4,E,A,Regen / high fire,None,1,0,0
RaABLA_faf,4,5,D,C,Overstory removal,None,1,0,0
RaABLA_faf,4,6,E,C,Overstory removal,None,1,0,0
RaABLA_faf,4,7,B,C,Thin / low fire,None,1,0,0
RaABLA_faf,4,8,E,D,Thin / low fire,None,1,0,0
RaABLA_faf,4,9,A,B,Grow w/o fire,None,0,0,1
RaABLA_faf,4,10,B,E,Grow w/o fire,None,0,0,1
RaABLA_faf,4,11,C,E,Grow w/o fire,None,0,0,1
RaABLA_faf,4,12,D,E,Grow w/o fire,None,0,0,1
RaABLA_faf,4,13,A,C,Grow w/ fire,None,0,0,1
RaABLA_faf,4,14,C,D,Grow w/ fire,None,0,0,1
RaABLA_faf,4,15,C,B,Regen / high fire,Grow w/o fire,0,1,0
RaABLA_faf,4,16,D,B,Regen / high fire,Grow w/o fire,0,1,0
RaABLA_faf,4,17,E,B,Regen / high fire,Grow w/o fire,0,1,0
RaABLA_faf,4,18,B,D,Thin / low fire,Grow w/ fire,0,1,0
RaABLA_faf,4,19,A,E,Grow w/o fire,Grow w/o fire,0,0,1
RaABLA_faf,4,20,A,D,Grow w/ fire,Grow w/ fire,0,0,1
RaDFHEdy_fdg,3,1,B,C,Thin / low fire,None,1,0,0
RaDFHEdy_fdg,3,2,E,D,Thin / low fire,None,1,0,0
RaDFHEdy_fdg,3,3,B,D,Thin / low fire,Grow w/ fire,0,1,0
RaDFHEdy_fdg,3,4,D,C,Overstory removal,None,1,0,0
RaDFHEdy_fdg,3,5,E,C,Overstory removal,None,1,0,0
RaDFHEdy_fdg,3,6,B,A,Regen / high fire,None,1,0,0
RaDFHEdy_fdg,3,7,C,A,Regen / high fire,None,1,0,0
RaDFHEdy_fdg,3,8,D,A,Regen / high fire,None,1,0,0
RaDFHEdy_fdg,3,9,E,A,Regen / high fire,None,1,0,0
RaDFHEdy_fdg,3,10,A,C,Grow w/ fire,None,0,0,1
RaDFHEdy_fdg,3,11,C,D,Grow w/ fire,None,0,0,1
RaDFHEdy_fdg,3,12,A,B,Grow w/o fire,None,0,0,1
RaDFHEdy_fdg,3,13,B,E,Grow w/o fire,None,0,0,1
RaDFHEdy_fdg,3,14,C,E,Grow w/o fire,None,0,0,1
