ID,BPS_code,BPS_ID,SizeClass_max,SizeClass_min,Cover_max,Cover_min,SClass
1,20,Na0210290,2.000000000000000,1.000000000000000,100.000000000000000,0.000000000000000,A
2,20,Na0210290,5.000000000000000,3.000000000000000,100.000000000000000,31.000000000000000,B
3,20,Na0210290,5.000000000000000,3.000000000000000,30.899999999999999,0.000000000000000,C
4,20,Na0210290,7.000000000000000,6.000000000000000,30.899999999999999,0.000000000000000,D
5,20,Na0210290,7.000000000000000,6.000000000000000,100.000000000000000,31.000000000000000,E
6,15,Na0210350,2.000000000000000,1.000000000000000,100.000000000000000,0.000000000000000,A
7,15,Na0210350,4.000000000000000,3.000000000000000,100.000000000000000,41.000000000000000,B
8,15,Na0210350,4.000000000000000,3.000000000000000,40.899999999999999,0.000000000000000,C
9,15,Na0210350,7.000000000000000,5.000000000000000,40.899999999999999,0.000000000000000,D
10,15,Na0210350,7.000000000000000,5.000000000000000,100.000000000000000,41.000000000000000,E
11,19,Na0710270,2.000000000000000,1.000000000000000,100.000000000000000,0.000000000000000,A
12,19,Na0710270,6.000000000000000,3.000000000000000,100.000000000000000,41.000000000000000,B
13,19,Na0710270,6.000000000000000,3.000000000000000,40.899999999999999,0.000000000000000,C
14,19,Na0710270,7.000000000000000,7.000000000000000,40.899999999999999,0.000000000000000,D
15,19,Na0710270,7.000000000000000,7.000000000000000,100.000000000000000,41.000000000000000,E
16,4,Na0710411,2.000000000000000,1.000000000000000,100.000000000000000,0.000000000000000,A
17,4,Na0710411,5.000000000000000,3.000000000000000,100.000000000000000,71.000000000000000,B
18,4,Na0710411,5.000000000000000,3.000000000000000,70.900000000000006,0.000000000000000,C
19,4,Na0710411,7.000000000000000,6.000000000000000,70.900000000000006,0.000000000000000,D
20,4,Na0710411,7.000000000000000,6.000000000000000,100.000000000000000,71.000000000000000,E
21,3,Na0710412,2.000000000000000,1.000000000000000,100.000000000000000,0.000000000000000,A
22,3,Na0710412,4.000000000000000,3.000000000000000,100.000000000000000,41.000000000000000,B
23,3,Na0710412,4.000000000000000,3.000000000000000,40.899999999999999,0.000000000000000,C
24,3,Na0710412,7.000000000000000,5.000000000000000,60.899999999999999,0.000000000000000,D
25,3,Na0710412,7.000000000000000,5.000000000000000,100.000000000000000,61.000000000000000,E
26,18,Na1010471,2.000000000000000,1.000000000000000,100.000000000000000,0.000000000000000,A
27,18,Na1010471,5.000000000000000,3.000000000000000,100.000000000000000,61.000000000000000,B
28,18,Na1010471,5.000000000000000,3.000000000000000,60.899999999999999,0.000000000000000,C
29,18,Na1010471,7.000000000000000,6.000000000000000,60.899999999999999,0.000000000000000,D
30,18,Na1010471,7.000000000000000,6.000000000000000,100.000000000000000,61.000000000000000,E
31,10,RaABAMlw,2.000000000000000,1.000000000000000,100.000000000000000,0.000000000000000,A
32,10,RaABAMlw,5.000000000000000,3.000000000000000,100.000000000000000,61.000000000000000,B
33,10,RaABAMlw,5.000000000000000,3.000000000000000,60.899999999999999,0.000000000000000,C
34,10,RaABAMlw,7.000000000000000,6.000000000000000,60.899999999999999,0.000000000000000,D
35,10,RaABAMlw,7.000000000000000,6.000000000000000,100.000000000000000,61.000000000000000,E
36,9,RaABAMup,2.000000000000000,1.000000000000000,100.000000000000000,0.000000000000000,A
37,9,RaABAMup,5.000000000000000,3.000000000000000,100.000000000000000,61.000000000000000,B
38,9,RaABAMup,5.000000000000000,3.000000000000000,60.899999999999999,0.000000000000000,C
39,9,RaABAMup,7.000000000000000,6.000000000000000,60.899999999999999,0.000000000000000,D
40,9,RaABAMup,7.000000000000000,6.000000000000000,100.000000000000000,61.000000000000000,E
41,5,RaABLA,2.000000000000000,1.000000000000000,100.000000000000000,0.000000000000000,A
42,5,RaABLA,5.000000000000000,3.000000000000000,100.000000000000000,31.000000000000000,B
43,5,RaABLA,5.000000000000000,3.000000000000000,30.899999999999999,0.000000000000000,C
44,5,RaABLA,7.000000000000000,6.000000000000000,30.899999999999999,0.000000000000000,D
45,5,RaABLA,7.000000000000000,6.000000000000000,100.000000000000000,31.000000000000000,E
46,14,RaDFHEdy,2.000000000000000,1.000000000000000,100.000000000000000,0.000000000000000,A
47,14,RaDFHEdy,5.000000000000000,3.000000000000000,100.000000000000000,61.000000000000000,B
48,14,RaDFHEdy,5.000000000000000,3.000000000000000,60.899999999999999,0.000000000000000,C
49,14,RaDFHEdy,7.000000000000000,6.000000000000000,60.899999999999999,0.000000000000000,D
50,14,RaDFHEdy,7.000000000000000,6.000000000000000,100.000000000000000,61.000000000000000,E
51,16,RaDFHEwt,2.000000000000000,1.000000000000000,100.000000000000000,0.000000000000000,A
52,16,RaDFHEwt,5.000000000000000,3.000000000000000,100.000000000000000,61.000000000000000,B
53,16,RaDFHEwt,5.000000000000000,3.000000000000000,60.899999999999999,0.000000000000000,C
54,16,RaDFHEwt,7.000000000000000,6.000000000000000,60.899999999999999,0.000000000000000,D
55,16,RaDFHEwt,7.000000000000000,6.000000000000000,100.000000000000000,61.000000000000000,E
56,17,RaDFWV,2.000000000000000,1.000000000000000,100.000000000000000,0.000000000000000,A
57,17,RaDFWV,4.000000000000000,3.000000000000000,100.000000000000000,41.000000000000000,B
58,17,RaDFWV,4.000000000000000,3.000000000000000,40.899999999999999,0.000000000000000,C
59,17,RaDFWV,7.000000000000000,5.000000000000000,40.899999999999999,0.000000000000000,D
60,17,RaDFWV,7.000000000000000,5.000000000000000,100.000000000000000,41.000000000000000,E
61,13,RaMCONdy,2.000000000000000,1.000000000000000,100.000000000000000,0.000000000000000,A
