OBJECTID,LF_BpS_Code,BpS,PVT,Sclass,BPS_SCLASS_old,BPS_SCLASS,Avg_,Minus_2_SD,Plus_2_SD,FRG,LL
190,RaMCONsw_fvw,RaMCONsw,fvw,D,RaMCONsw_D,RaMCONsw_fvw_D,51.8605194,48.8090553,54.9119835,1,1
191,RaMEVG_ftd,RaMEVG,ftd,A,RaMEVG_A,RaMEVG_ftd_A,16.5542316,14.1446753,18.9637871,1,1
192,RaMEVG_ftd,RaMEVG,ftd,B,RaMEVG_B,RaMEVG_ftd_B,7.5240121,5.8985209,9.1495028,1,1
193,RaMEVG_ftd,RaMEVG,ftd,E,RaMEVG_E,RaMEVG_ftd_E,3.8186626,2.5528412,5.0844841,1,1
194,RaMEVG_ftd,RaMEVG,ftd,C,RaMEVG_C,RaMEVG_ftd_C,51.6248322,48.2151222,55.0345421,1,1
195,RaMEVG_ftd,RaMEVG,ftd,D,RaMEVG_D,RaMEVG_ftd_D,20.4782639,17.7686615,23.1878643,1,1
196,RaMEVG_fuc,RaMEVG,fuc,A,RaMEVG_A,RaMEVG_fuc_A,16.5542316,14.1446753,18.9637871,1,1
197,RaMEVG_fuc,RaMEVG,fuc,B,RaMEVG_B,RaMEVG_fuc_B,7.5240121,5.8985209,9.1495028,1,1
198,RaMEVG_fuc,RaMEVG,fuc,E,RaMEVG_E,RaMEVG_fuc_E,3.8186626,2.5528412,5.0844841,1,1
199,RaMEVG_fuc,RaMEVG,fuc,C,RaMEVG_C,RaMEVG_fuc_C,51.6248322,48.2151222,55.0345421,1,1
200,RaMEVG_fuc,RaMEVG,fuc,D,RaMEVG_D,RaMEVG_fuc_D,20.4782639,17.7686615,23.1878643,1,1
201,RaOAPI_fop,RaOAPI,fop,A,RaOAPI_A,RaOAPI_fop_A,25.1313572,22.3314819,27.9312325,1,1
202,RaOAPI_fop,RaOAPI,fop,B,RaOAPI_B,RaOAPI_fop_B,3.8072855,2.5790088,5.0355620,1,1
203,RaOAPI_fop,RaOAPI,fop,E,RaOAPI_E,RaOAPI_fop_E,3.1747704,2.0860412,4.2634997,1,1
204,RaOAPI_fop,RaOAPI,fop,C,RaOAPI_C,RaOAPI_fop_C,19.1855888,16.5903301,21.7808475,1,1
205,RaOAPI_fop,RaOAPI,fop,D,RaOAPI_D,RaOAPI_fop_D,48.7009964,45.3671722,52.0348244,1,1
206,RaPICOpu_fld,RaPICOpu,fld,A,RaPICOpu_A,RaPICOpu_fld_A,21.6289425,18.9167271,24.3411560,4,3
207,RaPICOpu_fld,RaPICOpu,fld,B,RaPICOpu_B,RaPICOpu_fld_B,13.8680038,11.7090569,16.0269508,4,3
208,RaPICOpu_fld,RaPICOpu,fld,E,RaPICOpu_E,RaPICOpu_fld_E,5.8972454,4.4818630,7.3126278,4,3
209,RaPICOpu_fld,RaPICOpu,fld,C,RaPICOpu_C,RaPICOpu_fld_C,47.7168465,44.7137604,50.7199326,4,3
210,RaPICOpu_fld,RaPICOpu,fld,D,RaPICOpu_D,RaPICOpu_fld_D,10.8889618,9.0759773,12.7019472,4,3
211,RaPICOpu_flp,RaPICOpu,flp,A,RaPICOpu_A,RaPICOpu_flp_A,21.6289425,18.9167271,24.3411560,4,3
212,RaPICOpu_flp,RaPICOpu,flp,B,RaPICOpu_B,RaPICOpu_flp_B,13.8680038,11.7090569,16.0269508,4,3
213,RaPICOpu_flp,RaPICOpu,flp,E,RaPICOpu_E,RaPICOpu_flp_E,5.8972454,4.4818630,7.3126278,4,3
214,RaPICOpu_flp,RaPICOpu,flp,C,RaPICOpu_C,RaPICOpu_flp_C,47.7168465,44.7137604,50.7199326,4,3
215,RaPICOpu_flp,RaPICOpu,flp,D,RaPICOpu_D,RaPICOpu_flp_D,10.8889618,9.0759773,12.7019472,4,3
216,RaPICOpu_flw,RaPICOpu,flw,A,RaPICOpu_A,RaPICOpu_flw_A,21.6289425,18.9167271,24.3411560,4,3
217,RaPICOpu_flw,RaPICOpu,flw,B,RaPICOpu_B,RaPICOpu_flw_B,13.8680038,11.7090569,16.0269508,4,3
218,RaPICOpu_flw,RaPICOpu,flw,E,RaPICOpu_E,RaPICOpu_flw_E,5.8972454,4.4818630,7.3126278,4,3
219,RaPICOpu_flw,RaPICOpu,flw,C,RaPICOpu_C,RaPICOpu_flw_C,47.7168465,44.7137604,50.7199326,4,3
220,RaPICOpu_flw,RaPICOpu,flw,D,RaPICOpu_D,RaPICOpu_flw_D,10.8889618,9.0759773,12.7019472,4,3
221,RaPIJEsp_fjp,RaPIJEsp,fjp,A,RaPIJEsp_A,RaPIJEsp_fjp_A,15.0000000,13.1999998,16.7999992,1,1
222,RaPIJEsp_fjp,RaPIJEsp,fjp,B,RaPIJEsp_B,RaPIJEsp_fjp_B,1.0000000,0.0000000,2.5999999,1,1
223,RaPIJEsp_fjp,RaPIJEsp,fjp,E,RaPIJEsp_E,RaPIJEsp_fjp_E,1.0000000,0.0000000,2.2000000,1,1
224,RaPIJEsp_fjp,RaPIJEsp,fjp,C,RaPIJEsp_C,RaPIJEsp_fjp_C,44.0000000,41.2000008,46.7999992,1,1
225,RaPIJEsp_fjp,RaPIJEsp,fjp,D,RaPIJEsp_D,RaPIJEsp_fjp_D,39.0000000,36.0000000,42.0000000,1,1
226,RaPIPOm_fdp,RaPIPOm,fdp,A,RaPIPOm_A,RaPIPOm_fdp_A,10.7721157,8.9118433,12.6323881,1,1
227,RaPIPOm_fdp,RaPIPOm,fdp,B,RaPIPOm_B,RaPIPOm_fdp_B,6.8920159,5.4575400,8.3264914,1,1
228,RaPIPOm_fdp,RaPIPOm,fdp,E,RaPIPOm_E,RaPIPOm_fdp_E,2.7686827,1.7072040,3.8301613,1,1
229,RaPIPOm_fdp,RaPIPOm,fdp,C,RaPIPOm_C,RaPIPOm_fdp_C,37.2040138,34.2665596,40.1414642,1,1
230,RaPIPOm_fdp,RaPIPOm,fdp,D,RaPIPOm_D,RaPIPOm_fdp_D,42.3631744,39.2290573,45.4972916,1,1
231,RaPIPOm_fpd,RaPIPOm,fpd,A,RaPIPOm_A,RaPIPOm_fpd_A,10.7721157,8.9118433,12.6323881,1,1
232,RaPIPOm_fpd,RaPIPOm,fpd,B,RaPIPOm_B,RaPIPOm_fpd_B,6.8920159,5.4575400,8.3264914,1,1
233,RaPIPOm_fpd,RaPIPOm,fpd,E,RaPIPOm_E,RaPIPOm_fpd_E,2.7686827,1.7072040,3.8301613,1,1
234,RaPIPOm_fpd,RaPIPOm,fpd,C,RaPIPOm_C,RaPIPOm_fpd_C,37.2040138,34.2665596,40.1414642,1,1
235,RaPIPOm_fpd,RaPIPOm,fpd,D,RaPIPOm_D,RaPIPOm_fpd_D,42.3631744,39.2290573,45.4972916,1,1
236,RaPIPOm_fpl,RaPIPOm,fpl,A,RaPIPOm_A,RaPIPOm_fpl_A,10.7721157,8.9118433,12.6323881,1,1
237,RaPIPOm_fpl,RaPIPOm,fpl,B,RaPIPOm_B,RaPIPOm_fpl_B,6.8920159,5.4575400,8.3264914,1,1
238,RaPIPOm_fpl,RaPIPOm,fpl,E,RaPIPOm_E,RaPIPOm_fpl_E,2.7686827,1.7072040,3.8301613,1,1
239,RaPIPOm_fpl,RaPIPOm,fpl,C,RaPIPOm_C,RaPIPOm_fpl_C,37.2040138,34.2665596,40.1414642,1,1
240,RaPIPOm_fpl,RaPIPOm,fpl,D,RaPIPOm_D,RaPIPOm_fpl_D,42.3631744,39.2290573,45.4972916,1,1
241,RaPIPOxe_fdp,RaPIPOxe,fdp,A,RaPIPOxe_A,RaPIPOxe_fdp_A,23.6411171,21.2036495,26.0785847,3,2
242,RaPIPOxe_fdp,RaPIPOxe,fdp,B,RaPIPOxe_B,RaPIPOxe_fdp_B,5.7789621,4.1743412,7.3835826,3,2
243,RaPIPOxe_fdp,RaPIPOxe,fdp,E,RaPIPOxe_E,RaPIPOxe_fdp_E,4.9435129,3.6468861,6.2401400,3,2
244,RaPIPOxe_fdp,RaPIPOxe,fdp,C,RaPIPOxe_C,RaPIPOxe_fdp_C,22.4220352,19.8654728,24.9785995,3,2
245,RaPIPOxe_fdp,RaPIPOxe,fdp,D,RaPIPOxe_D,RaPIPOxe_fdp_D,43.2143707,40.6175232,45.8112221,3,2
246,RaPIPOxe_fpd,RaPIPOxe,fpd,A,RaPIPOxe_A,RaPIPOxe_fpd_A,23.6411171,21.2036495,26.0785847,3,2
247,RaPIPOxe_fpd,RaPIPOxe,fpd,B,RaPIPOxe_B,RaPIPOxe_fpd_B,5.7789621,4.1743412,7.3835826,3,2
248,RaPIPOxe_fpd,RaPIPOxe,fpd,E,RaPIPOxe_E,RaPIPOxe_fpd_E,4.9435129,3.6468861,6.2401400,3,2
249,RaPIPOxe_fpd,RaPIPOxe,fpd,C,RaPIPOxe_C,RaPIPOxe_fpd_C,22.4220352,19.8654728,24.9785995,3,2
250,RaPIPOxe_fpd,RaPIPOxe,fpd,D,RaPIPOxe_D,RaPIPOxe_fpd_D,43.2143707,40.6175232,45.8112221,3,2
251,RaPIPOxe_fxp,RaPIPOxe,fxp,A,RaPIPOxe_A,RaPIPOxe_fxp_A,23.6411171,21.2036495,26.0785847,3,2
252,RaPIPOxe_fxp,RaPIPOxe,fxp,B,RaPIPOxe_B,RaPIPOxe_fxp_B,5.7789621,4.1743412,7.3835826,3,2
253,RaPIPOxe_fxp,RaPIPOxe,fxp,E,RaPIPOxe_E,RaPIPOxe_fxp_E,4.9435129,3.6468861,6.2401400,3,2
254,RaPIPOxe_fxp,RaPIPOxe,fxp,C,RaPIPOxe_C,RaPIPOxe_fxp_C,22.4220352,19.8654728,24.9785995,3,2
255,RaPIPOxe_fxp,RaPIPOxe,fxp,D,RaPIPOxe_D,RaPIPOxe_fxp_D,43.2143707,40.6175232,45.8112221,3,2
256,RaREFI_fcw,RaREFI,fcw,A,RaREFI_A,RaREFI_fcw_A,6.8726945,5.3199010,8.4254885,3,2
257,RaREFI_fcw,RaREFI,fcw,B,RaREFI_B,RaREFI_fcw_B,22.5446510,20.1729202,24.9163818,3,2
258,RaREFI_fcw,RaREFI,fcw,E,RaREFI_E,RaREFI_fcw_E,35.5027161,32.5005188,38.5049133,3,2
259,RaREFI_fcw,RaREFI,fcw,C,RaREFI_C,RaREFI_fcw_C,13.1686029,10.9456835,15.3915224,3,2
260,RaREFI_fcw,RaREFI,fcw,D,RaREFI_D,RaREFI_fcw_D,21.9113369,19.3608704,24.4618034,3,2
261,RaREFI_frf,RaREFI,frf,A,RaREFI_A,RaREFI_frf_A,6.8726945,5.3199010,8.4254885,3,2
262,RaREFI_frf,RaREFI,frf,B,RaREFI_B,RaREFI_frf_B,22.5446510,20.1729202,24.9163818,3,2
263,RaREFI_frf,RaREFI,frf,E,RaREFI_E,RaREFI_frf_E,35.5027161,32.5005188,38.5049133,3,2
264,RaREFI_frf,RaREFI,frf,C,RaREFI_C,RaREFI_frf_C,13.1686029,10.9456835,15.3915224,3,2
265,RaREFI_frf,RaREFI,frf,D,RaREFI_D,RaREFI_frf_D,21.9113369,19.3608704,24.4618034,3,2
266,RaREFI_frm,RaREFI,frm,A,RaREFI_A,RaREFI_frm_A,6.8726945,5.3199010,8.4254885,3,2
267,RaREFI_frm,RaREFI,frm,B,RaREFI_B,RaREFI_frm_B,22.5446510,20.1729202,24.9163818,3,2
268,RaREFI_frm,RaREFI,frm,E,RaREFI_E,RaREFI_frm_E,35.5027161,32.5005188,38.5049133,3,2
269,RaREFI_frm,RaREFI,frm,C,RaREFI_C,RaREFI_frm_C,13.1686029,10.9456835,15.3915224,3,2
270,RaREFI_frm,RaREFI,frm,D,RaREFI_D,RaREFI_frm_D,21.9113369,19.3608704,24.4618034,3,2
271,RaSAWD_fal,RaSAWD,fal,A,RaSAWD_A,RaSAWD_fal_A,25.1198006,21.9712353,28.2683659,3,2
272,RaSAWD_fal,RaSAWD,fal,B,RaSAWD_B,RaSAWD_fal_B,21.7637730,18.8822269,24.6453190,3,2
273,RaSAWD_fal,RaSAWD,fal,C,RaSAWD_C,RaSAWD_fal_C,53.1164284,49.6541710,56.5786819,3,2
274,RaSAWD_fsw,RaSAWD,fsw,A,RaSAWD_A,RaSAWD_fsw_A,25.1198006,21.9712353,28.2683659,3,2
275,RaSAWD_fsw,RaSAWD,fsw,B,RaSAWD_B,RaSAWD_fsw_B,21.7637730,18.8822269,24.6453190,3,2
276,RaSAWD_fsw,RaSAWD,fsw,C,RaSAWD_C,RaSAWD_fsw_C,53.1164284,49.6541710,56.5786819,3,2
277,RaSPFI_fcd,RaSPFI,fcd,B,RaSPFI_B,RaSPFI_fcd_B,22.2635326,19.4562206,25.0708447,4,3
278,RaSPFI_fcd,RaSPFI,fcd,C,RaSPFI_C,RaSPFI_fcd_C,24.6409988,21.9385357,27.3434601,4,3
279,RaSPFI_fcd,RaSPFI,fcd,E,RaSPFI_E,RaSPFI_fcd_E,29.4445305,26.6022949,32.2867661,4,3
280,RaSPFI_fcd,RaSPFI,fcd,A,RaSPFI_A,RaSPFI_fcd_A,3.0179241,1.9069270,4.1289210,4,3
281,RaSPFI_fcd,RaSPFI,fcd,D,RaSPFI_D,RaSPFI_fcd_D,20.6330147,18.1694717,23.0965576,4,3
282,RaSPFI_fmz,RaSPFI,fmz,B,RaSPFI_B,RaSPFI_fmz_B,22.2635326,19.4562206,25.0708447,4,3
283,RaSPFI_fmz,RaSPFI,fmz,C,RaSPFI_C,RaSPFI_fmz_C,24.6409988,21.9385357,27.3434601,4,3
284,RaSPFI_fmz,RaSPFI,fmz,E,RaSPFI_E,RaSPFI_fmz_E,29.4445305,26.6022949,32.2867661,4,3
285,RaSPFI_fmz,RaSPFI,fmz,A,RaSPFI_A,RaSPFI_fmz_A,3.0179241,1.9069270,4.1289210,4,3
286,RaSPFI_fmz,RaSPFI,fmz,D,RaSPFI_D,RaSPFI_fmz_D,20.6330147,18.1694717,23.0965576,4,3
287,RaSSHE_fss,RaSSHE,fss,A,RaSSHE_A,RaSSHE_fss_A,5.3679643,3.9414747,6.7944536,5,3
288,RaSSHE_fss,RaSSHE,fss,B,RaSSHE_B,RaSSHE_fss_B,10.2859478,8.2745514,12.2973452,5,3
289,RaSSHE_fss,RaSSHE,fss,C,RaSSHE_C,RaSSHE_fss_C,0.3740918,0.0089758,0.7392079,5,3
290,RaSSHE_fss,RaSSHE,fss,E,RaSSHE_E,RaSSHE_fss_E,73.7304382,70.9280777,76.5327988,5,3
291,RaSSHE_fss,RaSSHE,fss,D,RaSSHE_D,RaSSHE_fss_D,10.2415571,8.2376299,12.2454834,5,3
292,RaTAOAco_ftm,RaTAOAco,ftm,A,RaTAOAco_A,RaTAOAco_ftm_A,9.7265072,7.8623438,11.5906706,1,1
293,RaTAOAco_ftm,RaTAOAco,ftm,B,RaTAOAco_B,RaTAOAco_ftm_B,12.4914970,10.3905134,14.5924807,1,1
294,RaTAOAco_ftm,RaTAOAco,ftm,E,RaTAOAco_E,RaTAOAco_ftm_E,4.1658883,2.8717871,5.4599895,1,1
295,RaTAOAco_ftm,RaTAOAco,ftm,C,RaTAOAco_C,RaTAOAco_ftm_C,47.3912163,43.8752670,50.9071655,1,1
296,RaTAOAco_ftm,RaTAOAco,ftm,D,RaTAOAco_D,RaTAOAco_ftm_D,26.2248898,23.2883453,29.1614361,1,1
297,RaTAOAco_fto,RaTAOAco,fto,A,RaTAOAco_A,RaTAOAco_fto_A,9.7265072,7.8623438,11.5906706,1,1
298,RaTAOAco_fto,RaTAOAco,fto,B,RaTAOAco_B,RaTAOAco_fto_B,12.4914970,10.3905134,14.5924807,1,1
299,RaTAOAco_fto,RaTAOAco,fto,E,RaTAOAco_E,RaTAOAco_fto_E,4.1658883,2.8717871,5.4599895,1,1
300,RaTAOAco_fto,RaTAOAco,fto,C,RaTAOAco_C,RaTAOAco_fto_C,47.3912163,43.8752670,50.9071655,1,1
301,RaTAOAco_fto,RaTAOAco,fto,D,RaTAOAco_D,RaTAOAco_fto_D,26.2248898,23.2883453,29.1614361,1,1
