"strataID","YEAR","BpS_Code","SCLASS","BPS_LLID","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N","AREA_STRATA","avg","low","high","departure"
"2002_Na1010471_frn_Na1010471_frn_17020002",2002,"Na1010471_frn","C","Na1010471_frn_17020002","C",0.941573954520433,4878.9719287404,0.000703283137954807,676579983.044457,2,323,33408.3449057411,1654.44658645493,1187.68062608727,2121.21258023095,2757.75934850945
"2002_Na1010471_frn_Na1010471_frn_17020002",2002,"Na1010471_frn","D",NA,NA,0,2518.6887312388,NA,NA,NA,NA,33408.3449057411,3121.09297282391,2518.6887312388,3723.49718100068,0
"2002_Na1010471_frn_Na1010471_frn_17020002",2002,"Na1010471_frn","E",NA,NA,0,11938.0606282991,NA,NA,NA,NA,33408.3449057411,12926.7625218699,11938.0606282991,13915.4631793319,0
"2002_Na1010471_frn_Na1010471_frn_17020003",2002,"Na1010471_frn","A",NA,NA,0,7239.86808119291,NA,NA,NA,NA,71866.3801884852,8686.29260323325,7239.86808119291,10132.7178439374,0
"2002_Na1010471_frn_Na1010471_frn_17020003",2002,"Na1010471_frn","B","Na1010471_frn_17020003","B",1.12277662725284,27167.0784490556,0.0105557632778523,6890244642.21694,2,592,71866.3801884852,25099.7713782821,23032.4642356422,27167.0784490556,0
"2002_Na1010471_frn_Na1010471_frn_17020003",2002,"Na1010471_frn","C","Na1010471_frn_17020003","C",0.466118182806727,6360.78903236517,0.00018783134503878,357122357.413901,1,323,71866.3801884852,3558.96371757344,2554.87985584757,4563.04765116568,1797.74138119949
"2002_Na1010471_frn_Na1010471_frn_17020003",2002,"Na1010471_frn","D",NA,NA,0,5418.07869998837,NA,NA,NA,NA,71866.3801884852,6713.94092767605,5418.07869998837,8009.80308349735,0
"2002_Na1010471_frn_Na1010471_frn_17020003",2002,"Na1010471_frn","E",NA,NA,0,25680.5659258832,NA,NA,NA,NA,71866.3801884852,27807.4125678497,25680.5659258832,29934.2565507602,0
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17020011",2002,"RaABAMlw_fsi","A",NA,NA,0,4179.82352010056,NA,NA,NA,NA,37775.5057300953,4969.13783929066,4179.82352010056,5758.45215848076,0
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17020011",2002,"RaABAMlw_fsi","B",NA,NA,0,6831.92104689423,NA,NA,NA,NA,37775.5057300953,7866.0367733563,6831.92104689423,8900.15174430825,0
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17020011",2002,"RaABAMlw_fsi","C","RaABAMlw_fsi_17020011","C",1.06465712128657,4764.62793753244,0.000883745278520831,775613600.913942,2,323,37775.5057300953,1119.18046126488,758.763756685945,1479.59705251729,3285.03088501515
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17020011",2002,"RaABAMlw_fsi","D",NA,NA,0,2209.87029612856,NA,NA,NA,NA,37775.5057300953,2900.66881621099,2209.87029612856,3591.46718519139,0
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17020011",2002,"RaABAMlw_fsi","E",NA,NA,0,19789.2629294395,NA,NA,NA,NA,37775.5057300953,20920.4818399725,19789.2629294395,22051.7007505054,0
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17030001",2002,"RaABAMlw_fsi","A","RaABAMlw_fsi_17030001","A",0.149948169093273,8798.99877950069,1.87200988471678e-05,28447941.6648482,1,323,79521.6896636185,10460.594226724,8798.99877950069,12122.1896739474,0
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17030001",2002,"RaABAMlw_fsi","B",NA,NA,0,14381.9624594632,NA,NA,NA,NA,79521.6896636185,16558.8924114682,14381.9624594632,18735.8207730395,0
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17030001",2002,"RaABAMlw_fsi","C","RaABAMlw_fsi_17030001","C",1.18187745879068,3114.71826421495,0.0119458831908673,3745698179.75739,1,592,79521.6896636185,2356.0007893524,1597.28307592479,3114.71826421495,4.54747350886464e-13
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17030001",2002,"RaABAMlw_fsi","D","RaABAMlw_fsi_17030001","D",0.449844507279819,11567.3852146746,0.00016848088962451,256031474.983634,1,323,79521.6896636185,6106.23421080758,4652.0256046653,7560.4424988631,4006.94271581151
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17030001",2002,"RaABAMlw_fsi","E",NA,NA,0,41658.624945765,NA,NA,NA,NA,79521.6896636185,44039.9680252662,41658.624945765,46421.3111047674,0
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17030002",2002,"RaABAMlw_fsi","A","RaABAMlw_fsi_17030002","A",0.273531707600946,9002.57401033838,5.88574844771321e-05,57784920.9781267,2,323,59056.9786383128,7768.58606004108,6534.59810974378,9002.57401033838,0
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17030002",2002,"RaABAMlw_fsi","B","RaABAMlw_fsi_17030002","B",0.599792676373092,13914.2034311033,0.000299521581554685,455167066.637572,1,323,59056.9786383128,12297.5022230394,10680.799833836,13914.2034311033,0
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17030002",2002,"RaABAMlw_fsi","C","RaABAMlw_fsi_17030002","C",0.443066642937498,2313.15318842202,0.000164435649003044,277609570.020183,1,323,59056.9786383128,1749.68978749315,1186.22620939335,2313.15318842202,0
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17030002",2002,"RaABAMlw_fsi","D","RaABAMlw_fsi_17030002","D",0.348058770748127,5614.78123817865,0.000101475927984432,171317405.355548,1,323,59056.9786383128,4534.80987229553,3454.83827018448,5614.78123817865,0
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17030002",2002,"RaABAMlw_fsi","E",NA,NA,0,28212.2667702704,NA,NA,NA,NA,59056.9786383128,32706.3906954436,30937.8803937701,34474.9009971171,-2725.61362349964
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17070105A",2002,"RaABAMlw_fsi","A","RaABAMlw_fsi_17070105A","A",0.117372886637607,2475.63426428503,1.04743881803143e-05,22838351.909397,1,323,16240.1863838341,2136.29766477886,1796.96106527269,2475.63426428503,0
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17070105A",2002,"RaABAMlw_fsi","B",NA,NA,0,2937.132647646,NA,NA,NA,NA,16240.1863838341,3381.712589479,2937.132647646,3826.29220650827,0
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17070105A",2002,"RaABAMlw_fsi","C",NA,NA,0,326.202511170108,NA,NA,NA,NA,16240.1863838341,481.150389301251,326.202511170108,636.098218711835,0
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17070105A",2002,"RaABAMlw_fsi","D","RaABAMlw_fsi_17070105A","D",0.340337202225485,1993.55274389746,8.80667444771355e-05,192020695.362792,1,323,16240.1863838341,1247.03564658069,950.052283870138,1544.01894433049,449.533799566967
"2002_RaABAMlw_fsi_RaABAMlw_fsi_17070105A",2002,"RaABAMlw_fsi","E",NA,NA,0,8507.66421683551,NA,NA,NA,NA,16240.1863838341,8993.99009369431,8507.66421683551,9480.3159705531,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021601",2002,"RaMCONdy_fdd","A","RaMCONdy_fdd_1701021601","A",0.821435032166898,9907.93314260538,0.000507466282092222,737133985.048173,1,323,45849.8223941622,6403.38078528965,5349.12115651495,7457.64036821453,2450.29277439085
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021601",2002,"RaMCONdy_fdd","B","RaMCONdy_fdd_1701021601","B",0.470786977260216,518.625084981635,0.000191323436994682,364312298.5624,1,323,45849.8223941622,300.88831321613,83.151541450624,518.625084981635,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021601",2002,"RaMCONdy_fdd","C",NA,NA,0,13184.9057341339,NA,NA,NA,NA,45849.8223941622,14494.7758302649,13184.9057341339,15804.6459722458,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021601",2002,"RaMCONdy_fdd","D",NA,NA,0,17534.9859911265,NA,NA,NA,NA,45849.8223941622,19005.3096956675,17534.9859911265,20475.6333543588,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021601",2002,"RaMCONdy_fdd","E",NA,NA,0,4703.37244131486,NA,NA,NA,NA,45849.8223941622,5645.46749462507,4703.37244131486,6587.5625937851,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021602",2002,"RaMCONdy_fdd","A","RaMCONdy_fdd_1701021602","A",0.656153000125912,19136.7826758552,0.00036149862094853,579456212.495641,1,323,103723.327496308,14485.9876787818,12100.9987948236,16870.9764590166,2265.80621683853
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021602",2002,"RaMCONdy_fdd","B",NA,NA,0,188.108788984187,NA,NA,NA,NA,103723.327496308,680.681743611335,188.108788984187,1173.25469823848,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021602",2002,"RaMCONdy_fdd","C",NA,NA,0,29827.4284186463,NA,NA,NA,NA,103723.327496308,32790.66966723,29827.4284186463,35753.9110195371,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021602",2002,"RaMCONdy_fdd","D",NA,NA,0,39668.3563780252,NA,NA,NA,NA,103723.327496308,42994.5822861787,39668.3563780252,46320.8080906088,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021602",2002,"RaMCONdy_fdd","E","RaMCONdy_fdd_1701021602","E",2.26716403106092,14902.6512347974,0.00386921468275692,1800640455.98075,2,323,103723.327496308,12771.4054981665,10640.1598652589,14902.6512347974,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021603",2002,"RaMCONdy_fdd","A","RaMCONdy_fdd_1701021603","A",0.567015252388777,12304.7156000413,0.000269649327266806,442445416.227291,1,323,56941.1416843915,7952.3931285874,6643.10241033507,9261.68378989859,3043.03181014273
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021603",2002,"RaMCONdy_fdd","B","RaMCONdy_fdd_1701021603","B",1.03780222964899,644.083289813984,0.000851256119180922,806757714.78969,2,323,56941.1416843915,373.674818775277,103.26634773657,644.083289813984,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021603",2002,"RaMCONdy_fdd","C",NA,NA,0,16374.4055331009,NA,NA,NA,NA,56941.1416843915,18001.1402691866,16374.4055331009,19627.8750622135,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021603",2002,"RaMCONdy_fdd","D",NA,NA,0,21776.7936628187,NA,NA,NA,NA,56941.1416843915,23602.7966004626,21776.7936628187,25428.7994811653,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021603",2002,"RaMCONdy_fdd","E",NA,NA,0,5841.14359861667,NA,NA,NA,NA,56941.1416843915,7011.13652573281,5841.14359861667,8181.12950979009,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021610",2002,"RaMCONdy_fdd","A",NA,NA,0,4319.95626083506,NA,NA,NA,NA,37028.3681214808,5171.37752249857,4319.95626083506,6022.79874713371,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021610",2002,"RaMCONdy_fdd","B","RaMCONdy_fdd_1701021610","B",0.7514222311771,4100.54388793549,0.00492425662957261,2200811734.8515,1,592,37028.3681214808,242.997740088015,67.1532783754971,418.842201800532,3681.70168613496
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021610",2002,"RaMCONdy_fdd","C",NA,NA,0,10648.144696689,NA,NA,NA,NA,37028.3681214808,11705.9972592114,10648.144696689,12763.8498587621,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021610",2002,"RaMCONdy_fdd","D",NA,NA,0,14161.2744036956,NA,NA,NA,NA,37028.3681214808,15348.7094807924,14161.2744036956,16536.1445208608,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701021610",2002,"RaMCONdy_fdd","E",NA,NA,0,3798.4488723256,NA,NA,NA,NA,37028.3681214808,4559.28589672023,3798.4488723256,5320.12295814322,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030702",2002,"RaMCONdy_fdd","A",NA,NA,0,4888.72249093924,NA,NA,NA,NA,41903.5298295517,5852.24203137867,4888.72249093924,6815.76152991457,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030702",2002,"RaMCONdy_fdd","B","RaMCONdy_fdd_1701030702","B",0.850354619339857,4640.4222449601,0.00634725192537193,2589503407.8243,1,592,41903.5298295517,274.990866918187,75.9946912682713,473.987042568103,4166.435202392
